[00:01.060 --> 00:02.540]  The summer sun hums.
[00:03.580 --> 00:06.200]  And all you crave is something cold and crisp.
[00:06.740 --> 00:07.620]  So you pour it.
[00:08.820 --> 00:12.340]  An icy cocktail made with Tequila Don Julio.
[00:12.920 --> 00:15.300]  Crafted with 100% Blue Weber Agave.
[00:15.520 --> 00:16.860]  Born under the Mexican sun.
[00:17.120 --> 00:20.140]  And made to be shared when the day runs long and the light gets golden.
[00:20.660 --> 00:22.800]  Shop now at donjulio.com
[00:22.800 --> 00:24.160]  Please drink responsibly.
[00:24.320 --> 00:25.100]  Don Julio Tequila.
[00:25.260 --> 00:26.600]  40% alcohol by volume.
[00:26.740 --> 00:28.860]  Imported by Diageo Americas, New York, New York.
[00:30.000 --> 00:32.460]  Hello and welcome to another draft.
[00:32.960 --> 00:35.500]  We have to start with ANAG of course first.
[00:35.700 --> 00:38.500]  This draft is non-alcoholic beverages.
[00:39.100 --> 00:42.880]  I'm excited to see how everyone goes with this direction.
[00:43.300 --> 00:44.940]  You can go so many ways, so many drinks.
[00:45.340 --> 00:46.560]  Where did this idea come from?
[00:47.800 --> 00:49.400]  I'm a big drink guy.
[00:49.680 --> 00:52.140]  I really like drinks and we're getting into the summer season.
[00:52.640 --> 00:57.020]  And part of the summer season for me is enjoying a nice cold beverage.
[00:57.780 --> 00:59.120]  Non-alcoholic for me.
[00:59.120 --> 01:01.520]  Are you really a big drinks guy?
[01:01.600 --> 01:05.520]  Because I would guess that you've had less than 1% of all drinks.
[01:06.640 --> 01:09.080]  I bet you've had way more drinks than you've had.
[01:09.660 --> 01:10.980]  We're going to line up the drinks.
[01:11.540 --> 01:13.600]  Well now, hold on, hold on.
[01:13.740 --> 01:17.460]  Because Gavin is an alcoholic drink guy, which opens him up to a whole other world of drinks.
[01:17.460 --> 01:18.200]  It does.
[01:19.520 --> 01:20.160]  It's a great point.
[01:20.340 --> 01:20.760]  An alcoholic drink guy?
[01:21.260 --> 01:23.240]  Well, I mean, you drink alcohol on occasion.
[01:23.700 --> 01:24.760]  You have consumed alcohol.
[01:25.100 --> 01:28.380]  And Andrew said earlier he doesn't drink alcohol.
[01:28.380 --> 01:30.540]  Not like an alcohol guy who drinks.
[01:30.560 --> 01:31.100]  No, no, no.
[01:31.240 --> 01:31.960]  An alcoholic guy.
[01:32.980 --> 01:35.680]  You're open to alcohol is what he's saying, so there's a wider range.
[01:36.240 --> 01:37.800]  Nobody's saying you're an alcoholic.
[01:38.080 --> 01:42.300]  We're saying you're just not restricted in what you drink in a way that Andrew is.
[01:42.320 --> 01:44.860]  Yeah, I just heard alcoholic drink guy and I was like, oh, maybe I've got a problem.
[01:47.320 --> 01:48.560]  Well, I got news for you, buddy.
[01:48.660 --> 01:50.900]  If you're afraid you have a problem, you have a problem.
[01:52.840 --> 01:55.200]  I hate to break it to you, this is the blind side.
[01:55.780 --> 01:56.500]  Oh, no.
[01:56.500 --> 01:57.680]  This is your intervention.
[02:00.320 --> 02:02.560]  Alcoholics love you very much.
[02:03.040 --> 02:04.960]  I haven't had a drink in four months.
[02:06.080 --> 02:06.900]  You must be thirsty.
[02:11.140 --> 02:13.640]  You guys are talking just before we start.
[02:13.720 --> 02:17.160]  You guys are talking about how your drinks guys, how many drinks you've had or whatever.
[02:17.440 --> 02:20.560]  This is the hardest draft list I have ever had to put together.
[02:20.780 --> 02:23.900]  I am not a drinks guy at all.
[02:23.900 --> 02:24.000]  Really?
[02:24.780 --> 02:26.360]  You strike me as a drinks guy.
[02:26.360 --> 02:28.060]  I guess non-alcoholic drinks guy.
[02:28.380 --> 02:29.700]  Yeah, I'm not a drinks guy.
[02:29.920 --> 02:33.860]  Are you? Are you an alcohol? Really? Like even alcohol? You strike me as a drinks guy.
[02:33.920 --> 02:36.160]  Oh, I'll drink. I drink booze. Like, that's fine.
[02:36.240 --> 02:42.540]  But like, as far as like just getting a drink for like pleasure is so like...
[02:42.540 --> 02:44.660]  You have like pleasure drink equipment.
[02:45.520 --> 02:45.800]  Yeah.
[02:46.580 --> 02:49.840]  Right. And so that's one thing on my list.
[02:50.520 --> 02:57.620]  And then trying to round out the next is that is like I'm going like, do I like this drink?
[02:57.800 --> 03:02.060]  It's so bad. I feel like my draft list is going to be rough.
[03:02.500 --> 03:03.640]  I'm excited to see it.
[03:04.380 --> 03:07.360]  Completely understand where Eric is coming from when I sat down.
[03:07.580 --> 03:09.080]  And because I think I thought like, oh, cool.
[03:09.080 --> 03:11.240]  This would be fun for me because I don't drink alcohol anymore.
[03:11.420 --> 03:14.480]  And I'm having soda summer, you know, and so I've been trying.
[03:14.580 --> 03:17.000]  I bought so many sodas over to Gavin's house last weekend.
[03:17.040 --> 03:18.800]  Meg thanks you, by the way. She's tearing through those.
[03:18.800 --> 03:21.280]  Oh, good, good. That's what they're there for.
[03:21.380 --> 03:25.740]  I want you guys to experience soda summer, learn about new flavors, find new drinks.
[03:25.740 --> 03:26.860]  Is there soda summer this weekend?
[03:27.040 --> 03:27.880]  That's what it's all about.
[03:28.560 --> 03:29.880]  We can have soda summer this weekend.
[03:32.160 --> 03:36.120]  However, when I sat down to write my list, I realized I don't really give a shit about any of it.
[03:36.280 --> 03:36.800]  I really...
[03:38.140 --> 03:39.860]  It's whatever. It's fine.
[03:41.520 --> 03:41.920]  Every...
[03:41.920 --> 03:43.420]  This is the problem.
[03:43.780 --> 03:47.160]  This is a problem that may be specific to me as an alcoholic.
[03:48.360 --> 03:49.080]  But every...
[03:50.020 --> 03:52.940]  Every single drink that I thought of was an alcoholic drink.
[03:53.140 --> 03:55.980]  All of my favorite drinks on earth are alcoholic.
[03:56.380 --> 03:59.420]  Even to this day, seven years sober, I'm still like, oh, well.
