[00:00.560 --> 00:02.980]  This podcast is brought to you by Carvana.
[00:03.480 --> 00:05.820]  Got a car to sell, but no time to waste?
[00:06.400 --> 00:10.000]  Hop on to carvana.com to get a real offer for your car in seconds.
[00:10.440 --> 00:14.000]  All you have to do is enter your license plate, answer a few quick questions,
[00:14.160 --> 00:18.140]  and if you accept the offer, Carvana will pay you as soon as you hand the keys over.
[00:18.780 --> 00:21.180]  They even offer same-day pickup in many cities.
[00:21.940 --> 00:25.880]  Save your time, score some cash, and sell your car the convenient way.
[00:26.220 --> 00:27.880]  To Carvana!
[00:27.880 --> 00:29.840]  Pickup times vary. Fees may apply.
[00:30.760 --> 00:33.880]  This is a Rooster Teeth production.
[00:46.110 --> 00:48.050]  And f***face. Congratulations.
[00:48.650 --> 00:51.110]  Welcome to f***face. You've survived the year 2020.
[00:51.650 --> 00:57.730]  Just for posterity's sake, we are recording this episode on January 7th
[00:57.730 --> 01:03.470]  in what has already turned out to be the most uneventful and boring week in history.
[01:03.810 --> 01:05.930]  Nothing going on in the world, certainly not in America.
[01:05.930 --> 01:07.930]  But over the holiday break...
[01:08.510 --> 01:09.710]  What the f***, Nick?
[01:11.690 --> 01:12.170]  What?
[01:12.790 --> 01:13.910]  You had a baby?
[01:14.470 --> 01:14.730]  Yeah.
[01:14.930 --> 01:16.290]  You didn't tell us you were pregnant!
[01:16.670 --> 01:17.310]  I thought I did.
[01:17.610 --> 01:17.810]  No!
[01:18.690 --> 01:19.650]  Aw, congrats.
[01:19.890 --> 01:20.470]  Thank you.
[01:21.050 --> 01:22.130]  That's so cool.
[01:22.330 --> 01:24.950]  Yeah, congratulations. Give us the deets. What are the stats?
[01:25.250 --> 01:27.910]  Oh, he's good. He's two weeks old now.
[01:28.170 --> 01:32.110]  And he's real cute. He's almost sleeping through the night sometimes.
[01:32.890 --> 01:34.150]  Did you name him Geoff?
[01:34.150 --> 01:35.890]  No, his name is Arthur.
[01:36.270 --> 01:37.890]  Missed opportunity. Arthur's a good name, though.
[01:37.990 --> 01:38.510]  Good name.
[01:38.630 --> 01:39.510]  The original, not the remake.
[01:39.610 --> 01:44.030]  My wife wanted to name him Gavin, but I was like, I work with a Gavin. That might be weird.
[01:45.190 --> 01:50.950]  Well, dude, in all seriousness, congratulations. I totally was caught off guard when that was announced.
[01:51.310 --> 01:58.030]  I'm so glad that I'm not the only one, because I realize Nick is probably the person I like the most but know the least about,
[01:58.270 --> 01:59.610]  because I didn't even know he had a wife.
[01:59.610 --> 02:07.730]  So that was like... there was a four-day stretch of like, Nick has a wife? Good for Nick. That's great. I didn't know that. That's crazy.
[02:07.910 --> 02:13.610]  And then finding out four days later that you had a kid. It was like, oh shit, and she's pregnant? And he has a kid?
[02:13.830 --> 02:15.810]  I know nothing about Nick, apparently.
[02:16.030 --> 02:17.370]  A vinful year for Nick, apparently.
[02:17.570 --> 02:17.890]  Wait.
[02:18.070 --> 02:19.230]  Why do you like him so much?
[02:19.430 --> 02:21.850]  Yeah, why is Nick your favorite? What's that?
[02:22.070 --> 02:24.890]  Nick's a great guy, and Nick may or may not have audio.
[02:24.890 --> 02:31.190]  I don't know what he has, what he doesn't have, so I'm definitely not playing to potential blackmail.
[02:31.670 --> 02:33.950]  But Nick's great. That's all I'll say. Great guy.
[02:34.230 --> 02:36.850]  You always kiss the ass of the editor. You have to.
[02:37.210 --> 02:38.090]  What happened, Andrew?
[02:38.470 --> 02:43.830]  What happened was... so I have all those Discord accounts, and we're on break. We had a two-week break.
[02:44.230 --> 02:48.170]  And I was like, I got nothing going on, so I'm just gonna sign in... I don't even remember who I signed in as.
[02:48.170 --> 02:49.870]  I think I signed in as my Eric account.
[02:50.310 --> 02:54.950]  And then I joined the chat, and then I said, like, uh, why are you here, in reference to me,
[02:55.230 --> 02:58.730]  thinking people might get notifications and show up and that something might happen?
[02:59.110 --> 03:01.950]  And then nothing really did. Gavin joined and said... he was confused.
[03:02.090 --> 03:03.170]  Said Happy New Year and left.
[03:03.430 --> 03:05.810]  It was on New Year's Eve, wasn't it? Or New Year's Day? When was it?
[03:05.930 --> 03:08.390]  Oh, it was last Thursday? Was that New Year's Eve?
[03:08.910 --> 03:09.610]  It may have been.
[03:10.130 --> 03:11.830]  Maybe the first day? I don't know. It doesn't matter.
[03:12.090 --> 03:15.590]  Anyway, I did that thing, and it was completely uneventful. Nothing happened.
