[00:00.000 --> 00:04.480]  You don't technically need this car. You say that out loud to yourself.
[00:04.880 --> 00:08.640]  You say, I have no space. You say, eh, I'm just looking.
[00:09.060 --> 00:13.940]  Then you click. Then you zoom in on photo number 87 and whisper, oh no.
[00:14.360 --> 00:16.900]  Then you text a friend, the one who always enables you.
[00:17.220 --> 00:21.960]  You say to yourself, this is the last one, knowing it is not.
[00:22.460 --> 00:27.580]  You don't need this car. But maybe, just maybe, this car needs you.
[00:27.580 --> 00:30.080]  Bring a trailer. It's never just a car.
[00:31.220 --> 00:34.680]  This is a Rooster Teeth production.
[00:46.250 --> 00:51.190]  Jesus fucking Christ, dude. I'm so like... I should have just fucking missed this one too.
[00:51.370 --> 00:54.150]  Like, what a joke. Are you fucking kidding me?
[00:54.290 --> 00:55.650]  I'm just gonna start recording.
[00:55.670 --> 00:56.490]  Are you kidding me?
[00:56.610 --> 00:59.450]  No, what do you mean? I'm not the fucking sound guy.
[00:59.530 --> 01:02.310]  You guys are saying I'm low, so I twisted the note a little bit.
[01:02.450 --> 01:06.570]  Every single week. Okay, it's 3.04. This has gotta be the episode now. It's 3.04.
[01:06.570 --> 01:08.230]  Oh yeah, we're in the episode.
[01:08.710 --> 01:13.270]  Last week I talked about moving on time to be 3.01, and it was still not enough.
[01:13.550 --> 01:15.170]  I was here at 3 anyway, just to be safe.
[01:15.310 --> 01:22.830]  I assumed that because we recorded an episode two days ago at this point, Andrew's shit would still be functioning.
[01:23.270 --> 01:24.670]  Absolutely not. Impossible.
[01:24.910 --> 01:29.510]  Okay, well apparently it was never fixed. That's not my fault. I can't hear what I sound like.
[01:29.710 --> 01:32.690]  It's based on you. I was here 30 minutes early.
[01:32.830 --> 01:36.070]  You can see your waveforms in Audacity. That's how you know...
[01:36.070 --> 01:38.810]  I don't... I don't know how to read waveforms.
[01:39.070 --> 01:41.330]  It's not language. You just look.
[01:42.710 --> 01:47.190]  Yeah, but I don't know. See, now I feel like I'm coming in super hot, but before I'm too low.
[01:47.270 --> 01:49.070]  I don't know what to do. I don't know how to make people...
[01:49.070 --> 01:53.650]  It's the salad cream all over again. I'm trying to make you happy. I don't know how to do it.
[01:53.710 --> 01:56.910]  I do one thing, it's wrong. I do another thing, it's wrong. What do you want from me?
[01:56.930 --> 02:02.550]  And we've just had to let Eric know that not only did we not talk about your name, Andrew,
[02:02.550 --> 02:06.270]  we didn't even talk about the three-letter acronym.
[02:06.710 --> 02:09.730]  As a matter of fact, Eric, Eric, I'm glad you're here.
[02:10.670 --> 02:14.970]  Andrew and Gavin and I, we'd like to talk to you. This comes from a place of love,
[02:15.290 --> 02:20.750]  but I think we need to have a bit of an intervention in your inability to keep us on track
[02:20.750 --> 02:25.830]  because we have now blown two very important things that absolutely should have been talked about.
[02:25.870 --> 02:29.770]  And as the producer, I feel like it's on you to keep us on track.
[02:29.770 --> 02:34.850]  Hang on, Geoff is saying me keeping you on track and Gavin is saying attendance.
[02:35.270 --> 02:38.270]  They go hand in hand. They're both, they're the same thing.
[02:38.470 --> 02:41.570]  You can't keep us on track if there's no attendance.
[02:42.210 --> 02:42.990]  Do you? It's really.
[02:43.150 --> 02:48.790]  Nobody listening to this knows how fucking hard it was to schedule any of the fucking shows for this week.
[02:49.090 --> 02:53.210]  And it still wasn't set by the time this was all happening.
[02:53.690 --> 02:59.430]  Like, this was like, oh, are we recording at 5am? No, why would we do that?
[02:59.430 --> 03:03.310]  Okay, well, I'll be there at 5am. Why are we doing this?
[03:03.690 --> 03:09.010]  Nobody was at the 5am record again this morning. Once again, just saying, nobody was there.
[03:09.090 --> 03:09.830]  Wait, what? Why?
[03:11.330 --> 03:15.130]  It was the perfect attendance by me. I was there every time nobody else was there.
[03:15.230 --> 03:17.430]  That's not even...
[03:18.070 --> 03:22.630]  A part of your intervention also, Eric, is reining Andrew's attendance thing in a little bit.
[03:22.810 --> 03:25.030]  He keeps showing up at 5am for no reason.
[03:25.190 --> 03:26.250]  He's over attending.
[03:26.250 --> 03:31.410]  I have said over and over that we're not doing anything at that time. Don't, like, no.
[03:31.730 --> 03:34.570]  It does not matter. It doesn't matter.
[03:35.890 --> 03:39.650]  Andrew, are you tired again because of that? Did you sleep in the tub and get a shit night's sleep?
[03:39.750 --> 03:42.250]  No, no, no, I didn't sleep in the tub. I'm good.
[03:42.470 --> 03:48.930]  You literally asked us last night if we're doing the 5am thing. I said, only if you live in Japan.
[03:49.250 --> 03:50.970]  And I thought that was a pretty clear answer.
[03:51.510 --> 03:57.130]  Okay, well, do we want to be serious about this? Or what do we want to do here?
[03:57.450 --> 03:59.910]  I still don't have a port-a-potty, by the way.
[03:59.930 --> 04:02.010]  Yeah, okay, well, we can talk about that as well.
[04:02.810 --> 04:04.730]  The 5am thing, obviously ridiculous.
[04:05.070 --> 04:06.050]  I was just trying to get somebody else...
[04:06.050 --> 04:11.610]  Talk about the SMH! Talk about Raymond Sommer! What are you talking about? This is insane!
[04:11.690 --> 04:12.610]  Well, you gave away SMH.
[04:12.610 --> 04:14.750]  Well, you gave it away. It was SMH.
[04:14.750 --> 04:21.730]  Boy, we really... I was just having a conversation with Gavin earlier, right before this podcast started,
[04:21.830 --> 04:25.070]  where I said, you know, I was listening to this week's episode and then next week's,
[04:25.090 --> 04:30.330]  and I don't think we ever got back around and said what that three-letter acronym or those three letters were,
[04:30.870 --> 04:33.210]  and Eric blew his fucking top.
[04:33.510 --> 04:35.490]  Yeah, he went red and steam came out.
[04:35.590 --> 04:43.450]  And I think what we need is a brief, previously on f***face, that is cut together just for us to listen to right before we start.
[04:43.930 --> 04:50.390]  Because we are utterly useless. The only stuff we hear, we end up catching up on the ones two weeks ago,
[04:50.410 --> 04:53.450]  because that's the ones that usually just come out while we record.
[04:53.630 --> 04:58.950]  So we're always in this weird week gap hole where we don't address anything from the previous episode.
[04:59.210 --> 05:05.550]  It's funny, a couple episodes ago, I said, at this point now, I said, we're as dumb as we'll ever be about our own show,
[05:05.610 --> 05:10.630]  and I felt pretty safe saying that. We knocked that out of the park instantly.
[05:11.090 --> 05:13.870]  We are so much dumber about our show than we were two weeks ago.
[05:14.290 --> 05:22.170]  When you said that you recorded on an off day, at a time where I had to pull teeth to get an answer on any phone,
[05:22.330 --> 05:28.870]  anyone was going to show up, and you didn't talk about the stuff that was the whole reason for the episode,
[05:29.350 --> 05:34.250]  I, like, I lost, I stood up. Like, I don't know what to do. I don't know what to do.
[05:34.630 --> 05:38.050]  What am I supposed to do? Talk about it. This is insane.
[05:38.050 --> 05:45.750]  I gotta be honest with you. I, I, uh, I agree. That's why I wish you would have been there.
[05:46.630 --> 05:52.390]  That was even the whole point. I was like, I don't want to do it on Tuesday because Eric won't be there and Nick can't be there.
[05:52.850 --> 05:55.230]  Because I don't trust us anymore.
[05:55.450 --> 06:02.090]  Is it, is it dumber that I thought about it and didn't bring it up that I was waiting for the episode to come out before we talked about it?
[06:02.290 --> 06:03.550]  I'm so mad at you. I'm so mad at you.
[06:03.550 --> 06:06.610]  I was, like, why, it never even occurred to me to bring it up.
[06:06.610 --> 06:10.350]  I saw the doorbells ringing. This better not be a goddamn port-a-potty.
[06:10.690 --> 06:13.450]  I don't think it would be there that soon.
[06:13.590 --> 06:21.330]  Eric, I'm scrolling back through the slack where you were trying to, really working hard to nail down a time for us to do this additional episode that we sprung on you.
[06:21.730 --> 06:27.590]  And it just goes in the worst circles. At one point, you just wrote, this sucks.
[06:27.950 --> 06:32.670]  And then you, and then, like, 18 lines down, you wrote, I hate this.
[06:33.230 --> 06:37.390]  You can tell just by that, the direction that was going.
[06:37.710 --> 06:39.750]  Because Geoff wouldn't agree to anything.
[06:39.890 --> 06:43.310]  No! At all! He put maybe! Maybe attending.
[06:43.730 --> 06:45.250]  What does that do for us?
