[00:15.100 --> 00:15.440]  I
[00:15.440 --> 00:18.740]  Guess I should say I got the bread to put the work and now I've lost the bread
[00:20.960 --> 00:26.120]  It's very small it's a very small thing I keep losing it I got it to
[00:27.120 --> 00:31.240]  No, I didn't throw it away. Eric asked did I throw it away? I didn't throw it away. I tightly
[00:32.240 --> 00:37.420]  wound up a bag that had two bagels in it and I was like this could hold it and I got it to the
[00:37.420 --> 00:40.380]  Point where it did prevent it from opening the bag
[00:41.580 --> 00:46.320]  Then I took a bagel out and I put on my desk and then I moved it somewhere from that
[00:46.320 --> 00:50.600]  I don't it's somewhere on my desk. I think but it's very small. You pinned it in you. It's tough to find
[00:50.600 --> 00:56.100]  I definitely did not bin it. Well, I've got the bread clip hit. What episode is this by the way?
[00:56.420 --> 00:59.160]  All right. Hold on a second. I'll do that. Hello and welcome to the
[01:00.860 --> 01:02.280]  110th episode of the
[01:02.980 --> 01:09.620]  Face podcast. My name is Geoff Ramsey with me as always Andrew Panton and Gavin free
[01:10.600 --> 01:16.560]  Once from England ones from Canada doesn't matter which I'm from America and Gavin you're gonna try an experiment
[01:16.560 --> 01:22.240]  I think I was supposed to do this in 108 and I forgot but I now have the bread clip and some bread
[01:22.240 --> 01:27.560]  So how did I first off? How does it feel like let's give it give it give us some some audio texture
[01:27.560 --> 01:31.100]  How does it feel in your hand? What is it sturdy? Do you like the magnet?
[01:31.220 --> 01:37.700]  Well, the first thing I've noticed is that it's made of metal, but that bit isn't magnetic. It has a separate magnet on it
[01:37.700 --> 01:44.160]  A little magnet on it sort of defeats the whole purpose in a way, but all right got some bread
[01:44.880 --> 01:48.680]  Gonna try now cuz in my head this was this there's no way I wasn't gonna get this on here
[01:48.680 --> 01:52.640]  But here we go. Let's try. Yeah, I know I was the same and then I got a loaf and it's really difficult
[01:52.640 --> 01:56.880]  You need to really wind it tight. You need to make the top narrow and you need to slide it up
[01:56.880 --> 02:00.760]  There's no putting it through the front. You got to slide it in the hole
[02:02.800 --> 02:04.460]  It's a slide mechanism
