[00:10.200 --> 00:11.160]  Can't hear anybody.
[00:11.560 --> 00:11.800]  What?
[00:12.860 --> 00:13.500]  That's not good.
[00:16.300 --> 00:19.160]  I didn't even know anyone was in here. I thought I was still here by myself.
[00:19.300 --> 00:20.840]  This show fucking sucks.
[00:23.460 --> 00:27.400]  This show is... this show is... this show is dog shit.
[00:27.820 --> 00:28.820]  This sucks.
[00:29.220 --> 00:30.400]  This is the worst.
[00:32.940 --> 00:53.980]  This is episode 165. Our previous episode included Dodging a Bullet, Andrew's Prototypes, Not Being a Knife Guy, RTX, Summer of 98 Yearbook, The Golden Gurgler, Crazy Puffs, 4 Three Cheeses, Souvenir Shirts Business, I forgot about that, Geoff at Sloppy Joe's, The North Face, F*** Face Guy, and Ocean Jet Skiing.
[00:54.000 --> 00:56.540]  But that's all 164. This is 165, so go ahead.
[00:56.580 --> 00:57.440]  Eric, can I ask you a favor?
[00:57.780 --> 00:58.420]  Yeah, absolutely.
[00:58.420 --> 01:02.260]  Can you not start the recap before 3 p.m. please?
[01:03.600 --> 01:10.100]  But the point of you getting here at 3 p.m. is that we start on time when you're here.
[01:10.400 --> 01:12.860]  If the recap's in the episode, I have to disagree, Eric.
[01:13.900 --> 01:14.860]  I'm not...
[01:15.700 --> 01:16.180]  What?
[01:17.740 --> 01:19.080]  That's in the episode, isn't it?
[01:19.380 --> 01:19.660]  No.
[01:19.740 --> 01:26.320]  Hello and welcome to another episode of the F*** Face Podcast. My name is Geoff Ramsey. With me, as always, Andrew Panton and Gavin Free.
[01:26.320 --> 01:37.620]  This is episode 165. And you know, before you continue your pedantic little argument, let me say, I was thinking about this, and I think it's something that we need to start prefacing going forward.
[01:37.880 --> 01:47.440]  This is a 100% non-AI podcast. We are all humans saying human things written, or in this case, not written by other humans.
[01:48.000 --> 01:48.240]  Huh.
[01:49.000 --> 01:51.900]  It really makes me think you did something with AI for this episode.
[01:51.900 --> 02:04.660]  No, no, not at all, but I was just reading an article about... they were interviewing James Van Der Beek about he was saying that AI is going to destroy Hollywood and entertainment in general.
