[00:10.400 --> 00:11.460]  Alright, action.
[00:11.460 --> 00:14.020]  Hello, hello and welcome to another episode of the...
[00:14.020 --> 00:17.680]  You want to say action one more time? Third time's a charm.
[00:17.900 --> 00:20.580]  3, 2, 1, action.
[00:21.060 --> 00:25.580]  Hello and welcome to another episode of the F***ing Face Podcast.
[00:26.280 --> 00:30.960]  My name is Geoff Ramsey. Some folks call me a true American classic.
[00:31.100 --> 00:33.660]  With me as always, the pride of Canada, Andrew Panton and...
[00:34.560 --> 00:34.840]  Gavin!
[00:35.540 --> 00:36.020]  Hello everybody.
[00:36.320 --> 00:36.900]  British classic.
[00:37.300 --> 00:38.140]  They call you what?
[00:38.820 --> 00:40.120]  An American classic.
[00:40.400 --> 00:41.100]  You had to be there.
[00:41.640 --> 00:47.020]  Watch the bonus episode of Immortality on First and you will get that reference.
[00:47.280 --> 00:52.580]  We wrapped up recording that episode about three minutes before we started recording this podcast.
[00:52.880 --> 00:54.120]  Just carrying it over.
[00:54.840 --> 00:57.360]  What did that homeless guy in the alley call you?
[00:57.880 --> 01:00.260]  He told me I was what's wrong with Austin.
[01:01.840 --> 01:07.880]  Apparently what's wrong with Austin is being a true American classic because that's what I've been called.
[01:08.140 --> 01:10.860]  I think a lot of different people call you different things.
[01:11.000 --> 01:13.900]  Would you consider naming Anma? What's wrong with Austin?
[01:14.820 --> 01:15.880]  That would be a great title.
[01:17.300 --> 01:19.780]  What's wrong with Austin? It's just a picture of me and Gus.
[01:20.240 --> 01:21.020]  These guys.
[01:22.460 --> 01:24.140]  Hey, how's everybody doing?
[01:24.920 --> 01:29.700]  Gavin, it's weird. I feel like I've been hanging out with Eric and Andrew for quite a bit now.
[01:29.820 --> 01:34.240]  But I haven't really seen or talked to you in like two weeks. How have you been? I've missed you.
[01:34.360 --> 01:36.900]  I've been good. I've been waiting to talk to all you guys.
[01:36.900 --> 01:39.740]  So what have you been? You've just been playing games and that?
[01:40.780 --> 01:41.940]  Well, I was out of town for a while.
[01:41.960 --> 01:47.020]  What do you mean? He got married and then he went on a honeymoon. What are you talking about?
[01:47.200 --> 01:50.700]  No, I'm talking about all the time you guys have been spent together that I wasn't invited to.
[01:50.760 --> 01:52.180]  Oh, we were recording podcasts.
[01:53.000 --> 01:53.360]  Okay.
[01:54.040 --> 01:56.620]  I mean, I recorded Anma with Eric on Monday.
[01:57.520 --> 02:01.000]  And then I talked to Eric all the time, you know, because we're always talking about work stuff.
[02:01.120 --> 02:05.380]  And then we recorded that whole immortality video like literally right before we did this.
[02:05.380 --> 02:08.260]  So I just, I just, they're very, they're very top of mind.
[02:08.420 --> 02:11.360]  I've been hanging out with them all day, it feels like. And I just have missed you terribly.
[02:11.460 --> 02:16.480]  There's something I've been wanting to tell you since I last saw you and I haven't had the opportunity to tell you.
[02:16.820 --> 02:21.120]  And so I'm just happy to finally be, even though we're not physically in front of each other,
[02:21.240 --> 02:25.080]  because I want to tell you, Gavin, I love you so goddamn much.
[02:25.400 --> 02:29.960]  And the things that you said in your speech touched me to my core.
[02:30.300 --> 02:32.280]  Oh, it was very short, but...
[02:32.280 --> 02:33.780]  No, it was very impactful.
[02:33.780 --> 02:37.580]  I think your wedding was the best wedding I've ever been to.
[02:37.740 --> 02:39.120]  How many weddings are we talking about?
[02:40.060 --> 02:41.680]  Oh, like, oh, I've probably done eight.
[02:42.140 --> 02:44.940]  Hell yeah, dude! First out of eight? Hell yeah!
[02:45.260 --> 02:46.200]  That's high for weddings.
[02:46.520 --> 02:48.460]  Really? I feel like that's low for weddings.
[02:48.920 --> 02:49.100]  Oh.
[02:49.200 --> 02:52.580]  Yeah, but Gavin's a quality individual who only goes to quality weddings.
[02:52.780 --> 02:56.400]  Oh, yeah, I like to really not go to them. So I think eight is quite high for me.
[02:56.400 --> 02:57.180]  Got it, got it, got it.
[02:57.680 --> 03:00.220]  I thought your speech was fantastic.
[03:00.800 --> 03:01.280]  Oh, it was.
[03:01.280 --> 03:07.960]  I thought the short and sweet route was really nice, and it was very heartfelt.
[03:08.520 --> 03:12.980]  And I thought you and Millie both did really great jobs delivering your speech.
[03:13.040 --> 03:19.500]  We sat at the same table, and we were freaking out before the speeches, so we compared speech lengths.
[03:19.820 --> 03:24.780]  And I was very happy that ours were of similar length, because I didn't want to be the shortest one.
[03:25.060 --> 03:28.900]  But I felt like if someone else was as short as mine, then, you know, that's sort of the vibe of the night.
[03:28.900 --> 03:31.180]  I did something very similar.
[03:31.420 --> 03:36.260]  Emily and I wrote our own vows, you know, and so I made her write her vows first.
[03:36.520 --> 03:41.260]  And then when she was happy with them, I made her give me a word count so that I could then match my words.
[03:41.520 --> 03:42.200]  Oh, my God.
[03:43.240 --> 03:45.380]  I just didn't want to have less words than her.
[03:45.480 --> 03:50.420]  I didn't want to deliver, like, a 200-word thing and then have hers be, like, 800 words.
[03:50.500 --> 03:51.560]  And then I look like an asshole.
[03:51.940 --> 03:54.720]  So when I got her word count, I was like, I'll just stay in that ballpark.
[03:54.820 --> 03:58.300]  Then I know I'm commiserate with her level of, you know.
[03:58.300 --> 04:03.400]  I tried to memorize my speech, so I kept walking off on my own into the corner and pacing around.
[04:03.660 --> 04:06.920]  But I realized I was just looking at letters and I wasn't actually memorizing any of it.
[04:07.100 --> 04:08.480]  So I settled for...
[04:08.920 --> 04:14.260]  Then I brought a pen and paper to the wedding and I was going to sneak off into a corner and write it off my phone onto paper.
[04:14.520 --> 04:15.960]  And I couldn't even do that.
[04:16.200 --> 04:21.760]  So I ended up just reading off the notes app of my phone like a true 2023 best man.
[04:22.720 --> 04:24.660]  It was perfect. I wouldn't have had it any other way.
[04:24.980 --> 04:26.260]  Can I guess how his speech went?
[04:26.800 --> 04:28.040]  Yeah, please, go for it.
[04:28.220 --> 04:29.400]  So it was short, but sweet?
[04:30.700 --> 04:31.020]  Yeah.
[04:31.600 --> 04:33.400]  Okay, and did he talk about Emily at all?
[04:33.720 --> 04:37.920]  I mean, it was a best man speech, so it was mostly about me, but he said nice things about Emily.
[04:38.360 --> 04:40.260]  I'm going to guess it went something like...
[04:41.520 --> 04:45.000]  Geoff Ramsey is my monster munch.
[04:45.440 --> 04:49.540]  He's my Branston pickles spread.
[04:50.600 --> 04:53.020]  I'm the bread and he's the spread.
[04:53.560 --> 04:57.280]  And we mix and match like cheese and Branston.
[04:57.680 --> 04:59.860]  Did you get a video of this? This is really good.
[05:00.260 --> 05:01.720]  Who leaked my speech?
[05:02.040 --> 05:04.300]  When did you turn into British Bill Cosby?
[05:08.060 --> 05:08.400]  Never.
[05:09.400 --> 05:10.860]  That's a tough one.
[05:10.860 --> 05:12.200]  The sound of British quaaludes.
[05:13.000 --> 05:14.460]  Should I do a different gap?
[05:14.720 --> 05:19.620]  Oh, I'm gone for free and this is my Branston pickles spread.
[05:20.040 --> 05:25.500]  And this spread represents my friendship with Geoff Ramsey.
[05:25.860 --> 05:29.160]  Or as I call him, an American classic.
[05:29.920 --> 05:33.680]  When you do an impression of anyone, and even an impression of no one.
[05:34.040 --> 05:36.920]  Like, even if you do Johnny Caviar, who doesn't actually exist.
[05:36.920 --> 05:40.780]  It's always so atrocious and I can't figure out why.
[05:40.820 --> 05:42.440]  I'm gone for free!
[05:43.160 --> 05:45.580]  Whoa! Bird noises!
