[00:07.530 --> 00:08.250]  We're live!
[00:09.110 --> 00:13.690]  Hello and welcome to another episode of the Face Break Show.
[00:13.890 --> 00:18.170]  My name is Geoff Ramsey. With me, as always, Emily, my wife,
[00:19.110 --> 00:21.030]  and Eric, my friend.
[00:22.090 --> 00:25.310]  And we're going to do a bunch of fun shit today. Stuff.
[00:25.410 --> 00:27.450]  I'm sorry, I'm not supposed to swear in the first five minutes or something.
[00:27.630 --> 00:30.010]  I don't know who you're apologizing to. You already said it.
[00:30.910 --> 00:31.530]  But that's a good point.
[00:31.850 --> 00:33.090]  Shit, shit, shit, shit, shit, shit, shit, shit, shit.
[00:33.250 --> 00:35.110]  Well, not going to help us. Trouble shits. OK.
[00:35.110 --> 00:38.390]  Uh, so today we're going to do what we always do.
[00:38.630 --> 00:41.230]  We're going to talk about some of the stuff that came out last week
[00:41.230 --> 00:42.170]  and what it graded out at.
[00:42.250 --> 00:45.010]  I want to do a little show and tell for some stuff that I got over the weekend.
[00:45.170 --> 00:46.510]  We'll open a little bit of mail.
[00:46.870 --> 00:50.590]  We'll open up Emily's Disney cutie cuffs, see if we can get her.
[00:51.110 --> 00:52.670]  Who's are you looking for? Marie. Marie.
[00:52.850 --> 00:53.370]  Yeah. Yeah.
[00:53.590 --> 00:56.070]  And then we're going to do something special today.
[00:56.110 --> 00:56.970]  What? Yeah.
[00:57.330 --> 00:59.890]  I do something special in honor of Topps Baseball
[00:59.890 --> 01:02.930]  2024 series one coming out, which is like the big baseball product.
[01:03.510 --> 01:07.950]  I have gone and I have purchased, you know, cut to my screen,
[01:09.910 --> 01:13.010]  every single kind of box.
[01:13.070 --> 01:16.150]  Holy shit. You can buy
[01:17.250 --> 01:19.030]  of Topps 2024.
[01:20.290 --> 01:24.950]  This is if you as far as I'm aware, there's no other way to buy the cards.
[01:25.050 --> 01:25.770]  That's pretty awesome.
[01:25.970 --> 01:29.350]  Now that you've messed them all up, why don't you go ahead
[01:29.350 --> 01:30.470]  and tell me what they're all called?
[01:30.590 --> 01:32.210]  Oh, I can easily do that. Thank you very much.
[01:33.050 --> 01:36.610]  This is what's called a fat pack or a solo pack.
[01:36.750 --> 01:38.450]  Got it. Retail product.
[01:38.590 --> 01:39.730]  This is what's called a hanger.
[01:40.050 --> 01:42.750]  Retail product. As they say, hangers are bangers.
[01:43.390 --> 01:45.970]  This is what's called a retail box.
[01:46.170 --> 01:49.230]  It's designed to be opened up and sold individual packs.
[01:49.330 --> 01:50.070]  Is there a rhyme for that?
[01:50.310 --> 01:51.530]  I don't know. All right. Just making sure.
[01:51.610 --> 01:54.570]  This is what's called a hobby mega box.
[01:54.670 --> 01:56.730]  This is the most expensive of the products.
[01:56.870 --> 01:59.910]  I don't remember how much I paid for this, but it was probably three or 400 bucks.
[01:59.990 --> 02:00.790]  How many packs are in that?
[02:01.270 --> 02:04.630]  I don't know how many packs are in it, but it's going to have an auto and two relics.
[02:04.710 --> 02:05.590]  Does it say it right on the side there?
[02:06.530 --> 02:08.730]  It's 40, 10 packs, 40 cards per pack.
[02:09.070 --> 02:11.710]  Cool. Then we have just a regular hobby box.
[02:12.090 --> 02:14.770]  This would be the most common, I think, collector box.
[02:15.550 --> 02:17.650]  You're going to have one autograph and one or relic.
[02:19.210 --> 02:21.150]  Then blasters, which is how this is retail.
[02:21.250 --> 02:23.730]  This is how most people probably buy cards these days.
[02:23.870 --> 02:25.850]  Blasters would be the most common way to buy a card.
[02:26.650 --> 02:31.670]  Then we have the monster box.
[02:31.710 --> 02:33.610]  This is a retail product.
[02:33.650 --> 02:35.370]  I've never seen it before.
[02:35.430 --> 02:36.230]  I don't know.
[02:37.850 --> 02:39.550]  I bought it online, but supposedly.
[02:39.830 --> 02:40.170]  What's in it?
[02:40.870 --> 02:42.430]  Just all the same shit.
[02:42.750 --> 02:46.890]  So this one has Tops Foil Board, 1989 Tops Foil Board.
[02:46.990 --> 02:48.650]  How many packs and how many cards?
[02:48.810 --> 02:51.210]  How many packs? 16 packs, 14 cards per pack.
[02:51.270 --> 02:52.610]  Got it. 224 total cards.
[02:52.650 --> 02:54.610]  Wow. And then this is what's called a mega box.
[02:54.610 --> 02:56.070]  This is also a retail box.
[02:56.690 --> 02:57.910]  This is about 60 bucks.
[02:58.070 --> 03:02.110]  This is 16 packs, 14 cards per box.
[03:02.170 --> 03:03.230]  And what's the name of this one one more time?
[03:03.650 --> 03:05.410]  This is the Jumbo Hobby.
[03:05.690 --> 03:07.230]  Got it. OK. Jumbo Mega Hobby.
[03:07.250 --> 03:09.950]  You can see the difference a little bit better if you do it like this.
[03:09.970 --> 03:11.150]  Yeah. Just to see.
[03:11.630 --> 03:12.730]  So a lot of times.
[03:12.810 --> 03:17.230]  So this has like 10 packs, but you're like, there's like a ton of cards per pack.
[03:17.270 --> 03:18.390]  Is that sort of like? Yeah.
[03:18.430 --> 03:20.270]  There are 40 cards per pack. That's crazy.
[03:20.670 --> 03:21.590]  Is that kind of like how these are?
[03:22.270 --> 03:23.850]  There's 36 cards in that. This is 36.
[03:23.850 --> 03:24.870]  Wow. Yeah.
[03:24.990 --> 03:28.930]  So these are the expensive two right here that you can only get through hobby shops.
[03:29.430 --> 03:32.490]  And then all this other stuff is technically available at a store.
[03:32.590 --> 03:36.470]  So you bought everything that you could possibly buy for the Tops Baseball 2024?
[03:36.790 --> 03:37.410]  To my knowledge.
[03:37.630 --> 03:40.870]  I don't think there's any other kind of box or pack you can buy.
[03:40.970 --> 03:42.510]  OK. To my knowledge. I might be wrong.
[03:42.610 --> 03:45.150]  So that's not to say we're going to get every card in the collection.
[03:45.310 --> 03:49.770]  It's that we were trying our chances on a lot of this stuff.
[03:49.870 --> 03:52.370]  And now you can see the difference in what you could be buying.
[03:52.370 --> 03:55.350]  I thought this would be a kind of a fun thing where we can go through it together.
[03:56.090 --> 03:58.210]  We're not going to open it all today, but maybe we'll get, you know,
[03:58.250 --> 03:59.290]  take a couple of weeks.
[03:59.470 --> 04:00.930]  We could try, but that's a lot of packs.
[04:01.130 --> 04:03.490]  But I would love to, when it's all said and done, say like, OK,
[04:03.490 --> 04:05.330]  we paid eight bucks for this hanger pack.
[04:05.430 --> 04:06.750]  This is how much money we got out of it.
[04:07.030 --> 04:08.310]  You paid 350 bucks.
[04:08.590 --> 04:09.590]  This is how much we got out of it.
[04:09.870 --> 04:12.370]  You paid whatever in this and determine
[04:14.730 --> 04:15.990]  ourselves to the best of our ability.
[04:16.130 --> 04:18.290]  What is the best bang for your buck? Oh, nice. I like that.
[04:18.450 --> 04:19.190]  I think that's really cool.
[04:19.690 --> 04:24.370]  Teach your people what you can buy and maybe you shouldn't spend $350 on.
[04:24.990 --> 04:27.790]  This one has holiday stuff.
[04:28.470 --> 04:30.830]  Look for eggs, rabbit, flowers, umbrella.
[04:31.390 --> 04:32.450]  I've never seen that.
[04:32.550 --> 04:34.270]  Oh, I can. Yeah, we've seen it.
[04:34.290 --> 04:35.450]  I feel like we've seen it once.
[04:35.630 --> 04:37.630]  We've seen it like once before. It is very weird.
[04:37.950 --> 04:40.810]  So every year they have different parallels, different inserts,
[04:41.050 --> 04:41.970]  different fun things to chase.
[04:42.090 --> 04:46.030]  And each one of these packs or boxes will probably have a different chase.
[04:46.210 --> 04:48.570]  Will these have that thing that we learned about
[04:48.570 --> 04:51.790]  where the one of one base card?
[04:52.230 --> 04:54.270]  So they did this thing this year with tops.
[04:54.350 --> 04:55.910]  And I'm excited to go through it because of this.
[04:56.350 --> 04:58.170]  Where I think it's a great idea.
[04:58.990 --> 05:00.590]  Fanatics is getting a lot of shit right now.
[05:00.690 --> 05:02.390]  Yeah. Fanatics owns tops. They've taken over.
[05:02.470 --> 05:05.150]  They're getting a lot of shit for showing baseball players wieners.
[05:05.290 --> 05:07.250]  Hey, I'm all for it.
[05:07.330 --> 05:09.110]  I know Emily's all in. Those jerseys look fucking terrible, man.
[05:09.110 --> 05:10.830]  They are. It's just nipples and wieners all day long.
[05:11.930 --> 05:16.550]  But they they've been attempting to do some cool stuff in collectibles.
[05:16.550 --> 05:18.230]  This one kind of went awry.
[05:18.470 --> 05:24.170]  They had this idea where they were going to mark the first card of every
[05:24.630 --> 05:27.410]  like the first card, first individual card of each.
