[00:10.890 --> 00:11.850]  And action!
[00:12.850 --> 00:14.410]  I thought we were already in action.
[00:15.670 --> 00:16.950]  Gavin, this is your idea.
[00:18.270 --> 00:24.170]  HELLO AND WELCOME TO THE F***ING FACE CHILDHOOD ADS DRAFT.
[00:25.270 --> 00:28.630]  This one was my suggestion. It's the only one I've been responsible for.
[00:29.690 --> 00:29.990]  Hello.
[00:30.850 --> 00:32.230]  Do you think that puts pressure on you, Gavin?
[00:32.350 --> 00:34.490]  Shot out of a cannon with that intro.
[00:34.570 --> 00:38.790]  Do you feel any intensity that you have to perform well? Because this is your idea.
[00:38.790 --> 00:40.230]  You've got a bunch of bullshit ads.
[00:40.890 --> 00:42.010]  Why did you do this?
[00:43.510 --> 00:47.810]  Do you not have ads that you watched as a kid that have been burned into your memory for several decades?
[00:48.030 --> 00:48.470]  Oh, absolutely.
[00:49.190 --> 00:52.170]  Yeah, I feel like we've all got some of those. Perfect for a draft.
[00:52.650 --> 00:56.190]  This was probably harder to narrow down than my favorite mall stores.
[00:56.410 --> 00:58.770]  There's a lot of childhood ads out there.
[00:58.950 --> 01:01.390]  I found this almost as difficult as the crisps.
[01:01.810 --> 01:01.990]  Yeah.
[01:02.130 --> 01:02.510]  Really?
[01:03.130 --> 01:03.990]  Crisp was hard too.
[01:04.470 --> 01:06.670]  Can you explain how the draft works, Gavin?
[01:09.270 --> 01:12.390]  The pool... the pool is ads.
[01:12.730 --> 01:13.050]  Okay.
[01:13.310 --> 01:13.950]  And, uh...
[01:13.950 --> 01:14.650]  Yeah, that makes sense.
[01:15.570 --> 01:18.510]  Ads specifically to each of our own childhoods.
[01:18.950 --> 01:21.830]  Well, it could be... we might have shared a childhood ad.
[01:22.330 --> 01:22.890]  That's true.
[01:23.090 --> 01:23.950]  That's why it's a draft.
[01:24.270 --> 01:28.050]  You grew up in a different nation. Andrew grew up in a different nation.
[01:28.410 --> 01:30.090]  Geoff grew up in a different decade.
[01:30.330 --> 01:34.210]  So you're right. Me and Nick might have some childhood ads that overlap each other.
[01:34.210 --> 01:38.890]  I'm gonna be so fucking confused if Gavin or Andrew picks one of my ads.
[01:40.550 --> 01:46.510]  I assumed I couldn't pick out of my own childhood. That I couldn't just go crazy and pick someone else's childhood ad that was popular.
[01:48.090 --> 01:53.450]  Also, when is the cutoff for childhood? I had a real dilemma where there was an ad I thought of, but I was 13 when it came out.
[01:53.970 --> 01:56.590]  I'll be honest. Some of mine are from the 2000s.
[01:56.670 --> 01:57.810]  I was born in the 80s.
