[00:01.690 --> 00:02.450]  Free birds.
[00:02.650 --> 00:04.210]  Oh wait, wrong one.
[00:06.510 --> 00:07.310]  Biology homework.
[00:08.250 --> 00:09.050]  SUV fart.
[00:10.050 --> 00:11.190]  Taco Bell drive-thru.
[00:12.850 --> 00:14.710]  I'm gonna win, so I'm not gonna eat the pencil.
[00:14.710 --> 00:17.110]  We agreed that you're gonna eat the pencil dressed as piss boy, right?
[00:18.690 --> 00:21.510]  Oh shit! Oh boy, okay. Am I okay?
[00:22.070 --> 00:22.870]  Oh shit!
[00:23.090 --> 00:25.370]  Just got the shipment of baseball bats...
[00:25.370 --> 00:27.230]  Oh my god, the dog just farted so loud.
[00:27.350 --> 00:27.690]  You're lit.
[00:28.190 --> 00:28.990]  Shut up!
[00:30.390 --> 00:31.230]  Fuck!
[00:34.970 --> 00:37.310]  Like sat in the little uber.
[00:38.030 --> 00:41.090]  My real name is Raymond Somer.
[00:43.830 --> 00:46.110]  That's why I had another root canal!
[00:51.890 --> 00:54.650]  I fucked up so bad!
[01:00.490 --> 01:01.170]  Oh!
[01:01.630 --> 01:06.750]  Oh my goodness.
[01:07.130 --> 01:08.070]  Oh, okay.
[01:08.190 --> 01:08.530]  There you go.
[01:08.890 --> 01:09.510]  You got it.
[01:09.570 --> 01:09.870]  Okay.
[01:11.130 --> 01:13.650]  The definition of condiment.
[01:16.090 --> 01:16.510]  Yes!
[01:16.970 --> 01:19.390]  I like that this guy is complaining.
[01:19.630 --> 01:20.190]  What's that noise?
[01:27.340 --> 01:29.040]  He's gassed himself up.
[01:29.760 --> 01:30.080]  No!
[01:39.800 --> 01:41.340]  God damn it!
[01:41.600 --> 01:42.980]  Are you serious?
[01:43.060 --> 01:43.500]  God damn it!
[01:43.960 --> 01:44.920]  God damn it!
[01:45.260 --> 01:45.580]  No!
[01:45.960 --> 01:47.940]  I bought a port-a-potty a year ago.
[01:48.700 --> 01:49.560]  Got it all scheduled.
[01:50.220 --> 01:50.860]  Correct.
[01:51.520 --> 01:52.160]  That's...
[01:54.800 --> 01:56.080]  So gas...
[01:57.660 --> 02:00.180]  They look like dog shit!
[02:09.300 --> 02:12.480]  We got salad cream frozen bomb pops.
[02:12.520 --> 02:14.120]  Interesting and aggravating.
[02:17.360 --> 02:17.500]  What?
[02:17.940 --> 02:19.000]  What was that?
[02:19.020 --> 02:20.580]  What is...
[02:22.980 --> 02:24.820]  My name is...
[02:24.820 --> 02:25.820]  What the fuck was that?
[02:26.080 --> 02:26.880]  What are you...
[02:26.880 --> 02:27.280]  Oh!
[02:27.920 --> 02:28.460]  Stop!
[02:29.260 --> 02:30.060]  No!
[02:30.920 --> 02:31.260]  Stop!
[02:31.720 --> 02:32.340]  Yeah!
[02:33.700 --> 02:34.180]  Oh wait.
[02:34.480 --> 02:35.620]  Stop, no chef!
[02:39.060 --> 02:42.840]  This might be the final part of my best of f***face compilation.
[02:43.240 --> 02:44.760]  Oh my fucking god!
[02:45.400 --> 02:45.840]  Oh!
[02:48.900 --> 02:49.080]  Oh!
[02:49.500 --> 02:50.300]  Oh!
[02:50.900 --> 02:51.240]  Oh!
[02:52.060 --> 02:52.480]  Oh!
[02:53.320 --> 02:54.120]  Oh!
[02:54.520 --> 02:54.820]  Oh!
[02:55.180 --> 02:56.980]  God damn it!
[02:57.000 --> 02:57.860]  God damn it!
