[00:14.960 --> 00:15.880]  Well, here we are.
[00:18.400 --> 00:19.060]  Office day.
[00:19.900 --> 00:20.800]  Is this the entrance?
[00:21.560 --> 00:24.500]  Eric said that this is the only time we'll ever use the pizza oven.
[00:25.100 --> 00:25.880]  And that that's it.
[00:26.060 --> 00:28.800]  But I say, and Nick agreed very quickly,
[00:29.080 --> 00:33.120]  this will be a semi-regular thing and we'll keep coming up with recipes and improving.
[00:33.300 --> 00:35.320]  It all goes into the cookbook.
[00:35.440 --> 00:39.100]  Hi, welcome to the supplementary episode of F*** Face.
[00:39.160 --> 00:41.000]  We've gotten together at Geoff's house to cook these pizzas.
[00:41.000 --> 00:42.680]  It's how you set the scene.
[00:42.740 --> 00:44.940]  But this is like 20 minutes into the pizza video, isn't it?
[00:45.040 --> 00:45.960]  Is this a separate thing?
[00:46.380 --> 00:49.480]  Are we not releasing audio of this?
[00:50.300 --> 00:51.440]  As an audio podcast?
[00:51.860 --> 00:51.880]  Oh!
[00:53.940 --> 00:55.280]  Are you for real?
[00:55.580 --> 00:57.280]  See, this is why he produces.
[00:57.780 --> 00:59.540]  It's an audio podcast!
[01:01.000 --> 01:01.940]  He's right. He's totally right.
[01:02.320 --> 01:04.020]  There are people who just want this!
[01:04.340 --> 01:04.980]  He's totally right.
[01:05.920 --> 01:07.300]  No, you're right. That's a good point.
[01:07.300 --> 01:12.240]  Well, in that case, let me just say, we just filmed episode 128 yesterday.
[01:12.940 --> 01:13.680]  And then this today.
[01:13.820 --> 01:15.700]  Eric has been on point with the intros.
[01:15.920 --> 01:18.020]  I nominate Eric for season 5 intro guy.
[01:18.580 --> 01:22.320]  It's so easy to set the scene and then you go.
[01:22.580 --> 01:24.380]  I don't...
[01:24.380 --> 01:28.020]  Welcome to F*** Face Supplementary Pizza Podcast number 1.
[01:28.140 --> 01:29.440]  Office day number 2.
[01:29.600 --> 01:30.620]  Not quite sausage talk.
[01:30.960 --> 01:33.740]  It's Geoff, it's Gavin, it's Andrew.
[01:33.980 --> 01:35.540]  Nick and Emily also here.
[01:35.540 --> 01:39.140]  We're recording live at Geoff's house.
[01:39.260 --> 01:40.380]  Geoff and Emily's house. I'm sorry, Emily.
[01:40.820 --> 01:43.140]  Geoff and Emily's house, which is beautiful, Emily.
[01:43.580 --> 01:44.620]  It's absolutely gorgeous.
[01:45.020 --> 01:46.240]  Only she gets the compliment for that.
[01:47.120 --> 01:47.600]  Yeah.
[01:48.200 --> 01:50.200]  As if I'm some design scrub.
[01:50.420 --> 01:54.880]  I will say, I don't think it would look like this if you were to decorate it.
[01:57.680 --> 02:00.720]  Andrew is in his home in Canada.
[02:00.780 --> 02:01.100]  I am.
[02:01.260 --> 02:04.160]  And is trying to make a similar pizza.
[02:04.160 --> 02:06.540]  And that's the scene. Take it away.
[02:06.740 --> 02:08.500]  Well, yeah, I don't know.
[02:08.600 --> 02:11.060]  Similar is... I went a completely different direction.
[02:11.260 --> 02:11.900]  Not similar.
[02:12.180 --> 02:13.620]  To be honest.
[02:14.220 --> 02:18.240]  I did ask Eric to forward me the list of ingredients that they were going to get.
[02:18.640 --> 02:21.080]  But then Geoff just decided to make a pepperoni pizza.
[02:21.200 --> 02:22.700]  So I didn't feel like I needed to follow up.
[02:22.700 --> 02:23.940]  Well, I still made my pizza.
[02:24.120 --> 02:27.160]  Just so you know, pepperonis on the list.
[02:28.860 --> 02:29.580]  There you go.
[02:30.420 --> 02:30.640]  Yeah.
[02:31.400 --> 02:32.700]  So what did you make?
[02:32.840 --> 02:34.460]  Do you want to see us first?
[02:34.660 --> 02:38.200]  I did a very basic barbecue base pizza.
[02:38.360 --> 02:38.820]  With some cheese.
[02:38.980 --> 02:40.280]  Cheese barbecue pizza.
[02:40.520 --> 02:42.600]  What kind of barbecue sauce did you use as the base?
[02:43.460 --> 02:47.440]  I used a Rufus Teague barbecue sauce.
[02:47.820 --> 02:48.640]  As the base sauce.
[02:48.840 --> 02:51.280]  Is Rufus Teague a famous Canadian barbecue master?
[02:52.020 --> 02:53.520]  I don't know anything about...
[02:53.520 --> 02:55.180]  What was the woman that made the baskets?
[02:55.440 --> 02:59.400]  I know less about the barbecue guy than I know about Leona Waddell.
[02:59.460 --> 03:00.240]  I think was her name.
[03:00.240 --> 03:01.820]  On the scale of knowing.
[03:02.140 --> 03:07.440]  Can I ask, are you saying that you just put barbecue sauce instead of tomato sauce and then put cheese on top of it?
[03:08.100 --> 03:08.400]  Yeah.
[03:08.860 --> 03:09.980]  That's exactly what I did.
[03:10.440 --> 03:12.240]  Did it usually have chicken or something on it?
[03:12.960 --> 03:14.640]  No, absolutely. Yeah, I didn't have chicken.
[03:15.800 --> 03:16.660]  Wasn't on the list.
[03:16.900 --> 03:20.040]  I'll tell you what, Andrew. I didn't have any of the stuff that I used today.
[03:20.240 --> 03:20.920]  We just got it.
[03:22.220 --> 03:22.880]  No, that's fair.
[03:23.080 --> 03:23.280]  Yeah.
[03:25.040 --> 03:26.740]  Listen, I'm cooking out of a skillet.
[03:26.740 --> 03:28.700]  If we want to be honest, I realized phase one.
[03:28.860 --> 03:34.980]  I was in trouble when last night I went to remove my dough from the freezer, which had been there a while.
[03:35.140 --> 03:38.100]  And I learned it expired like seven months ago.
[03:38.180 --> 03:40.060]  So I didn't have much hope for this.
[03:40.060 --> 03:41.480]  Just generally speaking.
[03:41.680 --> 03:45.040]  He was going to make pizza any day now for about a year.
[03:45.580 --> 03:45.620]  I left it.
[03:45.860 --> 03:48.740]  Now, is that in your little mini fridge in your bedroom?
[03:49.440 --> 03:50.080]  No, no, no.
[03:50.120 --> 03:51.160]  That's a proper fridge.
[03:51.180 --> 03:52.940]  I don't have a freezer in my little mini fridge.
[03:53.080 --> 03:54.340]  So this is properly frozen.
[03:55.520 --> 03:58.500]  But yeah, the yeast was not great.
[03:58.840 --> 03:59.520]  Probably died.
[04:00.000 --> 04:01.340]  Didn't rise very much.
[04:04.370 --> 04:05.290]  Kind of flat.
[04:05.470 --> 04:06.210]  Kind of hard.
[04:07.230 --> 04:08.750]  In ways I can't describe.
[04:09.070 --> 04:11.270]  Maybe that's the death of the yeast in the dough.
[04:11.510 --> 04:14.130]  I've taken a variety of photos to show you my dough.
[04:14.270 --> 04:15.910]  I've made several pizzas this month.
[04:15.930 --> 04:16.710]  Should we switch to a...
[04:16.710 --> 04:18.750]  So what did you do then?
[04:19.510 --> 04:20.450]  What do you mean, what did I do?
[04:20.590 --> 04:22.410]  Did you use the seven month expired dough?
[04:23.530 --> 04:24.250]  Yeah, absolutely.
[04:24.370 --> 04:26.330]  It's been frozen this entire time.
[04:27.190 --> 04:28.850]  You're gonna die.
[04:29.210 --> 04:30.410]  He's gonna get botulism.
[04:31.250 --> 04:32.150]  It's just yeast.
[04:32.350 --> 04:33.530]  It's just the yeast that died.
[04:33.950 --> 04:35.250]  I'm not gonna die, the yeast died.
[04:35.250 --> 04:36.790]  It's only some of it that's dead.
[04:36.950 --> 04:38.090]  Why don't you show us?
[04:39.710 --> 04:41.830]  Okay, let me pull up my phone.
[04:42.490 --> 04:43.750]  So this has been a journey as a whole.
[04:43.850 --> 04:47.290]  So I'm gonna show you guys mine before I get to see the pizzas that you made.
[04:47.350 --> 04:47.590]  Yeah.
[04:47.890 --> 04:48.830]  I'm guessing based on this setup.
[04:48.830 --> 04:51.470]  Okay, so we're gonna go on a little bit of a journey.
[04:51.570 --> 04:52.570]  So I used a skillet.
[04:52.750 --> 04:55.870]  The tiny waffle maker skillet version you guys had.
[04:55.990 --> 04:56.490]  So this is...
[04:56.950 --> 04:58.710]  This is my first...
[04:58.710 --> 05:00.490]  This is my first attempt, okay?
[05:00.570 --> 05:02.010]  So I made a tiny little baby pizza.
[05:02.130 --> 05:05.450]  I used a McDonald's million dollar game piece for scale.
[05:06.070 --> 05:08.490]  So you can see the size of how tiny it is.
[05:08.610 --> 05:08.750]  Oh. Oh. Oh. Oh.
[05:08.890 --> 05:09.270]  God.
[05:10.350 --> 05:11.710]  I went with a tiny little pizza.
[05:11.830 --> 05:12.570]  He made pizza chips.
[05:14.130 --> 05:14.710]  What'd he say?
[05:14.710 --> 05:16.990]  Pizza chips! That sounds amazing!
[05:17.450 --> 05:19.230]  Yeah, it's a little pizza chip.
[05:19.230 --> 05:21.510]  That's a great idea. I thought about getting Pringles pizza chips.
[05:21.590 --> 05:23.050]  To maybe put those in the mix.
[05:23.070 --> 05:24.250]  But I didn't. So I let that cook.
[05:24.330 --> 05:25.950]  I wasn't confident it would cook at all.
[05:26.030 --> 05:28.490]  It did. It rose. It even rose.
[05:28.570 --> 05:30.690]  There's still some yeast alive in that son of a bitch.
[05:30.750 --> 05:34.050]  And I prepared a second tiny little pizza.
[05:34.170 --> 05:35.130]  Which I put on.
[05:35.550 --> 05:36.150]  And let me say.
[05:36.810 --> 05:39.210]  It looked fucking delicious as it cooked.
[05:39.590 --> 05:40.490]  It rose. It cooked.
[05:40.650 --> 05:41.670]  You got a little cheese going.
[05:41.670 --> 05:43.670]  That one actually looked pretty god damn good.
[05:43.970 --> 05:46.770]  So that's my tiny little pizza I had.
[05:47.470 --> 05:49.570]  And every time. Every pizza I made.
[05:49.630 --> 05:51.510]  I got like Italian pizza hands.
[05:51.590 --> 05:53.350]  Because I'd make a pizza and I'd grow confident.
[05:53.630 --> 05:55.130]  So we finished the little guy.
[05:55.390 --> 05:57.690]  Put that to the side. We started working bigger.
[05:57.910 --> 05:59.930]  We're getting a little bit bigger with every little pizza.
[06:00.290 --> 06:01.370]  I ate the little one.
[06:01.570 --> 06:03.530]  Honestly delicious. It was fantastic.
[06:03.970 --> 06:05.110]  It's fantastic pizza.
[06:05.570 --> 06:07.030]  I ate the second one.
[06:07.290 --> 06:09.270]  That you see next to it as well.
[06:09.270 --> 06:10.090]  I cooked that up.
[06:10.590 --> 06:12.090]  I took a bite. I was so excited.
[06:12.250 --> 06:13.950]  I ate it before I could even take a photo.
[06:14.530 --> 06:15.330]  Very doughy.
[06:17.090 --> 06:18.570]  Didn't cook all the way through.
[06:18.870 --> 06:20.850]  Was the problem on that one.
[06:21.150 --> 06:23.010]  But we kept trying. And we just kept getting bigger.
[06:23.070 --> 06:25.130]  We gotta get more cheese in the mix.
[06:25.310 --> 06:25.810]  Oh wow.
[06:27.950 --> 06:30.190]  Your pizza confidence is growing.
[06:30.530 --> 06:31.150]  It is incredible.
[06:31.170 --> 06:33.110]  It is. Yeah. It has grown exponentially.
[06:33.610 --> 06:35.610]  Got that cooking in the skillet.
[06:35.970 --> 06:37.230]  I couldn't close the lid.
[06:37.230 --> 06:38.870]  Because it was burning the top of the cheese.
[06:39.050 --> 06:40.590]  Which was a problem I should have considered.
[06:41.130 --> 06:42.870]  Beforehand. So we went open faced.
[06:43.210 --> 06:46.370]  And this is what is currently sitting next to me.
[06:46.810 --> 06:47.850]  Ready to be enjoyed.
[06:48.330 --> 06:49.830]  It's gonna be very doughy.
[06:50.050 --> 06:51.690]  It doesn't look very much like a pizza.
[06:51.970 --> 06:53.310]  It's barbecue sauce.
[06:53.430 --> 06:55.090]  It's barbecue sauce on dough.
[06:55.250 --> 06:56.750]  With some cheese melted on top.
[06:57.570 --> 06:59.170]  You can't really see the pizza.
[07:00.490 --> 07:00.730]  What?
[07:01.310 --> 07:03.010]  Is that the crust of the top?
[07:03.350 --> 07:05.050]  It spilled over quite a lot.
[07:05.050 --> 07:07.250]  It looks like the blob from the blob.
[07:07.730 --> 07:08.430]  It does.
[07:09.710 --> 07:11.230]  It looks like remnants
[07:11.230 --> 07:12.970]  of the marshmallow man
[07:12.970 --> 07:13.750]  from Ghostbusters.
[07:14.210 --> 07:15.690]  You shot a chunk off him.
[07:17.190 --> 07:18.970]  Yeah, it's not great. It's gonna be bad.
[07:19.030 --> 07:21.070]  But the little ones I'm telling you are fucking delicious.
[07:21.190 --> 07:21.830]  They look pretty good.
[07:21.970 --> 07:23.130]  That little baby one.
[07:24.430 --> 07:25.870]  Let's stay on that.
[07:26.250 --> 07:28.230]  I love that.
[07:29.150 --> 07:30.950]  He kind of fell to his pizza hubris.
[07:31.530 --> 07:33.090]  He got pretty confident.
[07:33.090 --> 07:34.970]  It's like confidence, quality.
[07:35.030 --> 07:38.930]  Yeah, it's a great scale.
[07:40.390 --> 07:41.290]  I'm excited to see
[07:41.290 --> 07:42.510]  what you all did.
[07:42.610 --> 07:45.090]  I had a belief going in that mine would be undercooked
[07:45.090 --> 07:46.230]  and yours would be charcoal.
[07:46.550 --> 07:48.070]  Was how I assumed it would go.
[07:49.310 --> 07:51.290]  I said yesterday that it would be
[07:51.290 --> 07:53.110]  two ends of a different shit spectrum.
[07:54.630 --> 07:56.710]  Now, which do you want to start?
[07:56.770 --> 07:58.890]  Do you want to start with Geoff's pizza or do you want to start with Gavin's pizza?
[07:58.950 --> 07:59.510]  Or Eric's.
[07:59.510 --> 08:01.110]  I made a baby one.
[08:01.230 --> 08:02.390]  Oh, Eric made a pizza too?
[08:02.450 --> 08:04.890]  Yours might be good to start with because it would take over from his size.
[08:05.230 --> 08:06.130]  Oh, we can grow in size.
[08:06.910 --> 08:08.450]  We'll present our pizzas to you, Andrew.
[08:08.490 --> 08:09.430]  I'll monitor the camera.
[08:11.370 --> 08:13.490]  So your pizza is slightly bigger?
[08:13.650 --> 08:14.230]  Is that what you're saying?
[08:15.210 --> 08:16.630]  This is my baby pizza.
[08:17.750 --> 08:19.670]  Oh, this is Eric's. That looks delicious.
[08:20.090 --> 08:20.430]  Thank you.
[08:20.630 --> 08:21.530]  That looks great.
[08:23.430 --> 08:25.110]  It's a regular pepperoni pizza.
[08:25.790 --> 08:28.250]  And I did a crescent roll stuffed crust
[08:28.250 --> 08:29.870]  with mozzarella cheese on the outside.
[08:31.010 --> 08:31.730]  That's fantastic.
[08:31.970 --> 08:33.570]  There you go. I'm pretty happy about that.
[08:33.710 --> 08:35.870]  I want a piece of that.
[08:35.910 --> 08:36.770]  Right? Not bad.
[08:38.890 --> 08:40.610]  Andrew, that's the first of our pizzas.
[08:41.490 --> 08:42.730]  Do we want to go to Geoff's now?
[08:42.890 --> 08:43.470]  I think we should go to Geoff's.
[08:44.810 --> 08:46.650]  And then we can tuck in all together.
[08:48.110 --> 08:50.110]  Because Geoff's is very similar, I believe.
[08:50.270 --> 08:51.830]  It's just a pepperoni pizza as well,
[08:52.150 --> 08:52.890]  from what I understand.
[08:53.670 --> 08:56.050]  Yeah, this is a nice, lovely pepperoni.
[08:56.050 --> 08:57.250]  I don't like the way he's got the knife out.
[08:57.470 --> 08:59.090]  We don't have a pizza cutter.
[09:01.790 --> 09:04.130]  You know what? That's not as overcooked,
[09:04.230 --> 09:06.210]  for sure, but it's not nearly as bad
[09:06.210 --> 09:08.410]  as I expected. That looks like a store-bought pizza.
[09:08.510 --> 09:10.010]  That doesn't look like a pizza...
[09:10.010 --> 09:10.430]  How's that?
[09:11.950 --> 09:13.910]  Yeah, it looks fine.
[09:14.030 --> 09:14.590]  Wow, he's not impressed.
[09:14.810 --> 09:17.210]  He was so complimentary of mine.
[09:17.790 --> 09:18.670]  Yeah, it was okay.
[09:19.510 --> 09:20.710]  It's a little too flat for me.
[09:21.250 --> 09:22.450]  I like a thicker crust, personally.
[09:22.450 --> 09:22.990]  Okay.
[09:23.630 --> 09:24.930]  And now, Gavin.
[09:25.510 --> 09:26.590]  I'll be right back, Andrew.
[09:28.590 --> 09:30.210]  Let me set this down.
[09:31.510 --> 09:32.790]  So far, I'd say Eric is winning.
[09:33.110 --> 09:33.670]  Well, thank you.
[09:34.230 --> 09:35.090]  I'm hard to disagree.
[09:35.270 --> 09:36.630]  He's not going to be very nice.
[09:38.330 --> 09:40.090]  Gavin said Andrew's not going to be very nice.
[09:40.910 --> 09:41.610]  Alright, Andrew, you ready?
[09:41.970 --> 09:43.350]  Let's see yours.
[09:43.710 --> 09:44.710]  The Plowman's Pizza.
[09:45.530 --> 09:48.070]  Well, it looks like it was made by a plowman.
[09:48.530 --> 09:50.210]  It has your staple to it.
[09:50.210 --> 09:52.010]  Let me introduce you to some of the ingredients.
[09:52.910 --> 09:57.570]  Obviously, we've got the Branston Pickle stuffed crust that Eric decided we should make.
[09:57.730 --> 09:59.710]  We've got some ham under there.
[09:59.970 --> 10:00.930]  All English cheddar.
[10:01.550 --> 10:03.730]  We've got some boiled eggs, sliced.
[10:04.290 --> 10:05.310]  We've got some chutney.
[10:05.670 --> 10:06.710]  We've got some Piccadilly.
[10:07.190 --> 10:10.710]  And under one side is a load of pickled onion.
[10:12.090 --> 10:13.690]  That looks so bad.
[10:14.130 --> 10:15.310]  That looks terrible.
[10:15.950 --> 10:20.770]  It looks like whoever cooked it realized the Branston was shit and tried to burn it out.
[10:20.850 --> 10:23.650]  Just like all of your edges are fucked.
[10:24.230 --> 10:28.330]  By the way, this happened within about 16 seconds of being in there.
[10:29.270 --> 10:30.990]  I can't wait to see the video.
[10:31.950 --> 10:34.270]  Well, the presentation is done.
[10:34.590 --> 10:36.010]  Geoff left to go get another soda.
[10:39.290 --> 10:41.710]  So we're going to try each of these pizzas.
[10:42.210 --> 10:43.470]  Which one do we want to try first?
[10:43.470 --> 10:44.290]  Do we want to go down the line?
[10:44.370 --> 10:45.770]  Do we want to save Branston for last?
[10:46.030 --> 10:47.610]  Or do you want to tuck right into it?
[10:47.690 --> 10:49.290]  Because then we'll be full and we won't need to eat it.
[10:51.330 --> 10:51.930]  Thank you.
[10:52.370 --> 10:53.910]  Okay, I guess we'll...
[10:53.910 --> 10:54.630]  God, what a knife.
[10:54.930 --> 10:55.370]  Great knife.
[10:58.230 --> 11:01.010]  Okay, we're going to tuck into my tiny pep.
[11:02.130 --> 11:03.370]  So here we have
[11:04.490 --> 11:06.150]  Eric's tiny ratman pizza.
[11:06.930 --> 11:09.390]  We have Geoff's simple pepperoni pizza.
[11:09.570 --> 11:11.170]  And we have Gavin's plowman special.
[11:13.470 --> 11:15.130]  All three are going to go in the recipe book.
[11:16.810 --> 11:17.630]  Look at that.
[11:18.570 --> 11:19.970]  Imagine if this was a pizza cutter.
[11:20.250 --> 11:21.290]  That would be crazy.
[11:22.270 --> 11:24.250]  He's really hung up on the pizza cutter.
[11:24.490 --> 11:26.770]  Yeah, well, it's part of, you know, cutting a pizza.
[11:29.270 --> 11:30.710]  It worked fine.
[11:31.550 --> 11:32.830]  Geoff, you want a little slice?
[11:32.930 --> 11:33.810]  Yeah, baby, of course.
[11:34.390 --> 11:36.150]  The only one I don't want is Gavin's.
[11:36.370 --> 11:37.130]  Oh, come on now.
[11:37.230 --> 11:37.930]  No, I'm going to have some.
[11:39.510 --> 11:39.870]  Gavin?
[11:40.090 --> 11:41.650]  Do we, like, all eat at the same time?
[11:41.690 --> 11:42.050]  Yeah.
[11:42.790 --> 11:43.330]  Well, I'll wait.
[11:45.430 --> 11:46.150]  I'm starving.
[11:48.030 --> 11:49.890]  Gavin, do you think that this...
[11:49.890 --> 11:51.550]  Do you think your pizza is going to taste better
[11:51.550 --> 11:52.570]  than the condiment you made?
[11:52.830 --> 11:54.430]  If we're going to compare previous creations.
[11:55.490 --> 11:57.470]  Let's not bring up condiments while we're all in person.
[11:57.890 --> 11:59.130]  Alright, let's give it a try.
[12:06.090 --> 12:06.690]  Pepperoni pizza.
[12:08.190 --> 12:08.950]  There's cheese.
[12:09.510 --> 12:10.310]  There's pepperoni.
[12:11.150 --> 12:11.870]  There's dough.
[12:12.550 --> 12:13.410]  I can taste the dough.
[12:13.410 --> 12:14.310]  How's the stuffed crust?
[12:14.450 --> 12:15.370]  The dough flavor's there.
[12:16.270 --> 12:18.390]  Stuffed crust is good. This is a good pizza.
[12:19.990 --> 12:21.050]  That looks like a great pizza.
[12:21.510 --> 12:24.050]  I think if we learn how to control the temperature
[12:24.050 --> 12:26.070]  and then learn what temperature we need to cook at,
[12:26.070 --> 12:27.690]  we can really dial that in.
[12:30.150 --> 12:31.250]  Should we try that one?
[12:32.130 --> 12:32.490]  Absolutely.
[12:33.570 --> 12:34.150]  I'll cut it up.
[12:35.930 --> 12:37.430]  If only I had a pizza cutter, right?
[12:38.810 --> 12:39.890]  He's saying it like that,
[12:39.990 --> 12:42.090]  but now he has to cut the pizza, so I guess we'll wait and see.
[12:42.850 --> 12:43.830]  So for those listening,
[12:43.970 --> 12:45.890]  moving on to Geoff's pepperoni.
[12:47.210 --> 12:49.670]  You really should be watching this, but...
[12:49.670 --> 12:50.990]  This video is on YouTube as well,
[12:51.050 --> 12:52.070]  so you can see...
[12:52.670 --> 12:53.630]  There's also a video
[12:53.630 --> 12:55.750]  of the process
[12:55.750 --> 12:57.090]  of the pizza being made.
[12:57.250 --> 12:58.130]  Or maybe it's just one video.
[12:58.730 --> 13:00.710]  Gavin said, please, only make me make one video.
[13:01.650 --> 13:03.470]  Well, I'm not making this bit, so it's fine, right?
[13:06.850 --> 13:07.770]  Who's making this bit?
[13:07.930 --> 13:09.050]  This is audio.
[13:14.050 --> 13:15.630]  Andrew, I'm kind of bummed that you're not here
[13:15.630 --> 13:16.510]  to eat the pizza with us.
[13:17.810 --> 13:19.210]  Yeah, honestly, seeing
[13:19.210 --> 13:21.490]  both of your pizzas made me realize
[13:21.490 --> 13:23.670]  that my pizza is barely pizza at all.
[13:23.810 --> 13:25.690]  It reduced... I was feeling good about my pizza
[13:25.690 --> 13:27.770]  until I looked at yours and Geoff's.
[13:27.830 --> 13:29.030]  I was feeling good about my pizza
[13:29.030 --> 13:29.830]  until I looked at mine.
[13:30.430 --> 13:32.290]  I would never feel good about what you made.
[13:32.770 --> 13:33.350]  That's on you.
[13:33.770 --> 13:35.350]  Geoff got that big slice.
[13:36.110 --> 13:37.750]  I deserve it.
[13:38.610 --> 13:39.590]  You cooked them.
[13:39.770 --> 13:40.490]  We tuck it into this one?
[13:40.590 --> 13:41.770]  Yeah, let's tuck it in.
[13:46.030 --> 13:46.430]  Oh!
[13:48.490 --> 13:49.170]  Oh, baby!
[13:56.180 --> 13:59.040]  Emily went, mmm, and then threw it down.
[13:59.900 --> 14:02.860]  That is a bog-standard
[14:02.860 --> 14:05.040]  pepperoni pizza. Thin-crust pepperoni pizza.
[14:05.400 --> 14:06.620]  That same sort of doughy feel.
[14:08.640 --> 14:10.280]  I'm going to suffer some of the same issues
[14:10.280 --> 14:12.440]  with not knowing what temperature to cook a pizza at.
[14:12.680 --> 14:14.780]  I think this tastes like pizza
[14:14.780 --> 14:16.560]  you would get at Blazertag.
[14:18.200 --> 14:19.120]  In a good way.
[14:20.280 --> 14:20.800]  Yeah.
[14:22.260 --> 14:23.180]  Yeah, good way.
[14:23.900 --> 14:25.180]  Sometimes that's the pizza you like.
[14:25.580 --> 14:26.600]  A cafeteria pizza.
[14:28.160 --> 14:29.400]  It is like tombstone.
[14:30.660 --> 14:31.480]  I would eat that.
[14:32.600 --> 14:33.600]  You're eating it right now.
[14:37.740 --> 14:38.780]  And finally...
[14:38.780 --> 14:40.360]  Oh, God!
[14:40.620 --> 14:42.800]  This is going to be so gushy, I think.
[14:43.500 --> 14:43.940]  Yes.
[14:48.040 --> 14:49.340]  Pallet cleanser for later.
[14:51.240 --> 14:53.520]  Okay, who wants the onion side
[14:53.520 --> 14:55.340]  and who wants the regular Branson side?
[14:55.780 --> 14:56.060]  I'm good.
[14:56.800 --> 14:59.180]  Nick is so into this.
[14:59.660 --> 15:00.480]  Oh, God.
[15:01.160 --> 15:01.860]  Now I'm scared.
[15:02.600 --> 15:05.440]  Nick is, like, ready to try anything
[15:05.440 --> 15:07.660]  and also go, ooh, it's good.
[15:08.980 --> 15:10.120]  That's so much cut...
[15:10.120 --> 15:11.220]  What are you... Oh, my God.
[15:13.420 --> 15:14.300]  Oh, God.
[15:14.300 --> 15:15.160]  The impression I get from Nick
[15:15.160 --> 15:17.000]  in these moments is that Nick
[15:17.000 --> 15:18.320]  really likes being alive.
[15:18.680 --> 15:19.040]  Oh, yeah.
[15:19.700 --> 15:21.680]  Really, you're just, like, into life.
[15:21.780 --> 15:23.000]  You're like, I'm just going to do it all.
[15:23.320 --> 15:26.420]  I think Nick is a guy who really watches
[15:26.420 --> 15:28.460]  what he eats around the house
[15:28.460 --> 15:29.840]  and does a good job about it,
[15:29.940 --> 15:32.500]  so when it's time for face jam
[15:32.500 --> 15:34.400]  or face to do a pizza day,
[15:34.700 --> 15:36.240]  he goes, all right!
[15:37.040 --> 15:38.240]  And that's it.
[15:38.240 --> 15:39.080]  Hang on.
[15:39.760 --> 15:40.940]  What happened here?
[15:42.560 --> 15:48.340]  Oh, I got a big-ass chunk of egg.
[15:48.480 --> 15:48.800]  Thank you.
[15:49.440 --> 15:51.960]  Here's my initial assessment before biting into it.
[15:52.120 --> 15:53.400]  It stinks.
[15:55.040 --> 15:56.220]  There is an odor.
[15:56.620 --> 15:58.260]  When I was holding the laptop earlier,
[15:58.420 --> 16:00.360]  there was a distinct odor.
[16:00.700 --> 16:02.180]  Yeah, a stink odor.
[16:02.260 --> 16:03.800]  You're right. 100%.
[16:03.800 --> 16:05.520]  Down the hatch?
[16:06.180 --> 16:06.540]  Yeah.
[16:06.780 --> 16:07.940]  I'm going to go get a drink.
[16:09.100 --> 16:10.160]  Yeah, absolutely, man.
[16:11.800 --> 16:13.160]  I got Diet Coke and Diet Coke.
[16:13.160 --> 16:13.720]  Hey, can I have one?
[16:16.260 --> 16:17.740]  Is this, like, an onion odor?
[16:17.800 --> 16:19.460]  Like, what is the scent, would you say?
[16:19.480 --> 16:21.200]  Well, I think part of it is
[16:21.200 --> 16:23.840]  it's pickled and it's chutneyed
[16:23.840 --> 16:25.400]  and it's oniony,
[16:25.480 --> 16:26.160]  so it's like a
[16:27.100 --> 16:28.300]  vomit-y sweet and sour.
[16:28.460 --> 16:29.600]  Hey, Geoff, you're out of sodas.
[16:31.540 --> 16:32.400]  I got one outside.
[16:33.160 --> 16:34.140]  All right, do we want to
[16:34.140 --> 16:34.900]  all bite at the same time?
[16:37.060 --> 16:38.200]  I'm going to go for the tip
[16:38.200 --> 16:40.020]  and I'm also going to go and grab some crust afterwards.
[16:40.480 --> 16:41.860]  Oh, it's so wet.
[16:42.040 --> 16:42.680]  Okay, here we go.
[16:43.300 --> 16:43.980]  Stop burping!
[16:45.060 --> 16:45.680]  I can't make room.
[16:52.080 --> 16:56.400]  Ooh, that is...
[17:04.060 --> 17:05.880]  You know in, like, a horror movie when, like,
[17:05.940 --> 17:07.940]  in a found footage, like, all the audio cuts
[17:07.940 --> 17:09.800]  out when the worst thing happens? That's what
[17:09.800 --> 17:11.820]  I've experienced. Like, I can just tell this is the
[17:11.820 --> 17:13.920]  worst part of this pizza eating.
[17:14.000 --> 17:15.180]  Did you go crust? Yeah.
[17:15.480 --> 17:16.420]  I don't like it.
[17:19.070 --> 17:20.090]  I don't like it at all.
[17:20.250 --> 17:22.430]  Why would Papa John's make that?
[17:23.710 --> 17:24.730]  I cannot recommend that.
[17:27.390 --> 17:28.810]  Well, you know what, though?
[17:30.630 --> 17:30.990]  What?
[17:31.130 --> 17:32.530]  It's kind of complementary flavors.
[17:32.530 --> 17:33.970]  There's nothing that's sticking.
[17:34.110 --> 17:35.570]  It's all like...
[17:35.570 --> 17:37.730]  As opposed to insultory flavors?
[17:38.750 --> 17:39.730]  I feel insulted.
[17:44.250 --> 17:44.690]  It's...
