[00:10.570 --> 00:12.050]  B-U-S-T-I-N?
[00:12.130 --> 00:14.530]  Yeah, yeah, yeah. It's where John Locke is from in Lost.
[00:15.610 --> 00:18.430]  The character from Lost is from Tustin?
[00:18.450 --> 00:19.650]  Yeah, yeah, yeah. He's from Tustin, California.
[00:19.990 --> 00:21.850]  When he does the whole, like, here's his backstory.
[00:22.390 --> 00:24.870]  Is that the claim to fame for all of Tustin?
[00:25.010 --> 00:29.190]  I don't remember. I only worked there for a while and then I didn't, you know.
[00:29.650 --> 00:32.350]  Hello and welcome to another episode of Fuck, Face, Break, Shit.
[00:32.730 --> 00:36.170]  A special shout out to you if you're from Tustin, California.
[00:36.170 --> 00:36.250]  Yeah.
[00:38.610 --> 00:39.850]  Just heard about it from Eric.
[00:40.010 --> 00:43.150]  Eric had a roommate in college that worked at Trader Joe's in Tustin.
[00:43.290 --> 00:46.310]  He had a little hat. We were saying that Don Zimmer's cool because he got a little hat
[00:46.310 --> 00:50.450]  and the little hat can go up like this and this is how he wore his bike hats all the time.
[00:50.730 --> 00:53.470]  And then he always went, dude, I gotta ride my bike to work.
[00:53.630 --> 00:54.810]  What's he up to now?
[00:55.070 --> 01:01.770]  Ian? He still lives in Orange County and he's the reason I got pizza tattoo.
[01:02.070 --> 01:02.490]  Oh, yeah?
[01:02.650 --> 01:03.750]  Yeah, pizza vacation tattoo.
[01:03.750 --> 01:06.790]  You can't see it on camera pretty good, but hang on.
[01:06.930 --> 01:07.770]  Nope. Hang on. Wait.
[01:08.070 --> 01:08.650]  Shack attack.
[01:08.910 --> 01:09.290]  Close enough.
[01:09.430 --> 01:11.790]  Oh, wow. Wow. We're gonna get a good shot of it on five.
[01:12.090 --> 01:15.230]  Hang on. It's tough. Hang on. I really gotta move that ankle.
[01:15.290 --> 01:16.170]  He's gonna pull a hammy.
[01:17.230 --> 01:18.750]  Hang on. You got it? Shane, did you get it?
[01:18.770 --> 01:19.830]  This isn't getting any closer.
[01:19.970 --> 01:21.050]  Put it on the square.
[01:21.430 --> 01:22.710]  What square? No, I can't.
[01:23.690 --> 01:24.290]  Shane, did you get it?
[01:28.510 --> 01:29.350]  Is that good?
