[00:00.000 --> 00:00.440]  You ready to go?
[00:00.600 --> 00:01.880]  The printer is a piece of shit.
[00:02.540 --> 00:03.840]  Your printer's a piece of shit?
[00:03.960 --> 00:04.700]  It's a piece of shit!
[00:05.260 --> 00:06.580]  You know what else is a piece of shit?
[00:06.660 --> 00:11.320]  These nugget buddies that I can't get, which is why we're here watching this stream.
[00:11.920 --> 00:13.480]  You don't like the nugget buddies, Gavin.
[00:13.640 --> 00:14.600]  I've been obsessed with them.
[00:14.780 --> 00:17.340]  I just don't know what the goddamn any of it means or is.
[00:18.060 --> 00:18.840]  What's a nugget, boy?
[00:18.880 --> 00:19.320]  What is it?
[00:19.380 --> 00:20.820]  It's a nugget and it's a buddy.
[00:21.020 --> 00:21.660]  It's a friend.
[00:21.960 --> 00:22.300]  But what-
[00:22.300 --> 00:23.380]  I don't think it could be more clear.
[00:23.740 --> 00:26.820]  What's a kershal flambe or whatever those things are.
[00:27.600 --> 00:28.740]  What the fuck is a kers-
[00:28.740 --> 00:29.880]  I don't even know what you're talking-
[00:29.880 --> 00:31.200]  A kershal flambe?
[00:31.360 --> 00:33.120]  Whatever the hell you said it was.
[00:33.280 --> 00:34.340]  What are the things?
[00:35.440 --> 00:36.140]  The nugget buddies?
[00:36.440 --> 00:36.640]  Yeah.
[00:37.660 --> 00:39.060]  Uh, oh, we got Uptown Moe.
[00:39.120 --> 00:40.180]  We got Kerwin Frost-
[00:40.180 --> 00:40.680]  That was it.
[00:40.680 --> 00:42.800]  Kershan flambe was Kerwin Frost!
[00:43.560 --> 00:44.300]  There we go.
[00:44.840 --> 00:45.560]  Oh my God.
[00:46.040 --> 00:49.840]  Uh, so I guess for some context, we're watching The Break Show, which feels very meta.
[00:50.180 --> 00:53.220]  I'm recording through my Xbox like it's a Let's Play, which is dumb.
[00:53.600 --> 00:58.240]  And I mailed Geoff like 20 unopened nugget buddies from my collection.
[00:58.360 --> 00:59.440]  I'm missing two, Gavin.
[00:59.440 --> 01:01.960]  I need the Kerwin Frost and I need Darla.
[01:02.460 --> 01:03.980]  So that's what we're hoping to see get pulled.
[01:04.340 --> 01:04.760]  How do-
[01:04.760 --> 01:06.660]  And you'll know them when you see them, I assume.
[01:06.960 --> 01:08.200]  I'll know them when I see them.
[01:08.260 --> 01:09.320]  Yeah, I'll call them out for you.
[01:09.420 --> 01:13.600]  We'll give updates to people at home can watch along as this will be video as well as audio.
[01:14.360 --> 01:15.960]  I'm excited to see what happens here.
[01:16.120 --> 01:25.760]  We also don't know how long this will be because Geoff typically does some bullshit at the start of the show and then he'll do unboxings like this might be very short or he might be an asshole and wait until the very end.
[01:26.920 --> 01:28.700]  Does he know we're doing this?
[01:29.440 --> 01:30.040]  He does.
[01:30.300 --> 01:30.440]  Okay.
[01:30.560 --> 01:30.680]  Yeah.
[01:31.340 --> 01:32.080]  Oh, here we go.
[01:34.500 --> 01:35.380]  Welcome to another-
[01:35.380 --> 01:36.540]  Oh, how do you turn it up?
[01:36.680 --> 01:37.600]  My name is Geoff Williams.
[01:38.480 --> 01:40.340]  Let me, let me turn up my balance.
[01:43.060 --> 01:44.800]  I made that really quiet.
[01:45.000 --> 01:45.740]  Oh, Eric's hyper.
[01:45.880 --> 01:46.280]  Look at him.
[01:46.740 --> 01:48.300]  Oh, he's like a little monkey.
[01:48.460 --> 01:49.440]  He's like bouncing around.
[01:51.300 --> 01:56.260]  I'm immediately concerned, Gavin, because I don't see a nugget buddy on that table at all.
[01:57.080 --> 01:58.680]  Well, maybe he's got them in a box somewhere.
[01:59.360 --> 02:00.360]  Geoff Ramsey, huh?
[02:00.600 --> 02:04.340]  That's true, but there's a lot of shit on that table and I don't see it.
[02:04.420 --> 02:06.120]  I see a bunch of Ramsey photos.
[02:06.380 --> 02:07.840]  I see Barbies.
[02:08.800 --> 02:12.580]  That show set makes sense when you know the show.
[02:12.680 --> 02:14.940]  But if you just tuned into this, man, what a mess.
[02:15.620 --> 02:19.120]  It looks like somebody fired a shotgun of random shit.
[02:19.740 --> 02:22.520]  And it's like everyone lives in a big pallet.
[02:25.320 --> 02:27.780]  It's like a storage locker, like you'd find
[02:27.780 --> 02:30.340]  in somebody bought with random assortments of collectibles.
[02:30.860 --> 02:33.240]  Yeah, it's like a real dud storage, you know, storage.
[02:33.420 --> 02:35.520]  Yes. Yeah, I do.
[02:35.900 --> 02:37.120]  And I feel like I got to dig myself.
[02:37.200 --> 02:37.740]  I'm really worried.
[02:37.840 --> 02:40.160]  I haven't actually listened to it on the I haven't.
[02:40.240 --> 02:41.520]  No, the face drawing in the back.
[02:41.600 --> 02:43.100]  Or I like I'm a fan of that.
[02:43.280 --> 02:44.000]  Did people fuck?
[02:44.200 --> 02:45.580]  Oh, my God. No, some of it.
[02:45.600 --> 02:46.700]  I don't get like the gremlins.
[02:47.060 --> 02:48.180]  Nothing against gremlins.
[02:48.340 --> 02:49.400]  I miss the gremlins.
[02:50.480 --> 02:52.960]  Barbara, Eric's small wife and my friend Vanessa,
[02:53.080 --> 02:55.480]  tell me about all the dirty little books that they read.
[02:55.480 --> 02:56.520]  I don't people.
[02:56.820 --> 02:57.720]  I don't know how that's.
[02:57.740 --> 02:59.800]  Did you ever figure out what Geoff does in this?
[02:59.980 --> 03:01.400]  Remember, he told us he's done for a living.
[03:01.540 --> 03:02.060]  No one's noticed.
[03:02.640 --> 03:04.020]  No, nobody does for a living.
[03:04.840 --> 03:05.420]  Oh, shit.
[03:05.640 --> 03:07.060]  Oh, we got an ad break.
[03:10.200 --> 03:11.540]  Skip. Wow.
[03:11.680 --> 03:12.680]  For a second ad.
[03:15.960 --> 03:19.580]  I'll tell you something that that I mildly am annoyed about with the show.
[03:21.400 --> 03:21.900]  What's that?
[03:22.620 --> 03:24.960]  I'll let you know when we get we need to go see the wide.
[03:24.960 --> 03:25.800]  Yeah, right there.
[03:26.240 --> 03:28.220]  I'm the only one blocked out on that Zimmer.
[03:28.440 --> 03:29.500]  Boys, the Zimmer poster.
[03:30.020 --> 03:31.240]  The only one not seen.
[03:31.500 --> 03:32.440]  Where's the block me out?
[03:32.900 --> 03:34.600]  Yeah, look up to the left when they go wide.
[03:34.700 --> 03:36.440]  The mannequin fucking cut me out.
[03:36.520 --> 03:37.800]  I'm getting shoved out by the mannequin.
[03:41.720 --> 03:42.580]  They're talking about you.
[03:43.140 --> 03:44.300]  They are finally.
[03:44.760 --> 03:45.980]  Oh, they're the nugget buddies.
[03:46.960 --> 03:48.060]  He's going to get straight to it.
[03:49.060 --> 03:50.100]  I hope he does.
[03:50.220 --> 03:50.960]  They were there in a box.
[03:51.080 --> 03:51.620]  Oh, yeah, you are.
[03:51.680 --> 03:52.460]  You're cut out by me.
[03:52.560 --> 03:53.260]  I thought I had more.
