[00:05.160 --> 00:06.580]  Previously on F*** Face.
[00:17.010 --> 00:21.970]  Hello and welcome to another episode of the F*** Face podcast.
[00:22.890 --> 00:25.590]  This is episode 97.
[00:26.530 --> 00:28.130]  Does that sound right to you, Eric?
[00:28.410 --> 00:30.150]  Yeah, that's yeah, that's right. I wrote it.
[00:30.310 --> 00:31.930]  And it's episode. Oh, it's right in front of me.
[00:31.990 --> 00:33.030]  Episode 97.
[00:33.570 --> 00:36.850]  My name is Geoff Ramsey and with me, as always, Andrew Panton.
[00:37.390 --> 00:38.450]  Hello, Andrew. How's it going?
[00:38.990 --> 00:41.790]  I'm great. I have a question that I assume is for Eric.
[00:41.950 --> 00:43.170]  I don't I don't know who does this.
[00:43.270 --> 00:44.530]  I assume it's Eric's thing.
[00:44.870 --> 00:45.350]  I could be wrong.
[00:45.670 --> 00:46.870]  I'm not done with the intro yet, though.
[00:46.890 --> 00:47.430]  Hold on just a second.
[00:47.430 --> 00:47.810]  OK, go ahead.
[00:47.910 --> 00:51.050]  And as and as always, Gavin free.
[00:51.110 --> 00:51.990]  How's it going today, Gavin?
[00:55.330 --> 00:57.790]  OK, sorry, Andrew, you wanted to ask your question.
[00:58.430 --> 01:00.910]  That was actually that was actually not bad, Eric.
[01:01.050 --> 01:02.650]  Thank you very much. I've been practicing.
[01:03.350 --> 01:04.850]  As long as we needed.
[01:05.110 --> 01:08.010]  Oh, no. OK, well, this changes the dynamic.
[01:08.450 --> 01:09.830]  Well, never mind. Nothing's changed.
[01:10.150 --> 01:12.150]  Hello, Gavin. How's it going, man?
[01:12.290 --> 01:14.930]  You started. You said you're excited or you're tired.
[01:15.350 --> 01:17.090]  No, I said, have you started? Neither.
[01:17.250 --> 01:18.630]  Oh, yeah. We're starting right now.
[01:18.710 --> 01:19.870]  It's three o'clock. Three o'clock.
[01:19.970 --> 01:21.110]  We started about a minute ago.
[01:21.450 --> 01:23.730]  Are you excited? Are you possibly tired?
[01:24.230 --> 01:26.130]  No, just the first one.
[01:26.190 --> 01:27.710]  You excited? Yeah, I'm excited.
[01:27.790 --> 01:29.250]  Excited. I technically wasn't late.
[01:29.410 --> 01:33.890]  I was on three exactly, but it was like three and probably fifty five seconds.
[01:34.190 --> 01:37.470]  That's OK. You sent us a very funny image to the discord that we'll throw up
[01:37.470 --> 01:40.490]  that just says it's a Windows screen that says working on updates.
[01:40.590 --> 01:42.550]  30 percent complete. Do not turn off computer.
