[00:04.920 --> 00:06.720]  Previously, on F*** Face.
[00:16.730 --> 00:24.630]  Hello and welcome to the 101st episode of the F*** Face podcast. My name is Geoff Ramsey
[00:24.630 --> 00:30.750]  and with me, as always, Andrew Panton, way up there in Canada, and everybody's favorite
[00:30.750 --> 00:37.330]  British wanker, Gavin Free, from Oxfordshire via Austin, Texas.
[00:37.330 --> 00:41.150]  How are you doing, fellas? I'm good.
[00:43.330 --> 00:49.510]  Andrew was saying lactating women kinks. Yes. Not cakes.
[00:49.870 --> 00:54.130]  I thought he was saying cakes. Yeah, I mean, it was clear after the fact,
[00:54.230 --> 00:57.870]  but I also was just, I completely botched that. It was a mess. I don't know if we necessarily
[00:57.870 --> 01:02.130]  need to revisit the lactating kink. That was when you were in the bunker for half
[01:02.130 --> 01:04.150]  the episode. Yeah, like I just botched that immediately
[01:04.150 --> 01:05.950]  and I was in my own head for the rest of that episode.
[01:05.950 --> 01:10.490]  So I thought you said cakes and then I'm talking about like using tit milk to make a cake.
[01:10.570 --> 01:16.170]  And then, uh, you, you, then you said your mum was talking about sugar cookies. So I
[01:16.170 --> 01:20.030]  thought it was still on the same page. I don't know. I don't know what happened. I think
[01:20.030 --> 01:24.510]  a part of the problem is that we only hear each other over discord. So it sort of sounds
[01:24.510 --> 01:29.050]  like we're all playing among us at the time. But even in the, when I was proofing it, I
[01:29.050 --> 01:32.370]  didn't, I still didn't understand what you said. That's fair.
[01:33.090 --> 01:38.090]  I was trying to remember in the moment what I thought, because cakes make sense to me.
[01:38.330 --> 01:42.390]  I feel like maybe I also thought cakes. Yeah. It wasn't until the comment leavers
[01:42.390 --> 01:47.410]  were like, Gavin's an idiot. I was like, Oh, it still doesn't make a ton of sense.
[01:47.950 --> 01:52.610]  Yeah, that's fair. It was from my perspective, I started out and
[01:52.610 --> 01:56.550]  I immediately fucked it up in the order I wanted to do it. And I'm like, I just need
[01:56.550 --> 02:00.930]  anyone who wants to play ball with me right now. I'll take it. And you throwing, you going
[02:00.930 --> 02:04.590]  in the dessert category was like being thrown a life preserver. And I'm like, I'll just
[02:04.590 --> 02:08.290]  take whatever we can get. We'll go in this angle. We got to figure a way through this
[02:08.290 --> 02:18.890]  because I've fucked this. So, so what do you guys want to talk about today? I, uh, I got
[02:18.890 --> 02:24.490]  nothing. Speaking of fuck this, we could, we could transition immediately to fuck up
[02:24.490 --> 02:30.910]  that happened. We want to. Oh yeah. The fucking baseballs. All right. Let's get in to the
[02:30.910 --> 02:36.230]  fucking baseballs. I'd love to get Eric involved in this as well. What happened? I'll tell
[02:36.230 --> 02:40.950]  you. I'll tell you. I'll break it down. What happened? Rooster teeth is a mini headed monster.
[02:41.150 --> 02:47.050]  We are a company of hundreds and hundreds of people. And so, uh, one of the frustrating
[02:47.050 --> 02:53.290]  things about being an on-camera talent from time to time is that when a mistake is made
[02:53.290 --> 02:58.530]  behind the scenes or there's an issue behind the scenes, the talent wears it. So what happened
[02:58.530 --> 03:04.610]  was we released about 200 baseballs that we had hit or at least swung at, uh, you know,
[03:04.650 --> 03:08.410]  the whole saga, but now they're, they're all gone. Please stop looking for them. Don't go there. It
[03:08.410 --> 03:13.250]  is just a Haven for snakes. Uh, there we we've accounted for every baseball. There are zero
[03:13.250 --> 03:17.330]  more baseballs. We've, we've checked serial numbers. They're all accounted for a hundred
[03:17.330 --> 03:21.850]  percent of them have been recovered. Please do not look for more baseballs. Okay. So what happened
[03:21.850 --> 03:27.450]  was we wanted to allow people the opportunity to buy them. We knew that there'd be more people
[03:27.450 --> 03:32.230]  wanting to buy them than we had to sell. And so you try to be as precise as possible with that.
[03:32.290 --> 03:37.310]  So we said at 10 a.m. Central time on whatever day it was, we're going to release the balls.
[03:37.850 --> 03:41.790]  And then everybody who wants one can come in and it's kind of like a melee. I understand,
[03:41.890 --> 03:45.530]  but like people that want it can all like go there at the same time and, and, and, you know,
[03:45.730 --> 03:50.570]  try their luck recognizing that we don't have enough balls for everyone, unfortunately. Uh,
[03:50.570 --> 03:55.250]  but you know, I only got so there was only so much juice in my arms. There's a physical cost
