[00:05.080 --> 00:06.500]  Previously on F*** Face.
[00:17.360 --> 00:18.840]  Oh, I got it, my beard.
[00:19.160 --> 00:20.400]  My beard is all beefy.
[00:20.700 --> 00:21.200]  You have a beard?
[00:21.400 --> 00:21.700]  I have a beefy beard.
[00:21.920 --> 00:22.440]  Yeah, hold on.
[00:22.500 --> 00:23.340]  Let's get into the podcast.
[00:23.940 --> 00:28.020]  Hello and welcome to episode 102 of the F*** Face podcast.
[00:28.340 --> 00:29.400]  My name is Geoff Ramsey.
[00:29.520 --> 00:31.700]  With me, as always, Andrew Panton, Gavin Free.
[00:32.000 --> 00:35.960]  This is, just for posterity's sake, this is year two, season four.
[00:36.380 --> 00:38.080]  Andrew, you have a beard?
[00:38.080 --> 00:39.920]  Yeah, I have a beard currently.
[00:40.060 --> 00:41.680]  I don't know what you look like.
[00:41.740 --> 00:44.240]  My mental image is never, never right.
[00:44.300 --> 00:47.740]  You need to describe yourself every month just so I've got a good mental image.
[00:47.800 --> 00:50.200]  Yeah, OK, well, it's the same as before.
[00:50.340 --> 00:51.080]  I have short hair.
[00:51.280 --> 00:52.340]  That's that's still the same.
[00:52.480 --> 00:53.580]  And I have a beard currently.
[00:53.760 --> 00:55.720]  How long is the beard? Is it like a jack beard?
[00:56.040 --> 00:57.520]  No, it's like a small.
[00:57.820 --> 01:00.500]  It's not. It's it's a it's a very mediocre beard.
[01:00.720 --> 01:01.400]  It's not a great beard.
[01:01.460 --> 01:03.300]  Full coverage or is it like trimmed areas?
[01:03.320 --> 01:06.020]  It's full coverage, but it's just not like super full.
[01:06.260 --> 01:07.440]  It's not a great beard.
[01:07.440 --> 01:09.040]  You don't sound like you have a beard.
[01:09.340 --> 01:12.100]  I do. I can tell you, I can smell it right now.
[01:12.260 --> 01:15.540]  I got Bovril in it from the pop and it is not good.
[01:16.360 --> 01:18.380]  A beefy beard right now. It smells terrible.
[01:18.780 --> 01:20.860]  Bovril smells worse than it tastes.
[01:21.220 --> 01:23.000]  Yeah, I think I'd agree with that. In my experience.
[01:23.180 --> 01:28.480]  Having had salad cream prior to that, it being frozen made it so much worse.
[01:28.700 --> 01:32.800]  I had something about the smell and the texture, not even froze, just super cold.
[01:32.920 --> 01:34.520]  It wasn't it wasn't frozen at all.
[01:34.600 --> 01:35.680]  What did it do to the texture?
[01:35.800 --> 01:37.180]  Did it make it more congealed?
[01:37.180 --> 01:39.340]  Was it more solid or was it just very cold?
[01:39.560 --> 01:40.980]  It was more congealed.
[01:41.140 --> 01:44.980]  It felt more solid and just it has such a strong taste.
[01:45.100 --> 01:46.780]  And it's just so overpowering.
[01:47.340 --> 01:48.020]  That was gross.
[01:48.640 --> 01:53.180]  I hate that we did frozen pops and my favorite beverage of cold, my cold,
[01:53.240 --> 01:56.460]  my cold beverage of choice, Coke, was the one that wasn't picked.
[01:57.180 --> 02:00.880]  The only my favorite cold thing was the one that was left off.
[02:01.240 --> 02:05.680]  Oh, you know, I will say through the course of spending that week in the UK
