[00:05.180 --> 00:06.480]  Previously on F*** Face.
[00:16.450 --> 00:20.470]  No, but I'm thinking about like, you hear with like Freddy Krueger or whatever, where
[00:20.470 --> 00:23.090]  people are like, who invented the character? Anyway.
[00:25.190 --> 00:26.990]  Hey Gavin, who invented Freddy Krueger?
[00:28.650 --> 00:29.130]  Uh...
[00:29.130 --> 00:32.890]  Oh, I know this. I know this. Can I answer this? I love trivia.
[00:33.450 --> 00:33.930]  Absolutely.
[00:34.270 --> 00:36.150]  I teamed myself up. Is it Wes Craven?
[00:36.670 --> 00:36.950]  Yep.
[00:36.950 --> 00:39.290]  I said I know this. I just know. I assume it was him.
[00:39.370 --> 00:42.750]  Hey Geoff, just so you know, it's episode 104 and whatever Andrew was going to say, I was
[00:42.750 --> 00:44.450]  just going to say yes to. Go ahead whenever you're ready.
[00:44.830 --> 00:52.250]  Hello and welcome to another episode of the F*** Face podcast. This is number 104, season
[00:52.250 --> 00:59.530]  four, year two, volume one. My name is Geoff Ramsey. With me as always, Gavin Free and
[00:59.530 --> 01:01.170]  a mumbling idiot named Andrew.
[01:01.330 --> 01:03.690]  Why are you talking to yourself in the intro, Andrew?
[01:03.690 --> 01:09.690]  Okay, well, two things. First of all, this is the end of year two. This is our last episode
[01:09.690 --> 01:14.290]  of year two. I realized I didn't hit record. I just hit record right now. I've not been
[01:14.290 --> 01:14.610]  recording.
[01:14.870 --> 01:15.070]  Are you kidding me?
[01:15.650 --> 01:20.350]  Well, because I was talking about a thing that I didn't part of the show, so I missed
[01:20.350 --> 01:23.830]  the... my recording did not pick up any of the background. We're talking about Freddy
[01:23.830 --> 01:27.550]  Krueger and who invented it. I was just curious. I thought it was Wes Craven. It was Wes Craven.
[01:27.990 --> 01:29.530]  According to Google and a basic search.
[01:29.930 --> 01:31.590]  What's the controversy over Freddy Krueger?
[01:31.590 --> 01:35.350]  I think it was... I don't know if there was controversy over Freddy Krueger. I remember
[01:35.350 --> 01:36.330]  there was with Jason.
[01:36.550 --> 01:38.270]  I think he's just not a very nice bloke.
[01:38.510 --> 01:40.730]  You can't be inventing Freddy Krueger drama.
[01:41.230 --> 01:46.170]  Well, it's in the same kind of mythos. Freddy Krueger and Jason are sort of the same. They
[01:46.170 --> 01:48.350]  fought each other once. Like, I feel like that's not...
[01:48.350 --> 01:52.250]  That's like saying... that's like saying me and Elon Musk are the same dude because we
[01:52.250 --> 01:52.830]  both have Twitter.
[01:53.350 --> 01:58.830]  I feel like that's not at all comparable. There was a... if you and Elon Musk were in
[01:58.830 --> 02:04.770]  the same space and you fought each other as part of a giant campaign, if you two fought,
[02:04.890 --> 02:05.890]  then it would be the same.
[02:06.190 --> 02:08.890]  Did they ever do Freddy versus Predator?
[02:09.350 --> 02:11.810]  Probably in like a comic book somewhere.
[02:12.350 --> 02:16.890]  I just feel like they need to bring the two versus movies and go against each other.
[02:17.450 --> 02:18.730]  Like the winner of each.
[02:19.310 --> 02:24.490]  That's a great... I'd be so on board for that. I watched all of the Freddy and all of the
[02:24.490 --> 02:26.650]  Jason movies because of Freddy versus Jason.
[02:27.190 --> 02:31.610]  I hadn't seen Freddy versus Jason, and I thought, like, I want to... I want all the history of
[02:31.610 --> 02:34.930]  these characters. So I watched both films to that point.
[02:35.010 --> 02:39.370]  There's like six movies on each side. If you compare versus to...
[02:39.370 --> 02:42.090]  There was way more than six Jason movies at that point. There was at least ten.
[02:42.570 --> 02:49.530]  I don't think there are... maybe. I don't know. This was a while ago. Either way, if you put
[02:49.530 --> 02:54.550]  Freddy versus Jason against any real life fight, it's the most disappointing fight I've
[02:54.550 --> 02:55.770]  ever seen. Hands down.
[02:55.770 --> 03:01.490]  I used to really want to be called Jason as a kid because I thought it was the coolest
[03:01.490 --> 03:04.090]  name because... what is it?
[03:04.170 --> 03:09.310]  July, August, September, October, November is Jason.
[03:09.650 --> 03:12.970]  I was like, man, Jasons are so lucky because of that.
[03:17.190 --> 03:18.770]  I don't know what you're talking about.
[03:18.890 --> 03:24.070]  Like if you write the first letter of every month, it spells Jason in the middle.
[03:24.070 --> 03:27.350]  That is such a classic dumb kid thing to think.
[03:27.730 --> 03:31.450]  I love that. That's insane.
[03:32.110 --> 03:35.270]  It's too bad there's no G and V months.
[03:35.650 --> 03:37.170]  Damn. Goon.
[03:39.990 --> 03:43.470]  Hey, what do you guys want to talk about today?
[03:44.050 --> 03:45.770]  We have quite a few things, I feel like.
[03:45.990 --> 03:50.670]  Should we open up with... I would like to say on the record that bagels are infinitely
[03:50.670 --> 03:51.790]  better than roller coasters.
[03:52.310 --> 03:54.310]  Roller coasters, not great, in my opinion.
[03:54.550 --> 03:56.330]  I just would like to say that on the record.
[03:56.810 --> 03:57.250]  Roller coasters?
[03:57.390 --> 03:57.650]  Definitively.
[03:57.970 --> 04:00.950]  Yeah, Jack did a whole thing because we should actually just get in.
[04:00.990 --> 04:02.430]  That's a great entry point to the...
[04:02.430 --> 04:03.130]  Yeah, we might as well.
[04:03.510 --> 04:05.590]  Tunnel of love that is known as anal passage.
[04:06.710 --> 04:11.570]  We are selling a lot of shirts, an absurd amount of shirts that I feel like has
[04:11.570 --> 04:14.230]  completely changed the narrative on what this whole bit is.
[04:14.390 --> 04:18.730]  We accidentally made the best selling shirt of the entire year.
[04:18.890 --> 04:19.370]  Is that right?
[04:19.770 --> 04:20.890]  I believe so.
[04:20.890 --> 04:22.530]  That is atrocious.
[04:23.050 --> 04:25.750]  I think it's the most profitable shirt.
[04:25.930 --> 04:28.810]  And we're like right about to cross the most sold.
[04:29.010 --> 04:31.170]  I feel genuinely bad about that one.
[04:31.550 --> 04:35.270]  Yeah, I thought we were going to sell like 20 of those things.
[04:36.370 --> 04:41.510]  We have sold hundreds upon hundreds and people keep buying them.
[04:41.970 --> 04:46.330]  But firstly, I thought we were treated like it was going to be a limited run, like
[04:46.330 --> 04:47.050]  our balls.
[04:47.910 --> 04:53.510]  Yes, secondly, who are these like 600 people who want to wear anal passage on the
[04:53.510 --> 04:56.050]  front of their shirt? Surely you can't wear that one.
[04:56.470 --> 04:59.190]  I was talking about this with Jack this morning because I had to record anal
[04:59.190 --> 05:01.710]  passage, two episodes of anal passage.
[05:01.950 --> 05:04.850]  So if I'm sitting a little weird, if I feel uncomfortable, that's why.
[05:06.230 --> 05:11.810]  And I was telling him, I was like, the only reason that shirt is even still
[05:11.810 --> 05:16.350]  around, I was going to pull it down Monday or Tuesday as soon as the episode
[05:16.350 --> 05:19.530]  came out and be like, all right, it's time to take it down now.
[05:19.610 --> 05:21.190]  We sold, you know, a hundred of them or whatever.
[05:21.470 --> 05:22.550]  The joke is on its course.
[05:22.670 --> 05:23.870]  And I just forgot to.
[05:23.930 --> 05:24.830]  I was just being lazy.
[05:24.910 --> 05:27.470]  And I was like, I got a bunch of slacks that I'll slack later.
[05:27.510 --> 05:28.550]  And then I just never did.
[05:28.750 --> 05:30.710]  And then we sold hundreds upon hundreds.
[05:30.870 --> 05:33.810]  It's an absolutely, absolutely ridiculous.
[05:34.130 --> 05:35.150]  It makes no sense.
[05:35.710 --> 05:39.550]  I know the premise was we did this and Jack's going to be annoyed by it and we'll
[05:39.550 --> 05:41.810]  remove it eventually when Jack Jack sees it.
[05:42.770 --> 05:44.990]  Respectfully, I don't think Jack's feelings matter anymore.
[05:44.990 --> 05:48.470]  It is the most profitable shirt of twenty twenty two.
[05:48.610 --> 05:50.190]  I think it just has to stay.
[05:50.370 --> 05:52.970]  Like, I think the audience is fuck Jack in a weird way.
[05:53.030 --> 05:53.550]  Yeah, no.
[05:53.630 --> 05:54.150]  Buying the shirt.
[05:54.710 --> 05:56.530]  We have just the best listeners.
[05:56.870 --> 05:58.690]  That's our next shirt is fuck Jack's feelings.
[05:58.990 --> 06:00.470]  Look for that shirt coming soon.
[06:00.750 --> 06:01.830]  It's going to sell ten thousand.
[06:03.730 --> 06:05.570]  Do a variation of it.
[06:05.730 --> 06:09.410]  The idea that in this spreadsheet, as the profit goes up, the guilt goes down.
[06:13.470 --> 06:14.230]  It does.
[06:14.230 --> 06:16.890]  Well, I mean, in just offense, I feel like you have the closest.
[06:17.070 --> 06:18.450]  You do another show with Jack.
[06:18.710 --> 06:21.010]  It's clearly out of your hands at this point.
[06:21.090 --> 06:24.730]  You would love to, I'm sure, remove a thing that he's annoyed by.
[06:24.850 --> 06:26.970]  But it's it's undeniably successful.
[06:27.470 --> 06:28.350]  It would make no sense.
[06:28.510 --> 06:30.210]  I mean, we don't have a choice out of your hands.
[06:30.230 --> 06:31.110]  Be bad business.
