[00:10.300 --> 00:15.520]  Gavin will be here in 20 seconds, so if there's anything derogatory you want to say about him.
[00:15.760 --> 00:16.220]  Now's the time.
[00:16.800 --> 00:17.020]  Woah!
[00:19.880 --> 00:21.340]  20 seconds isn't enough time.
[00:23.200 --> 00:26.540]  He just made the noise. That was so funny.
[00:27.860 --> 00:28.440]  He's early.
[00:28.440 --> 00:49.960]  So, last time we talked about backlinks, COVID, GeoWizard, Sloppy Joe's Trivia, Italian Food, Cordura Digital, Jason Bourne, Season Ticket Resale, Gavin's Slime, which I'd love an update on if possible, and Rock Not Rock Reactions.
[00:50.480 --> 00:53.340]  There's more, but that's the gist of it. This is 156. Whenever you're ready.
[00:53.340 --> 01:02.960]  Hello and welcome to another episode of the F*** Face Podcast. My name is Geoff Ramsey, with me as always, Andrew Pantin and Gavin Free, or Agnag as we like to be called.
[01:04.280 --> 01:11.400]  I gotta be honest with you, it kind of throws me when Eric says the episode number because then it feels dumb for me to say it again. Episode 156.
[01:11.600 --> 01:14.940]  Well, what Eric is saying is not in the show, I assume.
[01:15.340 --> 01:16.280]  Yeah, it's just for you.
[01:16.520 --> 01:17.340]  It's just us.
[01:17.700 --> 01:21.080]  Oh, but I thought it was lovely. I think it'd be a nice little button for the show, for the audience.
[01:21.760 --> 01:27.520]  I'll be honest, I'm surprised it wasn't introduced as T-Bone, Ramscoop, and Frosty.
[01:27.940 --> 01:43.140]  Oh, right, a great point. I haven't, I usually, I've been making a point lately of listening to the previous episode before we record, and I just got behind, and I actually just listened to this week's episode, so I was an episode behind, so I forgot about Ramscoop.
[01:43.160 --> 01:45.100]  What is it, T-Bone, Ramscoop, and what?
[01:45.100 --> 01:51.160]  You forgot Frosty? Of all the names, you dropped Frosty over Ramscoop?
[01:53.240 --> 01:56.080]  Well, no, because Ramscoop is such a ridiculous name.
[01:56.400 --> 01:57.080]  What do you mean?
[01:57.860 --> 02:01.740]  Yeah, that's fair. I deleted Ramscoop, but...
[02:01.740 --> 02:10.060]  Hello, and welcome to another episode of the F***ing Face Podcast. My name is T-Bone, and with me as always, Ramscoop and Frosty.
[02:10.520 --> 02:10.840]  Oh, thank you.
[02:10.840 --> 02:11.280]  How's it going?
[02:12.400 --> 02:14.100]  I'm staying Frosty, Geoff.
[02:14.100 --> 02:15.880]  I'm glad to hear it.
[02:15.880 --> 02:18.940]  Did we ever hear Nick and Eric's nicknames that they want?
[02:19.560 --> 02:19.840]  No.
[02:21.380 --> 02:27.820]  I don't know that I'm really like a nickname guy. I guess if anything, I want to be Big Dog, but that's pretty much it.
[02:29.320 --> 02:30.800]  What did that mean?
[02:34.580 --> 02:40.200]  I've always imagined Eric as more of a Gooch.
[02:41.860 --> 02:43.140]  Like, hey, what's up, Gooch?
[02:43.140 --> 02:48.860]  That's not what we're doing here. We're not doing other people's nicknames. That's not what this exercise has been.
[02:48.900 --> 02:49.700]  Hey, it's the Gooch.
[02:50.060 --> 02:53.380]  He picked Ramscoop. I'm picking my own name.
[02:53.840 --> 02:57.900]  To be fair, though, as soon as Geoff said Gooch, it fits so well.
[02:57.980 --> 02:58.200]  Absolutely not.
[02:58.200 --> 02:58.340]  It does.
[02:59.140 --> 02:59.660]  Nope.
[03:00.180 --> 03:04.040]  It doesn't matter. All of this is getting cut out anyway, so it doesn't matter.
[03:05.140 --> 03:06.860]  I reckon Gooch or Gooch Boy.
[03:07.580 --> 03:10.600]  I don't like Gooch Boy. The Gooch no feels.
[03:10.900 --> 03:11.040]  Nope.
[03:11.040 --> 03:11.600]  Nah.
[03:11.840 --> 03:12.900]  That's what he says.
[03:13.460 --> 03:15.940]  I mean, that's not what this exercise is. Not that.
[03:16.200 --> 03:18.540]  What about a mixture of both? Gooch Dog?
[03:19.160 --> 03:20.040]  Gooch Dog.
[03:20.180 --> 03:22.060]  Big Gooch. What about Big Gooch?
