[00:09.760 --> 00:10.680]  I
[00:14.750 --> 00:20.060]  Was just enjoying the pleasantries. Sounds like pleasantries were a little heated.
[00:20.100 --> 00:22.560]  You were just about to introduce it.
[00:22.880 --> 00:23.460]  Sorry.
[00:24.750 --> 00:26.240]  We were just talking about basketball.
[00:27.120 --> 00:28.000]  Hello and welcome...
[00:28.790 --> 00:30.860]  Hey Gavin, you take it this time.
[00:31.700 --> 00:32.940]  Hiya, take it away Geoff.
[00:33.880 --> 00:38.000]  Hello and welcome to another episode of the F*** Face Podcast.
[00:38.660 --> 00:41.220]  My name is Geoff Ramsey. With me as always, Andrew Panton.
[00:41.580 --> 00:43.260]  Way up there in Canada.
[00:43.620 --> 00:44.860]  And then...
[00:44.860 --> 00:46.180]  Gavin Free.
[00:46.700 --> 00:49.280]  Way over there about 5 miles away from you right now.
[00:49.600 --> 00:52.400]  And this is episode 175.
[00:53.060 --> 00:54.740]  I have a question for you guys.
[00:55.260 --> 00:56.240]  That I'd like to ask you.
[00:56.600 --> 00:57.540]  Is it how to spell Canada?
[00:58.280 --> 01:00.200]  No, I know how to spell it. Saying it is different.
[01:01.400 --> 01:06.860]  What is the longest time you were stupid before you realized you were stupid?
[01:06.860 --> 01:11.840]  Like you were doing something dumb or you had done something dumb and it was affecting your life.
[01:12.620 --> 01:16.880]  What's the longest amount of time you've gone being a f***ing idiot?
[01:17.200 --> 01:18.800]  I assume I'm still doing it.
[01:19.060 --> 01:21.720]  Yeah, there's still... I mean I have some factors for sure.
[01:21.840 --> 01:27.860]  I guess whatever the distance between me learning what a computer and keyboard is and learning that caps lock wasn't the only way.
[01:28.320 --> 01:29.440]  That's a long amount of time.
[01:29.920 --> 01:32.440]  That's probably 10 plus years.
[01:32.560 --> 01:33.640]  Probably like 15 years.
[01:33.640 --> 01:39.940]  I didn't know that you could charge up the mining beam in Starfield until I'd already beaten the game.
[01:40.140 --> 01:40.540]  Excuse me?
[01:40.920 --> 01:45.300]  Oh yeah, you could hold down the other trigger and it mines it in like a fraction of the time.
[01:45.560 --> 01:46.500]  Yeah, like boosts it up.
[01:46.720 --> 01:46.900]  What?
[01:48.800 --> 01:51.480]  It condenses the beam and makes it more powerful.
[01:51.740 --> 01:54.160]  It uses up the battery faster but it's just like...
[01:54.160 --> 01:54.640]  Done.
[01:57.360 --> 01:58.520]  God damn it.
[01:59.720 --> 02:02.760]  I don't mind because it takes so f***ing long and it's boring.
[02:03.660 --> 02:07.900]  Which means I don't build outposts and s*** because I don't want to mine because mining sucks.
[02:08.220 --> 02:09.240]  Well now you can.
[02:09.780 --> 02:11.180]  It's a lot easier than you thought.
[02:11.680 --> 02:13.660]  Gracie just said, who's stupid now?
[02:17.040 --> 02:17.480]  Savage.
[02:20.740 --> 02:22.040]  Oh my god.
[02:22.200 --> 02:24.540]  Well, I'll add Starfield onto the list.
[02:25.360 --> 02:26.660]  I have been...
[02:26.660 --> 02:29.940]  I ask and I feel better now because Andrew mentioned the keyboard thing and he said over 10 years.
[02:29.940 --> 02:35.640]  I just found out yesterday that I've been stupid for a little under 2 years.
[02:35.760 --> 02:37.100]  Oh wow.
[02:37.920 --> 02:39.040]  So what was that, like 2021?
[02:40.040 --> 02:41.080]  Yeah, about 2021.
[02:41.380 --> 02:43.500]  What did you start doing in 2021?
[02:44.480 --> 02:46.540]  Well, I'm going to tell you right now, it's iPhone related.
[02:47.660 --> 02:48.220]  Okay.
[02:49.300 --> 02:49.860]  I...
[02:50.520 --> 02:52.060]  At some point...
[02:52.060 --> 02:55.680]  You know, I have a car and my car has CarPlay, right?
[02:56.480 --> 02:57.380]  Where you hook...
[02:57.380 --> 02:57.620]  Yeah.
[02:57.620 --> 03:01.780]  You know, you just Bluetooth your iPhone to your car and then you can use your CarPlay.
[03:02.120 --> 03:05.060]  It's super, super convenient and awesome.
[03:05.900 --> 03:08.640]  However, and for about 2 years it was awesome in my car.
[03:08.740 --> 03:10.220]  And then one day it just stopped working.
[03:10.700 --> 03:12.920]  And I went...
[03:12.920 --> 03:13.820]  I...
[03:14.340 --> 03:16.480]  Did everything I could think of to fix it.
[03:16.980 --> 03:18.980]  You know, unpaired, repaired,
[03:19.560 --> 03:21.360]  fucking updated my phone,
[03:21.640 --> 03:22.520]  checked in with BMW
[03:22.520 --> 03:24.400]  to make sure there wasn't a firmware update
[03:24.400 --> 03:26.540]  for my fucking car or something.
[03:26.540 --> 03:28.600]  And I just assumed that
[03:28.600 --> 03:31.100]  I must have done something to break it
[03:31.100 --> 03:31.780]  or maybe...
[03:31.780 --> 03:34.320]  Like my iPhone at that point was a little janky.
[03:34.460 --> 03:36.780]  You know, I dropped it a bunch and the screens cracked and stuff.
[03:37.040 --> 03:38.820]  And I thought maybe I just jostled something
[03:38.820 --> 03:39.460]  or...
[03:39.460 --> 03:42.160]  But I tried for months and months and months to get it to work.
[03:42.200 --> 03:44.880]  As a matter of fact, then I would try to get it to work in Emily's car
[03:44.880 --> 03:46.080]  and it won't work in Emily's car.
[03:46.240 --> 03:48.440]  But I can use Emily's phone in my car
[03:48.440 --> 03:50.220]  and in her car and CarTalk works
[03:50.220 --> 03:52.300]  or CarPlay works just fine.
[03:52.640 --> 03:54.500]  So it's isolated to my phone.
[03:54.500 --> 03:56.060]  It's not my car, I discover.
[03:56.180 --> 03:57.200]  It's just my phone.
[03:58.460 --> 04:00.280]  And I'm not due to buy a new phone for a while
[04:00.280 --> 04:01.320]  so I'm like, eh, it's whatever.
[04:01.900 --> 04:04.060]  I go through that process over the first two or three months
[04:04.060 --> 04:05.540]  of this issue in 2021.
[04:06.100 --> 04:08.320]  And then I would say maybe
[04:08.920 --> 04:09.860]  twice a month
[04:09.860 --> 04:12.340]  from that point on until yesterday
[04:12.340 --> 04:14.180]  I would say,
[04:14.320 --> 04:15.240]  eh, let me give it another shot.
[04:15.580 --> 04:16.460]  Maybe it'll work this time.
[04:16.740 --> 04:19.280]  I updated my iPhone. Every time I updated my iPhone
[04:19.280 --> 04:22.040]  I immediately run out to my car and try to sync it and get it to work.
[04:22.040 --> 04:23.080]  It just doesn't work.
[04:23.140 --> 04:26.120]  So I have to manually connect my iPhone to my car
[04:26.120 --> 04:27.240]  with Bluetooth
[04:27.820 --> 04:29.820]  every time I get into my car
[04:29.820 --> 04:31.920]  so that I can listen to music and make calls and stuff.
[04:32.000 --> 04:33.700]  I don't have access to CarPlay at all
[04:33.700 --> 04:35.240]  but I have the more rudimentary
[04:35.740 --> 04:37.880]  Bluetooth access. But it's fucking annoying
[04:37.880 --> 04:39.440]  to have to manually connect it every time.
[04:40.140 --> 04:41.860]  And so I've probably tried
[04:41.860 --> 04:44.080]  to reinstall and get my phone
[04:44.080 --> 04:46.280]  to work with CarPlay in my car
[04:46.280 --> 04:47.660]  I'm gonna guess
[04:48.190 --> 04:49.840]  legitimately 80 to 100 times
[04:49.840 --> 04:52.100]  over the past two years or so.
[04:52.220 --> 04:53.380]  I've read about it on Google
[04:53.860 --> 04:56.340]  I've looked it up on BMW's support forums
[04:56.340 --> 04:58.060]  I have found nobody else
[04:58.060 --> 04:59.320]  with my specific problem
[04:59.320 --> 05:01.820]  nobody else complaining about this issue
[05:02.500 --> 05:02.900]  and
[05:03.860 --> 05:05.340]  I'm just befuddled and I'm lost
[05:05.340 --> 05:07.440]  and so I just give up and I decide
[05:07.440 --> 05:09.540]  even though I still try, even knowing it's not gonna work
[05:09.540 --> 05:10.640]  a couple times a month
[05:10.640 --> 05:13.720]  I just have given up on ever using CarPlay on my phone again
[05:14.240 --> 05:15.300]  or on my car again.
[05:15.820 --> 05:17.220]  Then I got the new iPhone 15
[05:17.220 --> 05:19.200]  and the first thing I did
[05:19.200 --> 05:20.720]  after setting it up, which by the way
[05:21.240 --> 05:23.280]  I don't understand how
[05:23.280 --> 05:25.340]  it gets harder to set up a
[05:25.340 --> 05:27.360]  fucking iPhone every new iteration
[05:27.360 --> 05:29.200]  They even give you like
[05:29.200 --> 05:31.060]  just scan this code and it'll fucking work
[05:31.060 --> 05:33.060]  No, it doesn't. I still have to call and spend
[05:33.060 --> 05:35.060]  45 minutes on the phone with AT&T
[05:35.060 --> 05:37.720]  because something's not fucking toggled on their end
[05:37.720 --> 05:39.200]  and you gotta go through their fucking
[05:39.200 --> 05:41.400]  whole complicated
[05:41.400 --> 05:42.800]  and confusing tree
[05:42.800 --> 05:45.000]  to just get to talk to a human fucking person
[05:46.080 --> 05:46.840]  and it's just like
[05:48.060 --> 05:49.060]  you get a new phone
[05:49.060 --> 05:51.480]  you turn it on and it goes, hey man, do you want to set this phone up?
[05:51.500 --> 05:52.640]  and you go, yeah, I want to set it up
[05:52.640 --> 05:55.060]  and it's like, we gotcha! This is the 15th version
[05:55.060 --> 05:57.080]  of this phone, we know how to do it, we know how to do it well
[05:57.080 --> 05:59.400]  Do you want to restore it from the cloud
[05:59.400 --> 06:01.060]  or from your local phone? Either way
[06:01.060 --> 06:03.040]  you try it and it's like, no problem dude, just hit this button
[06:03.040 --> 06:04.200]  hit this button, now it's gonna work
[06:04.200 --> 06:07.080]  and then it goes, hey wait, it didn't work, there's a problem, try again
[06:07.080 --> 06:09.400]  and you try again and they're like, uh, I don't know what to tell you
[06:09.720 --> 06:11.140]  this doesn't work, call AT&T
[06:11.140 --> 06:12.640]  and you're like, god damn it!
[06:12.640 --> 06:15.480]  So anyway, after I go through all of that
[06:15.480 --> 06:17.300]  I run out to my car, I'm very excited
[06:17.300 --> 06:19.060]  and I set up my phone
[06:19.060 --> 06:21.520]  and I hit connect, I hit to pair it
[06:21.520 --> 06:22.360]  and it starts to pair
[06:22.820 --> 06:25.220]  and this same thing happens with my other iPhone
[06:25.220 --> 06:27.400]  it just pairs, it tries to pair forever
[06:27.400 --> 06:29.660]  and then it eventually gives an undefined error message
[06:29.660 --> 06:31.040]  and so I do it
[06:31.040 --> 06:32.340]  and it fucking does that
[06:32.340 --> 06:35.320]  and I get that error message and I go, you gotta be kidding me
[06:35.320 --> 06:36.740]  you gotta be fucking kidding me
[06:36.740 --> 06:38.220]  I know it's not the car
[06:38.220 --> 06:40.880]  because I've connected other cars to this fucking phone before
[06:40.880 --> 06:43.740]  or other phones to this fucking car before
[06:44.840 --> 06:45.760]  what the fuck
[06:45.760 --> 06:47.300]  and I just said, you know what, I'm gonna try again
[06:47.300 --> 06:48.220]  I'm gonna try a second time
[06:48.220 --> 06:51.340]  and for some reason when I tried a second time and it didn't work
[06:51.340 --> 06:53.100]  it gave me a different error message
[06:53.100 --> 06:55.020]  that it's never given me before
[06:55.020 --> 06:56.640]  and that error message says
[06:57.160 --> 06:58.580]  CarPlay doesn't work on
[06:59.080 --> 07:01.640]  doesn't work on iPhones that don't have Siri enabled
[07:01.640 --> 07:02.300]  and I went
[07:02.900 --> 07:05.240]  I did disable Siri about two years ago
[07:05.240 --> 07:07.080]  I did
[07:07.080 --> 07:08.960]  I did disable Siri about two years ago
[07:10.180 --> 07:11.500]  and so I
[07:11.500 --> 07:12.520]  enabled Siri
[07:12.520 --> 07:15.100]  by the way the first thing I did on my new phone was I disabled Siri
[07:15.100 --> 07:16.020]  because I don't use it
[07:16.020 --> 07:18.440]  and so I enabled Siri and it connected immediately
[07:19.040 --> 07:21.300]  and just to check on my old phone
[07:21.300 --> 07:22.380]  it connected immediately
[07:22.380 --> 07:25.020]  I spent two years without CarPlay because I
[07:25.020 --> 07:27.060]  disabled Siri. So if you are having a similar
[07:27.060 --> 07:28.360]  issue out there and I'm guessing you're not
[07:28.360 --> 07:30.880]  because I saw zero people complaining about it online
[07:30.880 --> 07:32.140]  enable Siri
[07:33.080 --> 07:35.400]  I don't ever use Siri
[07:35.400 --> 07:36.140]  but I also
[07:36.700 --> 07:37.760]  it doesn't really come
[07:38.280 --> 07:40.280]  just don't use it. Do you have to actually
[07:40.280 --> 07:41.060]  disable it?
[07:42.240 --> 07:44.320]  Do I have to disable it? Apparently not. No I'm living
[07:44.320 --> 07:46.400]  with it now. I just always bump it on accident or something
[07:46.400 --> 07:48.240]  and a little thing pops up and I'm like shut up
[07:48.240 --> 07:50.240]  I don't want to talk to you. I don't want to talk to anybody
[07:50.240 --> 07:52.280]  let alone a robot lady in my
