[00:10.030 --> 00:11.330]  How's that asshole feeling?
[00:12.390 --> 00:18.750]  My asshole feels fine. I had some really... I was telling Eric earlier. I had some pretty heinous farts yesterday, but my asshole's fine.
[00:20.650 --> 00:22.430]  What did you think was wrong my asshole?
[00:23.510 --> 00:28.990]  Spicy food and stuff? Lack of waxing is mainly my issue. Oh
[00:28.990 --> 00:36.130]  Well, yeah, my asshole feels hairy. I wish it was waxed, but unfortunately we can't seem to get that done
[00:36.130 --> 00:38.290]  Which I think is my fault. Yeah, I'm
[00:40.710 --> 00:42.550]  Uh-oh, uh-oh, uh-oh.
[00:42.690 --> 00:45.270]  I mean, I just I just took the blame for it
[00:45.790 --> 00:49.570]  Yeah, not in the order of operations. It should have gone
[00:50.310 --> 00:56.310]  What does that mean? Took the blame is maybe strong. You said it might be. No fucking kidding
[00:56.830 --> 01:01.170]  What what is that? I just said I think it's my fault that we're not getting our asshole waxed. Yeah, right
[01:01.170 --> 01:06.110]  That's the second part of what you said after leveling it
[01:06.830 --> 01:08.290]  Clearly not on yourself
[01:09.470 --> 01:11.410]  What does that mean? Oh my god
[01:11.910 --> 01:12.710]  just now
[01:13.790 --> 01:16.690]  Just now I said hello, and then I said my asshole was dirty
[01:16.690 --> 01:21.970]  You're rewinding too far. At first you wouldn't go far enough and then you went too far. That's ridiculous
[01:21.970 --> 01:24.130]  What was the first part I said? Ridiculous.
[01:24.710 --> 01:27.110]  Ridiculous. Oh for some reason we can't get that done
[01:28.370 --> 01:32.390]  Yeah, I agree and then big beat big beat big beat
[01:33.090 --> 01:34.870]  Oh, I think that's actually my fault
[01:35.290 --> 01:38.010]  Yeah, yeah, I mean that's how it works I was like
[01:38.010 --> 01:41.530]  Oh, yeah, we can't get that done for some reason and then I thought why can't we get it done?
[01:41.630 --> 01:43.930]  Then I realized I was the problem and then I took ownership of it
[01:43.930 --> 01:49.470]  I really don't see what I mean, there's some odd criticism for a guy who just took the bullet
[01:49.470 --> 01:53.750]  Uh willingly. No, no, you didn't you did not take the bullet. You shot the gun
[01:54.250 --> 01:56.990]  Took a ride around the block and then jumped in front
[01:56.990 --> 02:02.370]  You put your hand up and said I might take the bullet. You didn't you didn't take the bullet you offered
[02:02.970 --> 02:05.930]  I for bullet. Hold on. Hold on a second. Hold on a second
[02:09.210 --> 02:13.930]  Hey, what's up everybody? Hey, hey jeff not much just hanging out. Uh
[02:13.930 --> 02:19.490]  Hey, did I mention recently for no reason out of the blue that if we don't get waxed this week, it's my fault
[02:19.490 --> 02:20.890]  Just want everybody here to know
[02:20.890 --> 02:23.350]  Oh, that's good. We got that on tape, right? That's good
[02:23.350 --> 02:27.690]  That's a big stupid deal for some dumb fucking reason that you guys are all upset about
[02:28.190 --> 02:30.690]  No, nobody's upset. Yeah, I don't think anybody's mad
[02:32.590 --> 02:38.030]  Now I got fucking assaulted when I walked into this one. Hey, fuck you. What are you talking about?
[02:38.910 --> 02:42.810]  No, no, no, remember. Hang on. No, what did I do? Remember you said hello
[02:43.330 --> 02:44.050]  yeah, then
[02:44.910 --> 02:46.050]  Here we are. I said hello
[02:46.570 --> 02:47.270]  and then
[02:47.910 --> 02:51.790]  Asked about your asshole, then you got really mad for some reason. Gavin's late
[02:51.790 --> 02:57.650]  Oh my god. Do you think Gavin knows we're doing this? I doubt it
[02:57.650 --> 03:03.270]  Geoff that delivery was like such a grizzled action star when you just did that. Oh my god
[03:03.270 --> 03:04.330]  That was great
[03:06.610 --> 03:08.510]  I'm gonna kill all these aliens
[03:10.290 --> 03:11.590]  And if they're named Andrew
[03:11.590 --> 03:12.270]  Oh
[03:13.710 --> 03:15.030]  I mean, we know that
[03:15.510 --> 03:18.790]  It's not a question of will you yeah choke them out
[03:19.270 --> 03:20.870]  Fucking drown me in pickle juice
[03:20.870 --> 03:24.810]  I thought when somebody was gonna try to do a pickle juice chug when I saw the pickle juice
[03:24.810 --> 03:29.010]  Oh, I could I Andrew if it was something else, I think I could probably do the pickle juice
[03:29.610 --> 03:33.070]  The oh the pickle juice. I can't I oh, it's just so brutal
[03:33.270 --> 03:34.050]  It's not for me
[03:35.030 --> 03:41.930]  It seems like a thing that people either hate or love. There's no no one's different on pickle juice. Love it
[03:41.930 --> 03:46.230]  I hate it. How do you feel love it? How do you I hate it? Yeah, i'm not a fan
[03:46.970 --> 03:52.950]  Yeah, love it. Do you want me to text Gavin or does somebody else want to text Gavin? Should I text the group?
[03:53.230 --> 03:54.430]  I mean, you're the producer
[03:57.780 --> 04:00.940]  I will I thought we were gonna get a sharp Gavin today
[04:01.920 --> 04:04.120]  Yeah, I texted him. I said, how was your sleep?
[04:04.980 --> 04:09.800]  He said good. I don't understand why when I got into the chat everybody was already spicy
[04:09.800 --> 04:13.940]  Like what what did I miss in the pleasantries? No, I I think I had the I had the nice
[04:13.940 --> 04:19.300]  I had a lovely morning with eric. We we already did a podcast together. It was great. Yeah, it's fantastic
[04:19.300 --> 04:20.340]  It's totally fine
[04:20.340 --> 04:25.340]  Then you have to think about so if the factor was me and you and that was super positive you have to think about what?
[04:25.480 --> 04:27.600]  Other things what other elements got added here. Is it Gracie?
[04:28.520 --> 04:28.880]  Oh
[04:29.700 --> 04:33.620]  Uh, Gracie's been pretty quiet. So I don't think it's Gracie. I wasn't quiet before you got here
[04:34.780 --> 04:36.740]  Oh, oh see there you go
[04:41.440 --> 04:42.680]  Gavin didn't accept
[04:44.000 --> 04:49.640]  Gavin didn't what yeah, but Gavin didn't accept the invite is on par with his tenure here at the company
[04:50.180 --> 04:54.440]  Yeah, but we I remember I remember Gavin saying, uh, yeah
[04:54.980 --> 04:59.980]  Yeah, right. Oh, that was really good. Gavin. That was that was I mean, that was really good
[04:59.980 --> 05:03.600]  Well, i've i've heard that no yes about 3 000 times
[05:04.200 --> 05:08.280]  In my career with Gavin, so yeah, you think this is the episode that we're doing right now?
[05:09.220 --> 05:12.340]  I don't know. It depends. It depends on if Gavin shows up or not
[05:12.340 --> 05:18.000]  If he doesn't show up then no, this is nothing but okay, but what if he does show up? No, it's something
[05:18.540 --> 05:22.560]  We've gone too far for it to be nothing. This is it's only been three minutes
[05:22.560 --> 05:27.580]  So is andrew mad that we haven't waxed our assholes yet? And he's waxed his pubes. Is that what's good?
[05:27.580 --> 05:29.300]  Is that what i'm is that what i'm walking into?
[05:29.520 --> 05:33.380]  I wanted to just see where we're at with it. I think the audience is really excited for the bit
[05:33.380 --> 05:38.300]  We were gonna do it tuesday afternoon, but I can't make it tuesday afternoon because I have wedding stuff. Yep
[05:38.920 --> 05:39.320]  Yeah
[05:40.220 --> 05:45.340]  Everything just got it like we just have to move. There's like a lot this week that we won't be able to
[05:45.900 --> 05:50.840]  Get to because of that. So again, that's why we're recording on like a monday. But uh, yeah we have
[05:50.840 --> 05:54.520]  There he is the latest boy we've ever seen
[05:54.520 --> 05:57.140]  It's harder to be on time to the changed
[05:57.720 --> 06:03.740]  The changed days. Well, it's the same time though. I like I agree. It's a different day, but it is the same time
[06:03.740 --> 06:05.980]  Yeah, just my alarm was on the other day
[06:06.840 --> 06:07.320]  Oh
[06:08.020 --> 06:11.900]  But I did text you earlier about it. I did check your sleep
[06:11.900 --> 06:15.520]  I did say we'd get a lightning fast gavin and that is
[06:16.040 --> 06:22.260]  Not the case if it makes you feel any better. I was uh at this exact desk just not in here
[06:22.260 --> 06:27.500]  It doesn't why were you at the were you were you editing slow-mo guys or something I was
[06:28.480 --> 06:31.760]  Yeah, how are you? How are you doing? Gavin? You slept? Well, you feeling okay?
[06:32.260 --> 06:36.920]  Yeah, I feel I feel like I need to apologize for my last two episodes. No
[06:37.480 --> 06:38.960]  No, no, not at all
[06:38.960 --> 06:44.340]  Maybe for the moment in between the two episodes when you yelled at us when you found out we were doing two even though you already
[06:44.340 --> 06:45.520]  Knew no, no
[06:45.520 --> 06:50.020]  I yelled at you after the second one when you said that we didn't have to have done two because we're doing this one right now
[06:50.020 --> 06:58.260]  You uh, you could potentially apologize for leaving delicious mcdonald's outside of your door for an entire evening if you want to apologize for things
[06:58.880 --> 07:04.440]  Did you leave your mcdonald's outside your door for an entire evening? Well, I didn't know you'd sent it
[07:05.040 --> 07:12.480]  Even after I thanked him for sending the mcdonald's in our group chat like I just I just didn't know what you were talking about
[07:14.600 --> 07:17.200]  God for god forbid you you ask
[07:19.220 --> 07:21.000]  Yeah, you just didn't reply at all
[07:21.860 --> 07:27.920]  I assumed you had 10 000 cameras on every angle of your home. So I just figured you would see
[07:28.480 --> 07:30.020]  Via like a ring or something
[07:30.020 --> 07:36.420]  That somebody dropped something off if you get within a hundred yards of his house with a cucumber seven alarms go off
[07:36.420 --> 07:42.700]  Apparently a mcdonald's employee can walk right up and tuck it right in. I think it was hidden behind the giant stack of bubbly
[07:43.120 --> 07:43.520]  All right
[07:44.420 --> 07:48.180]  Nick, I would have sent you cheeseburgers too for mcdonald's, but I didn't I don't know your address
[07:48.180 --> 07:50.600]  Which is probably smart, but I don't I don't know where you live
[07:50.600 --> 07:51.800]  So I can't can't do that
[07:51.800 --> 07:54.040]  But I I did send them to gavin or jeff
[07:54.040 --> 08:00.000]  I know your address nick and I would have given it to him had he asked what what you've just leveled to nick is such a
[08:00.900 --> 08:07.380]  Like double-sided sword like you are saying I will send you free cheeseburgers and he wants that so desperately
[08:07.380 --> 08:08.680]  but no
[08:08.680 --> 08:09.760]  but the
[08:10.260 --> 08:12.800]  But the what negative may come to you
[08:12.800 --> 08:16.840]  Yes is very he has to be nervous about it. I would well
[08:16.840 --> 08:22.220]  that's that's why i've never asked for your address eric or nick's address because I understand that there is a
[08:22.220 --> 08:25.280]  History that extends it's not a simple question. So
[08:25.920 --> 08:27.960]  Yeah, it's you get it you get a happy meal
[08:27.960 --> 08:32.120]  But the instead of a regular happy meal the burger is in a giant pink porta potty
[08:33.260 --> 08:35.380]  No, that's hard to dispose of
[08:36.200 --> 08:43.060]  I like to eric's use of the famous saying a double-sided sword a double sides. I couldn't I couldn't think of the phrase
[08:43.060 --> 08:45.480]  I was like man i'm grasping at straws here
[08:46.500 --> 08:48.780]  It was i'm like falling apart, you know
[08:48.780 --> 08:52.220]  What happens is that we change it to a different day and that can be hard on people
[08:52.220 --> 08:58.180]  So yeah a different day throws everything off. That's a real both sides of the same coin phrase there
[08:58.180 --> 09:00.960]  He's grasping at double-edged straws
[09:00.960 --> 09:01.520]  Yep
[09:01.520 --> 09:04.000]  It's a real elissa in the pool
[09:04.560 --> 09:04.820]  Yeah
[09:06.740 --> 09:12.360]  Forgot about that. Oh besides the same coin right calling smeesh me. It's perfect
[09:12.880 --> 09:16.660]  This is what this is episode 183, by the way. Thank you real zazzle of an episode
[09:17.200 --> 09:18.860]  Well so far it's been an interesting one
[09:19.320 --> 09:24.800]  Uh, i'm not sure when it started. I gotta say gav. Uh, I walked into it and they were fighting they were feisty
[09:25.440 --> 09:26.940]  That we haven't waxed our assholes yet
[09:27.540 --> 09:30.940]  They were feisty towards eric because we haven't waxed our assholes yet
[09:30.940 --> 09:31.500]  They were
[09:32.040 --> 09:37.440]  Eric was feisty towards me for some reason because I didn't I didn't I didn't accept blame hard enough
[09:37.440 --> 09:44.420]  I think we all accepted the fact that the pool was dropped by eric two weeks ago. Whoa, the ball was dropped by eric
[09:45.660 --> 09:51.100]  Listen, I don't want we went through this. Yeah, I did. I didn't mean to pull the pin on this. I just yeah, you did
[09:51.100 --> 09:55.080]  No, no, no, I really didn't. No, no, no, no, no, no, no, you didn't. I was trying to turn it
[09:55.080 --> 09:58.740]  I was just letting gavin know you did exactly what you meant to do
[09:58.740 --> 10:02.980]  This is no, this is what you know, this is what you meant to do. This is exactly what it was
[10:02.980 --> 10:09.280]  It's exactly what we all knew exactly what it was about how eric's overextended right now
[10:09.280 --> 10:12.280]  And he's maybe got too much on his little no. No, no, no
[10:12.280 --> 10:16.160]  No, no, because we had we had a day and a time locked in for this week
[10:16.160 --> 10:21.420]  Unfortunately, we're unable to do it and uh, there's uh people who are unavailable
[10:22.080 --> 10:26.980]  uh in the coming days and perhaps week so, uh
[10:27.480 --> 10:29.700]  Yeah, jeff knows what he did it's fine it's okay
[10:30.880 --> 10:31.820]  It's fine. It's fine
[10:31.820 --> 10:39.680]  Anyway, episode 183 of the face podcast. Wow guys. Did you believe what we've done so far?
