[00:07.880 --> 00:08.880]  And we're back.
[00:09.100 --> 00:11.200]  Hello and welcome to another Break Show.
[00:11.400 --> 00:13.320]  You missed us last week, we missed you too.
[00:13.400 --> 00:16.720]  But we were on vacation. We were non-laboring on Labor Day.
[00:16.740 --> 00:18.400]  We were non-laboring on Labor Day.
[00:18.560 --> 00:20.440]  Had a lovely day. What'd you do? Did you do anything fun?
[00:21.760 --> 00:24.300]  I don't remember. Was it Monday?
[00:24.600 --> 00:25.500]  Neither do I.
[00:26.000 --> 00:26.720]  What happened?
[00:26.900 --> 00:28.660]  I have no clue. We might have hung out.
[00:28.680 --> 00:29.360]  Did we hang out?
[00:29.380 --> 00:31.240]  We might have, we might have not. I really don't remember.
[00:31.620 --> 00:32.300]  What did we do?
[00:32.540 --> 00:32.960]  I don't know.
[00:33.120 --> 00:33.660]  Where am I?
[00:34.220 --> 00:35.220]  This is the Break Show, Eric.
[00:35.220 --> 00:35.740]  Oh, fantastic.
[00:35.740 --> 00:36.460]  Thanks for asking.
[00:37.000 --> 00:38.700]  And every week, most weeks.
[00:39.100 --> 00:40.080]  Every week, most weeks.
[00:40.100 --> 00:41.940]  Almost every week, most weeks.
[00:42.900 --> 00:47.540]  On Mondays, we'll open up a bunch of wacky sports and non-sports related cards with you.
[00:47.620 --> 00:51.400]  As we're building the greatest collection ever assembled.
[00:51.680 --> 00:53.180]  And we're going to do it right here in front of you.
[00:53.220 --> 00:59.360]  Oh my God, Eric, I just saw the backdrop and I remembered that I bought a poster for our set and I left it at home.
[00:59.460 --> 00:59.980]  Oh, that's cool.
[01:00.440 --> 01:01.040]  Emily's not here.
[01:01.380 --> 01:01.740]  Oh, yeah.
[01:02.120 --> 01:04.760]  Eric Bedore, Geoff Ramsey, Emily is usually here.
[01:04.840 --> 01:05.720]  She'll be here a little late today.
[01:05.840 --> 01:08.100]  She's flying in from Dallas right now.
[01:08.260 --> 01:08.620]  In a car.
[01:08.780 --> 01:09.080]  She's driving.
[01:09.840 --> 01:11.000]  Driving in from Dallas right now.
[01:11.380 --> 01:12.540]  So she'll be joining us a little bit late.
[01:12.920 --> 01:16.080]  Goddammit, Eric, I'm mad because I wanted to put this poster up.
[01:16.120 --> 01:17.120]  I was really excited about it.
[01:17.300 --> 01:20.280]  It's very Break Show-ish and I think you're going to love it.
[01:20.600 --> 01:26.880]  And then I had a new segment I wanted to debut this week called Common Thread and I was missing one piece that I thought I had that I couldn't find.
[01:26.960 --> 01:27.380]  The thread?
[01:28.020 --> 01:28.320]  Yeah.
[01:28.460 --> 01:28.680]  Okay.
[01:28.840 --> 01:30.320]  It's just common right now.
[01:30.320 --> 01:30.440]  Okay.
[01:30.660 --> 01:32.240]  And I don't know what to do.
[01:32.980 --> 01:37.740]  So that'll debut next week, but then once we get that in the works, I think it'll be something that we do pretty often.
[01:37.820 --> 01:39.120]  You want to tease what we have today?
[01:39.300 --> 01:40.900]  Yeah, we have a lot to tease today.
[01:41.020 --> 01:41.240]  Okay.
[01:41.420 --> 01:43.200]  We've got some viewer mail.
[01:43.820 --> 01:47.420]  We've got, oh, this is cool.
[01:48.560 --> 01:49.280]  Decision 92.
[01:49.800 --> 01:50.220]  That's right.
[01:50.720 --> 01:57.700]  I got us two whole boxes of cards from the 1992 presidential election.
[01:57.720 --> 01:59.520]  I want Ross Perot auto on card.
[01:59.520 --> 02:01.440]  My favorite is the candidates.
[02:02.120 --> 02:04.100]  Special subset on billionaire Ross Perot.
[02:04.220 --> 02:05.760]  And then here's the other highlight.
[02:05.860 --> 02:06.400]  The issues.
[02:06.660 --> 02:07.020]  Healthcare.
[02:07.440 --> 02:07.960]  Pro-choice.
[02:08.320 --> 02:09.020]  Pro-life.
[02:09.780 --> 02:11.000]  Those are all the issues.
[02:11.280 --> 02:11.920]  Those are all the issues.
[02:12.020 --> 02:12.580]  Still the issues.
[02:13.360 --> 02:18.100]  In addition to that, we've got the Summer of 98 yearbook that was given to us at RTX.
[02:18.740 --> 02:24.300]  That is a piece of merchandise, not merchandise, lore there.
[02:24.420 --> 02:25.260]  You want to buy this?
[02:27.100 --> 02:31.680]  Everyone did such a good job putting their childhood pictures from 1998 in it.
[02:31.760 --> 02:32.540]  Do you want to buy this?
[02:32.740 --> 02:32.840]  No.
[02:32.920 --> 02:33.700]  It's not for sale.
[02:33.940 --> 02:34.560]  We're not selling it.
[02:35.420 --> 02:36.500]  This is a great book, though.
[02:36.700 --> 02:40.940]  This has like autographs from everyone, pictures and blurbs from people from 98.
[02:41.440 --> 02:42.120]  And this is great.
[02:42.340 --> 02:43.020]  This is really cool.
[02:43.100 --> 02:45.600]  Cool fans putting something together really awesome.
[02:45.660 --> 02:46.940]  It's one of the neatest things.
[02:47.300 --> 02:48.580]  This will live on the set.
[02:48.680 --> 02:51.300]  So happy it's going to live on the set as we...
