[00:00.830 --> 00:02.090]  The fuck?
[00:03.090 --> 00:04.490]  Are we rolling on that?
[00:04.870 --> 00:06.110]  Can we do outtakes this season?
[00:09.830 --> 00:13.390]  Season 2 of Does It Do is sponsored by our friends at Shady Rays.
[00:13.490 --> 00:14.410]  Protect your eyes!
[00:14.770 --> 00:15.210]  Seriously.
[00:15.970 --> 00:16.750]  Magic ear.
[00:17.330 --> 00:18.610]  Super hearing device.
[00:18.950 --> 00:19.830]  Or fraud.
[00:20.590 --> 00:22.170]  Find out today on Does It Do.
[00:22.590 --> 00:24.190]  Do-do-do-do-do-do.
[00:24.210 --> 00:24.790]  Does it do?
[00:24.910 --> 00:25.670]  Do-do-do-do-do-do.
[00:25.770 --> 00:27.050]  If it did, it would do that.
[00:27.110 --> 00:27.930]  We would do it.
[00:28.030 --> 00:28.310]  Do that.
[00:28.350 --> 00:29.810]  That's a good... you're doing a little peanuts dance.
[00:29.810 --> 00:30.570]  Is that what that is?
[00:30.710 --> 00:33.210]  We are employees of Unifarm.
[00:33.490 --> 00:33.850]  Unifarm.
[00:33.970 --> 00:36.230]  Combining the power of one with the fabric of the farm.
[00:37.030 --> 00:37.390]  Unifarm.
[00:37.530 --> 00:41.950]  We are charged with taking a look at products that you might find on the internet or on
[00:41.950 --> 00:42.490]  social media.
[00:42.690 --> 00:43.670]  Seems too good to be true.
[00:43.950 --> 00:44.870]  It probably is.
[00:45.050 --> 00:45.830]  That's what we do.
[00:45.850 --> 00:46.790]  We get to the bottom of it.
[00:46.850 --> 00:48.230]  We find out, does it do?
[00:48.670 --> 00:49.750]  What it says it does.
[00:49.810 --> 00:50.830]  And how do we do that, Gavin?
[00:52.790 --> 00:53.870]  Those three things.
[00:54.110 --> 00:54.490]  Right there.
[00:56.250 --> 00:58.170]  So they say the magic ear...
[00:58.170 --> 00:59.510]  You didn't list the things.
[00:59.510 --> 01:00.890]  Well, they're listed in...
[01:00.890 --> 01:00.990]  Oh.
[01:01.150 --> 01:02.530]  I did like this, because they're going to be on the thing.
[01:02.930 --> 01:04.550]  It's a picture of Al Gore on the front, it looks like.
[01:04.910 --> 01:08.150]  And it says, uh, you won't believe what you can hear.
[01:08.450 --> 01:12.970]  Enhances sounds, 15 different volume levels, portable and discreet.
[01:13.030 --> 01:13.870]  It's great for watching TV.
[01:14.350 --> 01:17.190]  So instead of turning the TV up, just turn up your magic ear.
[01:17.370 --> 01:19.870]  So let's see how... well, this is...
[01:19.870 --> 01:20.770]  Yeah, pretty discreet, right?
[01:20.850 --> 01:23.190]  Just stick that right there.
[01:23.270 --> 01:23.450]  Yeah.
[01:24.010 --> 01:26.670]  And people are going to think you've got your personal radio on.
[01:26.770 --> 01:28.850]  The infomercial said you can hear a pin drop.
[01:28.850 --> 01:29.610]  We have a pin.
[01:29.810 --> 01:30.310]  Across the room.
[01:30.770 --> 01:31.710]  We need to do a control.
[01:32.050 --> 01:34.650]  I'm not going to look, though, because then I'll trick myself into thinking I hear it.
[01:34.690 --> 01:35.370]  I'm going to close my eyes.
[01:36.990 --> 01:37.470]  Oh, I heard that.
[01:37.950 --> 01:38.750]  I definitely heard that.
[01:38.770 --> 01:39.210]  Did you hear that?
[01:39.290 --> 01:39.630]  I heard it.
[01:39.650 --> 01:40.670]  Let me see if I hear it over here, though.
[01:40.670 --> 01:40.830]  Okay.
[01:41.170 --> 01:42.170]  This is real science.
[01:42.950 --> 01:43.610]  Now, do you hear this?
[01:44.810 --> 01:45.090]  Yeah.
[01:45.370 --> 01:45.550]  Okay.
[01:47.850 --> 01:48.850]  I heard it very well.
[01:49.910 --> 01:51.730]  I heard it as well over here as I did back there.
[01:51.850 --> 01:53.610]  Well, the control test is working really well.
[01:53.610 --> 01:59.210]  Alright, so now I'll just discreetly put these... nobody's going to know that I have these on.
[01:59.290 --> 01:59.450]  Right.
[01:59.710 --> 02:00.290]  Can you hear now?
[02:00.690 --> 02:00.950]  Yeah.
[02:01.490 --> 02:01.890]  Do it again.
[02:05.850 --> 02:06.130]  Alright.
[02:07.290 --> 02:08.290]  I didn't hear that at all.
[02:09.810 --> 02:12.850]  I can hear stuff a lot louder, but I didn't hear that at all.
[02:12.990 --> 02:13.390]  Try again.
[02:16.110 --> 02:16.470]  No.
[02:17.310 --> 02:18.170]  Let me turn it up.
[02:18.330 --> 02:19.030]  Let's do it at five.
[02:19.310 --> 02:20.470]  I feel like I'm talking louder.
[02:20.950 --> 02:21.330]  You are.
[02:22.030 --> 02:23.070]  Can you hear me if I whisper?
[02:23.750 --> 02:24.110]  What?
[02:25.770 --> 02:27.550]  I didn't, but I think I know what you said.
[02:29.750 --> 02:30.590]  I heard that.
[02:30.810 --> 02:31.090]  Okay.
[02:31.410 --> 02:32.410]  Alright, so that's at five.
