[00:08.850 --> 00:09.250]  Storage...
[00:11.170 --> 00:13.750]  Has anyone seen this charger? This cable?
[00:16.830 --> 00:19.710]  I'm Geoff and I'm an employee of Uniform.
[00:19.830 --> 00:22.950]  Uniform. Combining the power of one with the fabric of the farm. Uniform.
[00:23.150 --> 00:25.390]  And with me, as always, my handy assistant Gavin.
[00:25.670 --> 00:28.270]  We're science guys and Uniform.
[00:28.390 --> 00:31.110]  Uniform. Combining the power of one with the fabric of the farm. Uniform.
[00:31.250 --> 00:35.290]  Employs us to take a look at some of the fantastic products
[00:35.290 --> 00:38.670]  we see on the internet, on social media, on the television.
[00:38.950 --> 00:41.930]  Products that seem like maybe they're a little too good to be true.
[00:42.570 --> 00:44.370]  So we take a look at them and we determine,
[00:44.730 --> 00:47.450]  do they do what they say they do?
[00:47.610 --> 00:49.230]  And Gavin, what's the pattern we follow?
[00:49.450 --> 00:50.030]  The huh?
[00:50.570 --> 00:54.950]  That's right. The who, the why, and the what do they do?
[00:55.510 --> 00:56.630]  Does it season two?
[00:57.330 --> 01:02.730]  Made possible by our friends at Shady Rays.
[01:03.850 --> 01:05.950]  What if season two?
[01:07.630 --> 01:08.710]  Oh, color up.
[01:09.850 --> 01:10.370]  Voltrax.
[01:11.570 --> 01:14.890]  Alright, so what they say this does, Gavin, I had to look at the box.
[01:15.270 --> 01:17.030]  It's supposed to make protein shakes.
[01:17.430 --> 01:18.990]  BPA free, I hear that's good.
[01:19.110 --> 01:19.710]  That's my uncle.
[01:19.930 --> 01:20.490]  Shadow resistant?
[01:25.470 --> 01:25.850]  Eh.
[01:26.190 --> 01:26.910]  Water resistant?
[01:29.490 --> 01:30.370]  Oh no.
[01:31.950 --> 01:33.610]  Look at that sucker go.
[01:34.470 --> 01:35.730]  Alright, let's get all of them going.
[01:38.410 --> 01:40.090]  Oh, that one makes a noise.
[01:40.430 --> 01:42.730]  We need more fluid. They don't stay on long enough.
[01:45.410 --> 01:45.850]  Cheers.
[01:51.230 --> 01:52.910]  It's hard to drink out of a whirlpool.
[01:54.750 --> 01:57.910]  Well, it definitely mixes water, disperses water.
[01:58.150 --> 01:59.990]  What we like to mix up, and it does it differently,
[01:59.990 --> 02:01.830]  What we like to do here, you got your go-to's.
[02:01.830 --> 02:06.330]  You know how like everybody on the internet, they use a banana for scale when they're measuring things.
[02:06.630 --> 02:09.690]  Well here at Does It Do, we use spaghetti for scale.
[02:10.050 --> 02:15.910]  There's nothing worse than when you get your spaghetti, and your noodles don't get fully coated.
[02:16.690 --> 02:17.650]  You know what I mean?
[02:17.990 --> 02:19.650]  Like you got all these delicious noodles.
[02:20.270 --> 02:21.410]  I'll get some sauce going.
[02:25.860 --> 02:27.520]  Yeah, get that good and mixed up.
[02:27.840 --> 02:28.820]  How do we do this?
[02:28.820 --> 02:31.220]  Oh, well I can transfer from this into...
[02:31.220 --> 02:31.480]  Yeah, okay.
[02:35.770 --> 02:37.150]  I'm gonna run out of room here pretty quick.
[02:37.430 --> 02:37.810]  Is that on?
[02:39.570 --> 02:40.670]  Let me try this again.
[02:42.010 --> 02:42.730]  Less is more.
[02:43.610 --> 02:45.250]  It doesn't take much to gum up the works.
[02:45.350 --> 02:46.190]  What about one at a time?
[02:46.390 --> 02:49.290]  One singular healthy strand of spag.
[02:51.970 --> 02:52.990]  Oh! Look at that!
[02:53.070 --> 02:53.970]  We can put sauce on that.
[02:54.870 --> 02:59.170]  That might have been too much for it.
[03:01.570 --> 03:02.850]  Oh, that's good though.
[03:02.970 --> 03:04.510]  The frickin' noise!
[03:05.030 --> 03:07.050]  So you just gotta make spaghetti by the bite.
[03:07.150 --> 03:07.590]  You wanna try some?
[03:08.070 --> 03:08.970]  That's all yours, that one.
[03:16.480 --> 03:17.280]  That's a good spaghetti.
[03:18.160 --> 03:19.020]  I gotta be honest with you.
[03:19.340 --> 03:20.940]  I'm not blown away by the spaghetti mixing.
