[00:15.410 --> 00:23.210]  Hello and welcome to episode two of the Face Q&A show. Thank you so much for joining me.
[00:23.310 --> 00:28.610]  I don't know. That was like a weird delivery on that. Anyway. Hey, we're doing this again.
[00:29.090 --> 00:34.510]  There is like a three month gap between when I recorded the first one to the release of the second one.
[00:34.570 --> 00:39.150]  And I hope that's not the case for this. I'm pretty sure that this is supposed to release in January.
[00:39.150 --> 00:48.250]  We'll see though. I guess first of all, I should just say thank you so much for everyone who listened and supported the first episode the way that you all did.
[00:48.850 --> 00:55.310]  Well, I mean, that's presumptuous, but the feedback on the first one was so overwhelmingly kind and supportive.
[00:55.930 --> 01:04.830]  I got so many messages from people as well as just general comments that were just humbling and unspeakably thoughtful.
[01:04.830 --> 01:11.670]  I tried my best to reply to anybody who messaged me. I inevitably would miss them. If I missed your message, I'm sorry.
[01:12.130 --> 01:15.870]  If you left a comment or like a tweet and I didn't acknowledge it in some way, I read it.
[01:16.210 --> 01:22.870]  I just didn't interact with it because honestly, it was probably too nice. I have this weird like anxiety thing where somebody is super complimentary.
[01:23.190 --> 01:27.130]  I feel weird liking it because it just says like, I like this tweet.
[01:27.190 --> 01:32.570]  Like the statement of Andrew Panton likes this statement about how great Andrew Panton is feels super obnoxious to me.
[01:32.570 --> 01:37.890]  You know, I don't think anyone interprets it that way. It's just this weird ego anxiety thing.
[01:38.030 --> 01:45.350]  So if you if you wrote something super sweet and I didn't like it, it's because you were too kind and I appreciate it so much.
[01:45.470 --> 01:50.950]  I read it, but anxiety brain. Anyway, episode two.
[01:51.270 --> 01:57.270]  I'm going to change the format up a little bit for this, because why wouldn't you change something that worked the first time?
[01:57.270 --> 02:03.630]  That's what everybody does. They find success and then they change the thing that worked well because that's smart.
[02:03.950 --> 02:09.430]  That's what smart people do. But we're going to do more questions because that's the heart of the show, the whole point of this.
[02:09.470 --> 02:14.290]  And I apologize if I talked about it in the first episode. I don't really remember everything that was discussed.
[02:14.390 --> 02:25.370]  So if I'm covering old ground, sorry. But the kind of idea of this show came from I take calls from people in the community and I really enjoy engaging with you all in that way.
[02:25.370 --> 02:31.870]  But I would I wouldn't be able to answer everybody and I get voicemails and it felt really weird to me to call back.
[02:32.110 --> 02:35.370]  It just didn't seem like a thing I should do for whatever reason.
[02:35.650 --> 02:39.850]  You know, they call it is the whole thing in my head. I just didn't I didn't like the idea of calling somebody randomly.
[02:40.170 --> 02:45.990]  But I also wanted to answer questions because some of them were either really thoughtful or just in general, just I don't know.
[02:46.050 --> 02:50.690]  If you take the time to call a number and leave a message, I would like to reply, especially if I hear it.
[02:50.690 --> 02:55.890]  And I didn't know how to. So I thought maybe there could be a show or something where I could quickly go through those.
[02:56.010 --> 03:06.950]  And thus, we're here on this one. I would like to do that as well as talk about the Raymond Somer thing, which is a bit I did on the show.
[03:07.030 --> 03:13.670]  And I would say it's the only bit that I regret doing. And we can talk a little bit about that as we progress through this.
[03:13.930 --> 03:17.590]  I know some people are like, you don't regret the pencil. And that's a fair statement to make.
[03:17.590 --> 03:24.390]  But I learned a lot about the pencil and not everybody hated it. I know the majority of people did not enjoy the pencil trial.
[03:24.590 --> 03:34.690]  But that was even for those who didn't like it. My goal is obviously always with what I do to try to make you laugh.
[03:34.730 --> 03:43.730]  And I won't always be successful at that. But that's the intent. So even though the pencil trial is very divisive, I learned a lot in a few different ways.
[03:43.730 --> 03:51.350]  So I ultimately don't regret doing that at all. But the Raymond Somer thing went off the rails in a few different ways.
[03:51.430 --> 03:55.110]  And it was kind of a short-sighted idea. It was a panic move, for lack of a better word.
[03:55.590 --> 04:03.750]  So maybe we should just transition into that immediately. Explaining the history of Raymond Somer, which is sort of like a two-part thing.
[04:03.870 --> 04:10.170]  There's the why it happened and how the name came to be. So I think I'll start with how the name came to be.
[04:10.170 --> 04:21.630]  Which is a very dumb story. Which is shocking, I know. But Raymond... the name Raymond kind of became an inside joke between a friend of mine and myself.
[04:21.810 --> 04:29.070]  Where I was talking about middle names to them. And I was thinking about how my middle name is the name of a relative in my family.
[04:29.430 --> 04:33.470]  And so when I went to tell them what my middle name was, I said my middle name is Raymond.
[04:34.690 --> 04:42.470]  And then I said it's funny though because I really don't feel like a Raymond. Sort of a weird identity thing where I don't associate with that at all.
[04:42.830 --> 04:47.410]  And then I realized the reason why it felt weird is because that isn't my middle name.
[04:48.710 --> 04:54.690]  My brain did this weird crossing of wires where I thought, oh yeah, my middle name is named after this relative.
[04:55.110 --> 04:59.550]  And then what came out is that relative's middle name, not mine. That relative's middle name is Raymond.
[04:59.550 --> 05:04.330]  Not my middle name. That's why it didn't feel like my middle name because it's not. That wasn't my name.
[05:04.430 --> 05:10.350]  I forgot my name, essentially, in this moment. So Raymond calling me Raymond became this inside joke between me and this person.
[05:10.770 --> 05:14.630]  And the Somaire aspect of it came from two other really close friends.
[05:14.670 --> 05:19.210]  When I was making the Twitter account, I was trying to change the at mention to something.
[05:19.490 --> 05:24.570]  And I tried like five or six different names and none of them would fit. They were already taken on Twitter.
[05:24.570 --> 05:30.870]  And so I was just looking at my friend group and I thought, ah, Somaire, that's sort of a unique name.
[05:30.930 --> 05:38.730]  I wonder if it's available. And it was. So I got their permission and thus we got Raymond Somaire as a name.
[05:39.570 --> 05:47.230]  What was really funny about that is that friend group, those people would go to interact with something on Facebook.
[05:47.390 --> 05:51.990]  So they'd be on Instagram or something like that. But they would have Somaire in their username.
[05:51.990 --> 05:58.750]  So like they'd go to interact and then panic that by doing so would then reveal the origin of the name in some way.
[05:59.370 --> 06:03.550]  So that's the history of how I created the name Raymond Somaire.
[06:03.630 --> 06:07.670]  The idea of it kind of came from a few different places.
[06:07.830 --> 06:16.090]  The original point of I thought it would be interesting to do something with essentially information you can't verify, but that we generally accept.
[06:16.090 --> 06:24.810]  That thought came from a different story I told on the podcast where I was traveling to Austin and there was a storm over the airport and we had to get redirected into San Antonio.
[06:25.330 --> 06:29.510]  And I went on this road trip with the guy sitting next to me on the flight and I didn't know anything about him.
[06:30.030 --> 06:37.390]  And when we were at the rental car, when he's picking it up, the guy said a different name, or at least it sounded like a different name than what I heard on the plane.
[06:37.610 --> 06:44.430]  And I had this anxiety moment of like, did he lie to me? Do I not know? What do I actually know about this guy? Am I going to get killed?
[06:44.430 --> 06:46.970]  Is this how I die? Is this my murder?
[06:47.290 --> 06:54.990]  And that kind of stuck with me, that thought of when I interact with somebody who I've never met before, all the stuff that I just assume is true in our interaction.
[06:55.470 --> 06:57.450]  And wow, what a weird way to say interaction.
[06:58.090 --> 07:03.430]  In our interaction, that I just don't question because why would I? Like, it's just a weird thing to assume.
[07:04.390 --> 07:08.990]  Nobody's like, hey, I'm Bob. And then the response is like, go fuck yourself. You're not Bob.
[07:09.490 --> 07:12.990]  I know a Bob when I see a Bob and you, sir, are not a Bob.
[07:13.430 --> 07:16.690]  That never happens. It's just cool. Like, who cares?
[07:17.290 --> 07:19.270]  So that stuck with me and I was thinking about that a little bit.
[07:19.710 --> 07:25.330]  And I didn't know if that was like a talking point somehow on the show that I could bring up or if that would be a bit within itself.
[07:25.510 --> 07:35.450]  And then a little after that, I did this weird puzzle thing where I had this Discord chat or group chat server, I guess is the word I'm looking for.
[07:35.690 --> 07:42.570]  And I don't remember why it started, but it turned into a thing where I first was just like posting photos of not photos, but numbers.
[07:42.570 --> 07:49.390]  Of random things on my desk. So like I had a Dr. Pepper bottle and I posted the customer support line.
[07:49.790 --> 07:54.070]  And then people speculated, like, what could this mean? So then I posted another one and it just built.
[07:54.210 --> 08:00.890]  And then it turned into me buying a Swedish phone number and it like escalated into this four day ridiculous thing.
[08:01.170 --> 08:05.710]  That was so much fun. And the people that were involved in it seemed to like really enjoy it.
[08:05.750 --> 08:10.250]  So I thought, oh, I'd love to do more stuff like that, which is also why I could be wrong.
[08:10.250 --> 08:15.190]  You could verify this, I guess, or maybe, I don't know, post it or retweet it. I'll look at it.
[08:15.230 --> 08:28.530]  I think when I revealed the Raymond Somer thing, the only clue I gave that this was all a bit was if you take, I want to say the first letter of every sentence, it spells fake.
[08:29.130 --> 08:36.110]  And it's a strangely written tweet because of that. I was struggling to like, how do I balance this out or how do I make it sound natural?
[08:36.110 --> 08:41.030]  So it doesn't read naturally, really at all. It kind of feels like a shitty puzzle when you read it.
[08:41.370 --> 08:46.730]  And that's because I was trying to hide the word fake or some indication that it wasn't real.
[08:48.390 --> 08:55.870]  So those two ideas were like center points. And then the third part, and this is where it gets a little bit darker.
[08:56.470 --> 09:06.690]  I apologize once again for taking it to kind of a sad place. At around the same time, I had a family member get diagnosed with cancer that was terminal.
[09:07.590 --> 09:19.150]  And that was difficult and I was really struggling with that. And I decided to watch this movie called Paddleton, which happened to be a Mark Duplass movie and a Ray Romano movie.
[09:19.150 --> 09:27.770]  And the premise of that movie is about one character having an operable terminal cancer and them kind of going through that process together,
[09:27.770 --> 09:33.630]  which on the surface seems like the worst possible movie you could watch if you were in my position.
[09:33.830 --> 09:43.310]  But it was this strange thing of like I was struggling and I just wanted to, I don't know, maybe seeing other people go through a similar thing would provide some answer.
[09:43.310 --> 09:52.030]  And I don't know, I was just looking for anything, I guess. And so I watched this movie and I did pull something from it, but it wasn't really what I expected,
[09:52.150 --> 09:57.770]  where the Ray Romano character buys the Mark Duplass character this shirt or he makes it. Sorry, he doesn't buy it.
[09:58.150 --> 10:05.770]  He makes this shirt and it's like a hangman puzzle, you know, where it's like it indicates how many letters are in the word, but not it doesn't reveal the word.
[10:05.770 --> 10:13.970]  And it's two words. And they would play this game together when whenever they'd have free time, Mark Duplass would try to figure out what the puzzle was on his shirt.
[10:14.110 --> 10:19.970]  And so he'd make guesses and you always say like fatty pork because that lined up with what was there and he would never be able to figure it out.
[10:20.510 --> 10:26.090]  But it was just like bonding thing they did. And you get to the end of the movie. I apologize for spoiling Paddleton.
[10:26.090 --> 10:36.630]  But as right before the Duplass character dies, he asks, what was the puzzle? And he learns that there was no answer to the puzzle, which initially is like, fuck you.
[10:36.930 --> 10:47.850]  Why would you do this? Why would you make this shitty puzzle that has no answer? And then Ray Romano explains that they would do these puzzles together and they'd go on these adventures and like they do these things.
[10:48.210 --> 10:52.430]  And when they were done, there was that moment of like, yeah, we did it. That's awesome.
[10:52.430 --> 11:01.090]  But there was also a sadness in that, that this experience was now over, that they had shared and that there was now kind of nothing for a time.
[11:01.430 --> 11:09.770]  And that he knew if he made him this shirt, that it would be his favorite shirt and that him and his friend would have this puzzle for the rest of their lives that they could engage with.
