[00:05.530 --> 00:07.730]  Hello! It's coming hoooome!
[00:08.390 --> 00:09.870]  That's-a how it goes!
[00:10.110 --> 00:13.810]  Welcome to, uh, the RTX at Home edition of...
[00:15.310 --> 00:17.070]  Face Break Shit...
[00:17.070 --> 00:19.470]  Again Still, I think is what this one is.
[00:19.550 --> 00:20.270]  I do the sounds.
[00:20.410 --> 00:24.110]  Uh, that's true. Well, some would argue that you're not technically here right now.
[00:24.110 --> 00:25.950]  I will be, I will be in about half an hour.
[00:26.070 --> 00:29.770]  Alright, here, uh, I feel like I should start Plug Face Off...
[00:29.770 --> 00:30.750]  Oh, I don't have the button anymore.
[00:30.750 --> 00:33.010]  I feel like I should start this off with a couple of things.
[00:33.210 --> 00:36.330]  One, I'm gonna just come out of the gate with an apology right now.
[00:36.990 --> 00:39.930]  Nothing has ever gone right in my life.
[00:40.990 --> 00:48.090]  And I should have realized four months ago when Clarissa came to me and asked if we wanted to do a panel at RTX.
[00:48.330 --> 00:52.210]  And I said, well, I don't want to do a panel per se, but maybe we'll do like a break shit or something.
[00:52.510 --> 00:55.210]  She said, that sounds lovely. We scheduled it. We put it on the books.
[00:55.790 --> 00:59.330]  I didn't anticipate England making it all the way to the Euro Cup!
[00:59.330 --> 01:01.230]  No one is watching this right now.
[01:01.390 --> 01:03.730]  That's my fault. That's on me. I'm sorry.
[01:03.890 --> 01:05.410]  I'm not even watching this right now.
[01:05.610 --> 01:07.970]  Yes, you, yeah. So Gavin's here, sort of.
[01:08.890 --> 01:09.690]  Don't show that!
[01:12.430 --> 01:13.550]  Alright, we're on again!
[01:14.530 --> 01:15.350]  Go on, son!
[01:16.330 --> 01:17.730]  What's gonna happen when they score?
[01:18.370 --> 01:21.430]  Uh, I don't, well, you know, it's England, so they probably won't.
[01:21.490 --> 01:22.070]  It's probably gonna happen.
[01:22.070 --> 01:22.670]  They won't have to worry about it.
[01:22.750 --> 01:23.370]  They scored once already.
[01:24.130 --> 01:27.610]  I hear, uh, I hear this, uh, it's quite the ticket.
[01:27.610 --> 01:31.010]  Is Andrew there? Can we hear and see Andrew? Or can we hear Andrew?
[01:31.270 --> 01:32.210]  Andrew, can you hear us?
[01:33.310 --> 01:35.850]  Mike, just right, I just, I just heard...
[01:38.230 --> 01:44.120]  Hey, we hear you!
[01:45.540 --> 01:46.940]  Oh, Andrew, we're so glad.
[01:47.460 --> 01:49.180]  We're so glad to have you here.
[01:49.340 --> 01:50.060]  Here's the thing.
[01:50.240 --> 01:56.100]  Geoff was complaining that he can't do the face noise.
[01:56.100 --> 02:01.240]  But that's okay, because if you're watching this at home, you can!
[02:01.500 --> 02:07.160]  By going to store.roosterteeth.com right now, because on sale now, can you believe this?
[02:08.640 --> 02:09.120]  The...
[02:09.120 --> 02:10.080]  Face button.
[02:11.320 --> 02:11.800]  And...
[02:11.800 --> 02:13.700]  Face, left socks.
[02:14.000 --> 02:14.820]  Two left socks.
[02:15.240 --> 02:17.680]  If you wanna buy two fuckin' face buttons.
[02:17.960 --> 02:18.900]  I'll tell you right now.
[02:18.920 --> 02:20.040]  Oh, this is the best.
[02:20.300 --> 02:21.180]  I'll tell you right now.
[02:21.240 --> 02:22.380]  I'm fuckin' wearin' them.
[02:22.400 --> 02:23.020]  Dude, that's what's up.
[02:23.040 --> 02:25.120]  I put my money where my foot is.
[02:25.120 --> 02:27.080]  They are on right now.
[02:27.180 --> 02:29.560]  Dude, the higher the socks, the downer the fool.
[02:29.760 --> 02:31.280]  The higher the socks, the downer the fool.
[02:31.620 --> 02:33.120]  You wanna see? I'll even show you an exclusive.
[02:33.820 --> 02:34.540]  Uh, fuckin'...
[02:34.540 --> 02:35.080]  Check this out.
[02:35.480 --> 02:36.200]  You've never seen...
[02:36.760 --> 02:37.560]  You've never even seen...
[02:37.560 --> 02:39.160]  There's the Gavin loser nose.
[02:39.700 --> 02:40.460]  Have you ever seen the goose?
[02:40.540 --> 02:42.500]  Have you ever seen my fart hard tattoo?
[02:43.180 --> 02:44.340]  Right on my ankle, yeah?
[02:44.520 --> 02:45.520]  A little peaky for you.
[02:45.520 --> 02:46.820]  On the other side, it says, uh...
[02:46.820 --> 02:47.800]  You guys familiar with Taco Bell?
[02:47.900 --> 02:48.060]  Yeah.
[02:48.520 --> 02:49.800]  I have a lived soft.
[02:49.900 --> 02:50.460]  Oh, that's cool.
[02:52.540 --> 02:54.260]  Gavin just spit...
[02:54.260 --> 02:55.140]  Live soft?
[02:56.560 --> 02:58.200]  It's a fuckin' Taco Bell commercial.
[02:58.300 --> 03:00.820]  So here's the thing that we found out about these socks.
[03:01.160 --> 03:02.500]  They are two left socks.
[03:02.580 --> 03:03.380]  Yes, I...
[03:04.200 --> 03:04.520]  However...
[03:05.580 --> 03:05.900]  Well...
[03:05.900 --> 03:08.200]  Okay, I'm gonna jump in. I'm gonna take over that.
[03:08.200 --> 03:08.880]  Is there a thing with these socks?
[03:08.880 --> 03:10.100]  I got a bit of a story.
[03:10.180 --> 03:10.500]  Uh-huh.
[03:10.940 --> 03:14.540]  First off, typically when we do a break show, they go two hours.
[03:14.660 --> 03:15.960]  We don't have two hours, we're gonna do it in an hour.
[03:16.020 --> 03:19.580]  So we decided to cut out all the talking, all the stories, and get straight to the cards.
[03:19.660 --> 03:19.800]  Right.
[03:20.340 --> 03:22.300]  But we're not doing that because I'm telling the story now for some reason.
[03:22.300 --> 03:22.800]  Okay.
[03:23.080 --> 03:25.440]  The whole point of these socks is that I have this...
[03:25.440 --> 03:27.200]  If you follow our podcast...
[03:27.200 --> 03:27.500]  This is the best.
[03:27.520 --> 03:30.240]  If you follow our podcast, I have an issue with left and right socks.
[03:30.440 --> 03:32.300]  I've never put the correct socks on.
[03:32.400 --> 03:33.220]  Well, once it happened.
[03:33.700 --> 03:36.060]  Uh, I don't want to spoil the stories if you want to go back and listen.
[03:36.120 --> 03:37.220]  But for years, it didn't.
[03:37.760 --> 03:40.240]  I thought it'd be great to make two left socks...
[03:40.240 --> 03:40.340]  Yeah.
[03:40.460 --> 03:44.740]  ...for Fuckface, so that anytime you put a sock on, you're always putting the left sock on.
[03:45.140 --> 03:46.680]  Put these on for the first time today.
[03:46.820 --> 03:47.680]  You can...
[03:47.680 --> 03:49.400]  Put them on for the very first time today.
[03:49.400 --> 03:51.680]  Is it printed on a different sock?
[03:51.960 --> 03:54.980]  And here's what I noticed.
[03:55.660 --> 03:56.060]  No!
[03:56.460 --> 03:57.260]  That's not the problem.
[03:57.600 --> 03:58.780]  Because they're two left socks, right?
[03:58.900 --> 04:02.100]  Like, here's Geoff walking this way, and then here's Geoff walking that way.
[04:02.340 --> 04:03.240]  But, uh...
[04:03.240 --> 04:04.840]  But if you do like this...
[04:04.840 --> 04:06.880]  Then you can't put them on inside out!
[04:07.060 --> 04:08.900]  I can still do the goddamn socks wrong!
[04:09.000 --> 04:09.600]  And I did!
[04:09.780 --> 04:10.560]  I still...
[04:10.560 --> 04:13.440]  I future-proofed my own feet, and I fucked it up!
[04:13.620 --> 04:15.300]  I should have put this on both sides!
[04:15.600 --> 04:17.360]  So you can buy those left socks.
[04:17.480 --> 04:18.700]  They won't solve your problem.
[04:18.700 --> 04:20.640]  So they're two left socks with a left and a right.
[04:20.960 --> 04:22.460]  Yeah, they're two left and right left socks.
[04:22.860 --> 04:23.260]  Worthless.
[04:24.360 --> 04:26.680]  So if that's not the most fuck-faced product...
[04:26.680 --> 04:31.580]  Between that and the Waffle Balm that is the most poorly reviewed thing on the store...
[04:31.580 --> 04:33.560]  That we promoted for two hours that was out of stock?
[04:33.720 --> 04:34.320]  It's out of stock!
[04:34.780 --> 04:34.940]  Yeah.
[04:35.500 --> 04:37.180]  G Fuel, though, we're...
[04:37.180 --> 04:37.740]  This stuff's good.
[04:39.740 --> 04:41.080]  I'm just having sour cherry.
[04:43.820 --> 04:44.760]  Oh my god.
[04:44.800 --> 04:46.280]  How are you, Andrew? How's it going up here?
[04:46.400 --> 04:46.800]  I'm great!
[04:46.800 --> 04:47.460]  Nice!
[04:48.380 --> 04:49.900]  Fantastic! Yeah, those are great socks.
[04:50.140 --> 04:52.000]  I got sent a pair. They're amazing.
[04:52.220 --> 04:53.060]  Are you watching the game?
[04:54.180 --> 04:57.420]  No, I didn't even know the game was on. I learned the game was on from your text.
[04:57.640 --> 04:58.020]  Oh, okay.
[04:58.040 --> 04:59.040]  I didn't realize there was something to miss.
[04:59.320 --> 05:02.740]  And if you're wondering what this has to do with the podcast fuck-face...
[05:03.880 --> 05:04.240]  Good.
[05:04.540 --> 05:06.960]  The podcast has turned into...
[05:06.960 --> 05:09.000]  That podcast, if you've never listened to it, I recommend it.
[05:09.200 --> 05:12.300]  It's turned into a three-way, sometimes four- and five-way fight...
[05:12.300 --> 05:15.000]  Between Nick, Eric, Gavin, Andrew, and I.
[05:15.000 --> 05:17.560]  Boy, are we in a big one. Have we been in a big one lately?
[05:18.340 --> 05:20.360]  Definitely the most uncomfortable episode we've ever made.
[05:20.880 --> 05:23.600]  In about three weeks, you're gonna hear exactly why.
[05:23.700 --> 05:25.900]  And you might think to yourself, what does that have to do...
[05:25.900 --> 05:28.220]  These guys just shit in each other's mouths for two hours a week.
[05:28.380 --> 05:29.580]  What does that have to do with baseball cards?
[05:29.780 --> 05:32.300]  It doesn't, but sometimes we talk about Don Zimmer...
[05:33.900 --> 05:34.680]  Rest his soul.
[05:35.620 --> 05:37.280]  I mean, he's watching over you.
[05:37.640 --> 05:39.260]  And he's wearing RTX merchandise.
[05:39.960 --> 05:42.520]  And he's wearing the sweet RTX merchandise.
[05:42.700 --> 05:43.000]  I love it.
