[00:13.210 --> 00:15.090]  Yeah! That's okay.
[00:15.290 --> 00:15.610]  Let's do that.
[00:17.770 --> 00:18.810]  It's a blast!
[00:19.930 --> 00:20.450]  No!
[00:21.150 --> 00:21.670]  No!
[00:22.670 --> 00:24.670]  Well, first off, turn that other one off.
[00:25.250 --> 00:26.210]  Oh, boy!
[00:26.470 --> 00:27.850]  Uh-huh.
[00:28.630 --> 00:30.510]  See, this is why we need Emily.
[00:31.170 --> 00:31.810]  Oh, boy.
[00:32.310 --> 00:34.250]  She's way better at this than both of us together.
[00:34.470 --> 00:34.830]  Oh, no.
[00:36.790 --> 00:39.510]  Hello, and welcome to another episode of...
[00:40.850 --> 00:41.310]  FaceBreakShit.
[00:41.690 --> 00:43.470]  This one, typically, we do in 90 minutes.
[00:43.590 --> 00:45.210]  You guys have seen these. We've been doing them for a while.
[00:45.390 --> 00:46.570]  This one is a mini one.
[00:47.090 --> 00:48.690]  It's just Eric and I, absent.
[00:48.790 --> 00:51.010]  We are Gavin, Andrew,
[00:51.570 --> 00:53.590]  Emily, and then, as always,
[00:53.710 --> 00:55.330]  absent, regular
[00:55.330 --> 00:56.450]  Fan Jack.
[00:56.830 --> 00:58.210]  Could you believe that he's like,
[00:58.330 --> 00:59.170]  You never invited me.
[00:59.410 --> 01:00.470]  Never invited me.
[01:01.770 --> 01:04.650]  Can you believe that? That was ridiculous.
[01:05.570 --> 01:07.830]  I don't know...
[01:07.830 --> 01:10.230]  Am I supposed to hold his hand
[01:10.230 --> 01:11.410]  and give him a gentle kiss?
[01:11.830 --> 01:14.150]  I don't understand what's obstinance
[01:14.150 --> 01:15.710]  and what's...
[01:15.710 --> 01:17.770]  Is he dim?
[01:18.390 --> 01:19.430]  Do you mind if I clockwork orange?
[01:19.730 --> 01:20.450]  Is that guy dim?
[01:21.550 --> 01:22.030]  Yeah.
[01:23.030 --> 01:25.370]  It's just like not having a good faith argument.
[01:26.290 --> 01:28.030]  He's just there to be like,
[01:28.550 --> 01:29.990]  Nuh-uh, you didn't do it right.
[01:30.170 --> 01:31.830]  My name is Contrary.
[01:33.650 --> 01:35.290]  Alright, so,
[01:36.430 --> 01:37.650]  if you're new to this,
[01:37.750 --> 01:38.890]  what we do is we open up
[01:38.890 --> 01:39.930]  baseball cards,
[01:40.770 --> 01:42.470]  just weird shit, barbie cards,
[01:43.850 --> 01:44.530]  grease cards,
[01:44.630 --> 01:46.530]  so we can try to chase my first boner.
[01:47.350 --> 01:49.050]  We always look for Don Zimmer,
[01:49.590 --> 01:49.930]  obviously.
[01:51.790 --> 01:52.990]  And we have a little bit of fun.
[01:53.070 --> 01:54.590]  Today we're going to do a little bit of house cleaning.
[01:54.710 --> 01:56.050]  I got some stuff to open up, some mail.
[01:56.810 --> 01:58.470]  I want to do a little bit of show and tell.
[01:58.610 --> 01:59.090]  I like it.
[01:59.090 --> 02:00.890]  And then open up
[02:00.890 --> 02:02.270]  a couple of chase cards.
[02:02.730 --> 02:04.650]  But, as with all things,
[02:06.030 --> 02:06.750]  fuck face exists...
[02:06.750 --> 02:08.070]  fuck face exists
[02:09.970 --> 02:10.450]  for
[02:10.950 --> 02:13.050]  the love and reverie of one
[02:13.050 --> 02:13.490]  Don Zimmer.
[02:13.730 --> 02:16.110]  And so to that end, I bought four packs
[02:17.010 --> 02:19.230]  of 1981 Major League Baseball.
[02:19.230 --> 02:20.410]  Went to the baseball card shop
[02:21.930 --> 02:23.350]  yesterday and bought these.
[02:23.470 --> 02:24.810]  We had a conversation about
