[00:10.280 --> 00:11.010]  Geoff, go!
[00:11.470 --> 00:16.930]  Hello and welcome to Sloppy Joe's Bingo Live on a Friday night.
[00:17.210 --> 00:20.310]  This is F*** Face and you are here...
[00:20.310 --> 00:24.330]  Wait, hang on. We have a soundboard. Do the name again.
[00:24.690 --> 00:28.210]  Oh, sorry. This is F*** Face. Thank you.
[00:28.990 --> 00:30.470]  We don't have a delay though.
[00:30.710 --> 00:32.370]  What if it doesn't cut the mic?
[00:32.810 --> 00:35.950]  For the next hour, we are... Do you want to do it again?
[00:37.210 --> 00:38.110]  Do what again?
[00:38.590 --> 00:39.870]  The F*** Face part.
[00:39.970 --> 00:49.350]  Alright, so for the next hour we're going to play a very special game that my fiancé and I invented over the last four months.
[00:50.030 --> 00:52.450]  What we're going to do is we're going to watch this live stream.
[00:52.570 --> 00:57.210]  This is Duval Street in Key West, Florida. We are outside of a bar called Sloppy Joe's.
[00:57.530 --> 01:00.250]  They purport to have invented the Sloppy Joe.
[01:00.530 --> 01:03.290]  Rich history in Sloppy Joe's. I recommend you Wikipedia it sometimes.
[01:03.690 --> 01:06.790]  What we're going to do is we're going to recommend that you play with us.
[01:06.790 --> 01:12.690]  If you look in the description, there's a link to a bingo generator where you can generate your own bingo board.
[01:12.950 --> 01:20.970]  There's going to be some weird prompts like selfie, separated at a crosswalk, hoofing it, cowboy hat, guy on guy's scooter.
[01:21.290 --> 01:24.450]  What you're going to do is you're going to watch along with us and we're all going to play bingo.
[01:24.630 --> 01:29.990]  First person to get the bingo wins a cake of their choice within F*** Face.
[01:30.010 --> 01:32.890]  What is this? What happened? It's a cake bet?
[01:32.890 --> 01:37.930]  Yeah, I was arguing with Geoff about bingoing and I'm going to f***ing bingo the f*** out of this game.
[01:38.010 --> 01:42.150]  So I put a cake on the line. I figured we'd all have a cake on the line. Whoever gets the first bingo gets a cake.
[01:42.410 --> 01:46.570]  But I was excluded from the cake bet and Geoff told me that the loser has to have their finger cut off.
[01:47.270 --> 01:48.950]  Well, I was trying to make a side bet with you.
[01:49.390 --> 01:49.710]  Yeah.
[01:50.810 --> 01:53.030]  Andrew and I had a straight up cake for cake bet.
[01:53.030 --> 02:02.630]  But what if we just do it where F*** Face, bleep that, the winner gets a cake of their choice bought by F*** Face.
[02:03.490 --> 02:09.130]  I personally would like Fudgy the Whale and I know Andrew wants a deep and delicious or something.
[02:09.490 --> 02:10.910]  Can we send Stuart out to get it?
[02:11.650 --> 02:11.930]  No!
[02:12.390 --> 02:15.990]  No, we want it to return. Gavin, you want a fuzzy caterpillar or whatever?
[02:16.950 --> 02:19.430]  Well, let's not get into future content that's not come out yet.
[02:19.430 --> 02:25.850]  Anyway, if you're in the audience, I hope you've clicked on the description and you've gone and generated your own bingo card.
[02:25.990 --> 02:27.410]  I will explain them as we go.
[02:27.870 --> 02:32.990]  Just real quick, sorry, the bingo card, Goovicon is the one who generated this site.
[02:33.130 --> 02:35.810]  He has created the official F*** Face bingo card for us tonight.
[02:36.090 --> 02:37.210]  Thanks so much for making that.
[02:37.590 --> 02:39.750]  Awesome. Awesome, awesome, awesome work.
[02:40.010 --> 02:43.270]  Thank you so much, Goovicon. We really appreciate it.
[02:44.090 --> 02:48.570]  Anyway, if you are unfamiliar with Sloppy Joe's Bingo, we have released one other video.
[02:49.150 --> 02:52.210]  You'll figure it out as we play along and we'll explain stuff as we go.
