[00:09.730 --> 00:10.110]  Zero.
[00:10.390 --> 00:11.370]  Dun-dun-dun-dun!
[00:11.430 --> 00:11.670]  Oh!
[00:11.810 --> 00:12.710]  Dun-dun-dun-dun!
[00:12.710 --> 00:13.130]  Dun-dun-dun-dun!
[00:13.130 --> 00:13.810]  Dun-dun-dun-dun!
[00:13.830 --> 00:15.350]  Dun-dun-dun-dun!
[00:16.190 --> 00:23.470]  Hello, hello, hello, hello, and welcome to another episode of Sloppy Joe's Bingo Live!
[00:23.490 --> 00:23.970]  Yeah!
[00:24.490 --> 00:25.510]  Coming at ya!
[00:25.650 --> 00:29.950]  If you're watching this, if you're listening to this, then you're seeing Key West, Florida,
[00:30.210 --> 00:33.310]  Duval Street, right outside of Sloppy Joe's.
[00:33.610 --> 00:34.630]  A mainstay.
[00:34.630 --> 00:43.590]  ...a historical artifact of a great past, and I don't know what I'm saying, but it's been a long day, dude.
[00:43.630 --> 00:44.950]  It's been a long fucking day.
[00:45.550 --> 00:46.690]  It's been a long week.
[00:47.430 --> 00:51.670]  I was trucking last night until about 3 AM. I'm fucking tired.
[00:52.250 --> 00:54.270]  It's been a whole thing.
[00:54.490 --> 00:57.950]  What we're gonna do is, over the next hour, we're gonna play Slappy Jazz Bingo with you.
[00:58.390 --> 01:02.410]  If you are not familiar with Slappy Jazz Bingo, you can play along with us.
[01:02.410 --> 01:05.990]  I believe there is a website you can go to and generate your own bingo card.
[01:06.270 --> 01:12.230]  If you don't want to do that, in about 10 minutes, we're gonna be selling the Slappy Joe Bingo kit live on the Rooster Teeth website.
[01:12.670 --> 01:16.930]  If you buy it, and maybe if you pick express shipping, you can get it before the end of the livestream.
[01:17.130 --> 01:19.050]  But it's probably not, because it's Friday night.
[01:19.330 --> 01:20.090]  No, I don't think you can.
[01:20.550 --> 01:24.070]  You're safest bet is probably to go the website route if you want to play along with us.
[01:24.690 --> 01:28.190]  You're happy just to watch. Maybe you would enjoy just watching along with us, too.
[01:28.650 --> 01:31.010]  That might be enjoyable. But it's always fun to play along.
[01:31.010 --> 01:33.790]  I think the winner of Slappy Jazz Bingo always gets a cake.
[01:34.430 --> 01:37.230]  Although I don't think anybody's ever received a cake or asked for it.
[01:37.390 --> 01:40.030]  I mean, I won, and I was supposed to get a cake, and I didn't buy myself a cake.
[01:40.110 --> 01:43.170]  So that can still stand. It's just that I didn't buy myself a cake.
[01:43.570 --> 01:48.030]  I think you need to be in charge of buying your own cake if you win, it sounds like.
[01:48.490 --> 01:49.710]  We'll just expense it to Eric.
[01:50.150 --> 01:50.390]  Great.
[01:50.970 --> 01:53.970]  Yeah, so this works exactly like bingo works.
[01:53.970 --> 02:01.930]  We're going to look for certain things, like dudes wearing cowboy hats, or people wearing blue jeans and flip-flops, or a police car.
[02:02.390 --> 02:07.190]  And you yell bingo, or you call it out, and then whoever gets bingo first wins a cake.
[02:07.610 --> 02:13.190]  If it goes fast before the hour's up, then we'll probably just try to black out the bingo board like we always do.
[02:14.050 --> 02:15.570]  And yeah, am I missing anything?
[02:16.450 --> 02:19.090]  No, I don't think so. I'm just excited for the stuff going on.
[02:19.090 --> 02:28.250]  So the stuff that's going on sale in about 7 minutes at store.roosterteeth.com will be the Sloppy Drew's bingo set.
[02:28.410 --> 02:36.950]  That will include a lot of really cool stuff, like a shirt that says Sloppy Drew's Canada on it.
[02:38.930 --> 02:43.050]  Three daubers for your bingo cards, red, yellow, and blue.
[02:43.270 --> 02:47.510]  And then official Sloppy Bingo cards that have all been randomized.
[02:48.010 --> 02:54.090]  We will actually be playing off of some official Sloppy Bingo cards tonight, which I'm very excited about.
[02:54.350 --> 02:55.930]  Can I say something about that real fast?
[02:56.170 --> 02:56.470]  Sure.
[02:56.810 --> 03:01.830]  My fiancee begged me to make a point of mentioning that they're not dry erase boards.
[03:01.970 --> 03:06.710]  I guess she thought you'd be able to wipe them clean after using them, but if you mark on it, it's marked.
[03:08.130 --> 03:12.570]  She was like, you've got to let them know. You've got to let the audience know it's not wipeable.
[03:12.850 --> 03:15.470]  And so I just wanted to be clear, this is paper.
[03:15.470 --> 03:18.230]  Well, maybe round two they get wipeable.
[03:19.490 --> 03:22.130]  Maybe. I don't know if we have that technology, Gavin.
[03:22.970 --> 03:24.310]  That sounds innovative.
[03:26.330 --> 03:33.410]  Also on sale tonight will be the Geoff's Fridge fridge magnet that will not stick to Geoff's fridge.
[03:33.890 --> 03:34.130]  Right.
[03:34.450 --> 03:37.130]  You can check that out. That's also there.
[03:37.130 --> 03:44.330]  And then also, something I'm actually using right now, the Vancouver Child Kicker desk mat.
[03:44.530 --> 03:46.250]  I don't even know what you call it. Mouse mat?
[03:46.450 --> 03:53.290]  It is huge. It is probably the length of two keyboards.
[03:54.130 --> 03:57.290]  Is it the same as my prototype one that I've been using for like nine months?
[03:57.450 --> 03:58.950]  It's about the same size, yes.
[03:59.550 --> 04:01.690]  It's amazing. I've still got it in place.
[04:01.690 --> 04:10.010]  It's really good. I'm a firm believer in oversized desk mats, and this is my preferred giant desk mat now.
[04:10.270 --> 04:12.630]  So I really, really, really recommend it.
[04:12.850 --> 04:14.510]  Is the desk mat wipeable?
[04:15.350 --> 04:16.150]  Hang on, let me see.
[04:17.430 --> 04:21.110]  Wiping it right now, yes. We do have desk mat wiping technology.
[04:21.390 --> 04:21.470]  Oh, wow.
[04:21.710 --> 04:28.850]  So if there's a way that we can print Sloppy Joe's bingo cards on a giant desk mat, then we might be in business.
[04:29.410 --> 04:30.450]  That's the way to go.
[04:30.450 --> 04:32.950]  The lottery, like your numbers never change.
[04:33.830 --> 04:37.990]  You're just stuck with the same bingo the whole time. I love it.
[04:38.370 --> 04:42.910]  But it's more than like, it's a bunch of different cards in the bingo set.
[04:43.050 --> 04:45.790]  So you randomize, you go for it, you go insane mode.
[04:46.250 --> 04:52.890]  And they're, by the way, they're big sheets, and you get three different colored daubers, so you can easily reuse them.
[04:52.890 --> 04:57.210]  Think like when you get Yahtzee in the mail, and you gotta write, or in the mail.
[04:57.310 --> 05:01.450]  You buy a game of Yahtzee at the store, and then it comes with a paper that you use over and over again.
[05:02.350 --> 05:02.750]  Yeah.
[05:02.750 --> 05:04.190]  I'm real fucking stupid tonight.
[05:04.870 --> 05:05.570]  Yahtzee in the mail?
[05:06.910 --> 05:09.030]  Is anybody else a fucking idiot tonight?
[05:09.110 --> 05:10.790]  Are you in Gavin's office?
[05:11.250 --> 05:13.150]  Are you breathing in cat air?
[05:13.650 --> 05:20.510]  Dude, it's just been a crazy week, and this is the very end of the week, and we're ending it on very high energy production.
[05:20.510 --> 05:21.130]  We are.
[05:21.450 --> 05:22.690]  I've been sick all day, too.
[05:23.230 --> 05:25.390]  Yeah, because you ate cheese.
[05:25.930 --> 05:27.550]  Well, I ate bad cheese.
[05:28.090 --> 05:29.610]  I ate expired ricotta cheese.
[05:30.410 --> 05:32.110]  It was good at the time, sort of.
[05:32.190 --> 05:33.430]  I thought it was a little too sweet.
[05:33.750 --> 05:36.130]  What? Too sweet?
[05:36.610 --> 05:36.810]  Yeah.
[05:37.670 --> 05:39.890]  He's built up a cheese tolerance. He probably thought he could handle it.
[05:40.150 --> 05:41.430]  Yeah, that guy almost got hit by a car.
[05:41.450 --> 05:43.450]  Yeah, he did. He really almost got hit by a car.
[05:44.250 --> 05:47.430]  And if you were playing Sloppy Joe's Bingo right now, that could be one of your prompts.
[05:47.430 --> 05:48.230]  It's on the board.
[05:48.730 --> 05:50.910]  The description will have a link to Goovicon.
[05:51.490 --> 05:51.910]  Goovicon.
[05:53.710 --> 05:54.210]  Grrkyz.
[05:55.650 --> 06:00.530]  Grrkyz's website where you can get a sloppy bingo card randomly generated.
[06:01.070 --> 06:02.490]  So go play Sloppy Joe's Bingo.
[06:02.570 --> 06:07.370]  We're going to get started here in about seven minutes when it actually hits slop o'clock.
[06:07.470 --> 06:08.590]  Because that's when it's going to get sloppy.
[06:08.910 --> 06:13.390]  There's a woman being attacked by a strobe light in the top right that I don't know if you keep seeing.
[06:13.750 --> 06:15.350]  But that's really...
[06:15.350 --> 06:19.690]  I think she was taking a selfie with a flash or something.
[06:19.970 --> 06:21.110]  Oh, it's her own strobe light?
[06:21.210 --> 06:22.590]  Even though it's well lit out there.
[06:22.750 --> 06:25.550]  She was blinding herself that whole time.
[06:26.030 --> 06:27.090]  Geoff, you've been here.
[06:27.550 --> 06:29.550]  Yes, I have. Thanks for asking.
[06:30.990 --> 06:31.650]  Didn't... okay.
[06:32.290 --> 06:39.390]  What would you say it's like right now? Because it is getting to slop o'clock.
