[00:04.900 --> 00:06.400]  Previously on F**kface.
[00:16.420 --> 00:25.540]  Hello and welcome to episode 100 of the F**kface podcast. Can you believe we've done this 99 times up until this moment?
[00:25.780 --> 00:30.540]  My name is Geoff Ramsey, with me always, with me as always, Gavin Free and Andrew Panton.
[00:31.040 --> 00:33.800]  Guys, I have a little game I want to play with you for episode 100.
[00:34.460 --> 00:37.340]  This is for Nick, this is for Nick, this is for Eric,
[00:37.340 --> 00:38.960]  this is for Gavin and Andrew.
[00:39.340 --> 00:44.340]  I would like you all to pick a number between 1 and 3 and then post that number in the Discord chat.
[00:44.720 --> 00:45.880]  Between 1 and 3?
[00:46.040 --> 00:48.240]  Between 1 and 3. 1, 2, or 3.
[00:48.860 --> 00:49.340]  Okay.
[00:50.560 --> 00:56.880]  Now, just to clarify, is this the illusion of choice that was discussed before, or is this unrelated to the illusion of choice?
[00:56.880 --> 00:58.560]  I'm interested to see.
[00:58.920 --> 00:59.240]  Okay.
[00:59.920 --> 01:00.980]  Alright, the results are in.
[01:02.500 --> 01:03.620]  Uh, what?
[01:04.380 --> 01:06.580]  Can you really? The chat's right there.
[01:06.640 --> 01:07.440]  What are you talking about?
[01:07.920 --> 01:09.500]  Do you want us to just read the majority?
[01:09.820 --> 01:11.040]  Geoff never has it open.
[01:11.160 --> 01:12.500]  Okay, I got it now. It wasn't uploaded.
[01:12.720 --> 01:15.240]  Alright, it looks like number 2 wins.
[01:15.600 --> 01:16.040]  Okay.
[01:17.860 --> 01:19.780]  So, let me post this.
[01:20.420 --> 01:21.140]  Did that post?
[01:21.660 --> 01:23.440]  It's typing. You're definitely typing.
[01:23.700 --> 01:25.120]  Which is great for an audio show.
[01:25.840 --> 01:26.780]  How does this work?
[01:28.120 --> 01:29.560]  How does what work? What do you mean?
[01:29.560 --> 01:31.920]  We just said we've done 99 of these.
[01:32.260 --> 01:34.020]  How does what work?
[01:34.260 --> 01:35.680]  I can't get this image to paste.
[01:35.940 --> 01:37.040]  What are you talking about?
[01:37.100 --> 01:39.480]  There we go. You guys picked number 2.
[01:39.840 --> 01:42.000]  Okay, Derek, go ahead and start with number 2.
[01:42.840 --> 01:43.280]  Fantastic.
[01:43.980 --> 01:44.460]  God damn it.
[01:44.460 --> 01:45.560]  I think that's the best one.
[01:46.220 --> 01:46.660]  Yeah.
[01:47.220 --> 01:49.320]  Wait, so start. So you are...
[01:49.320 --> 01:51.600]  So could you describe the scene? You're getting a tattoo.
[01:52.320 --> 01:55.180]  Yeah, so there's a tattoo chair next to me.
[01:55.180 --> 01:55.500]  Ow.
[01:55.780 --> 01:57.460]  There's a tattoo chair next to me at my desk.
[01:57.460 --> 01:59.900]  Wait, you're getting that tattooed on you right now?
[02:00.120 --> 02:04.600]  I already had. I had one of the most talented tattoo artists in Austin, Derek.
[02:05.260 --> 02:06.640]  That's the biggest one.
[02:07.080 --> 02:08.200]  Tattooed me a few times.
[02:08.900 --> 02:12.540]  I had him... we created three custom f*** face tattoos.
[02:12.740 --> 02:13.540]  I think we're gonna make a...
[02:13.540 --> 02:14.200]  That hurts.
[02:14.680 --> 02:16.640]  I think we're gonna make a...
[02:16.640 --> 02:18.060]  I think... fuck, this is hard to talk.
[02:18.360 --> 02:20.360]  I think we're gonna make a...
[02:20.360 --> 02:21.860]  We're gonna make some temporary tattoos.
[02:22.460 --> 02:25.260]  But I went ahead and... Derek and I, we placed all three of these on my body.
[02:25.260 --> 02:29.140]  And then we figured... I'm gonna let you guys pick which one I get.
[02:29.780 --> 02:31.480]  Dude, right at the beginning.
[02:33.920 --> 02:36.160]  I think I'll probably get all three.
[02:36.460 --> 02:40.180]  Wait, you're doing this, but you keep saying it's hard to talk.
[02:40.340 --> 02:44.420]  You did this thing for an audio podcast where it's hard for you to talk.
[02:44.640 --> 02:46.260]  Like minute one as well.
[02:46.440 --> 02:49.960]  Well, you know, I was f*** facing myself and the podcast and the audience and you.
[02:50.260 --> 02:52.120]  Well, and you don't want to keep Derek hanging around.
[02:52.120 --> 02:56.540]  Right, well, you know, Derek's a busy man. He's got shit to do.
[02:56.960 --> 02:59.480]  Outside of tattooing me on my ribs.
[03:01.300 --> 03:07.800]  Yeah, I'm getting the Don Zimmer, Pedro Martinez fight outlined on my ribs right now.
[03:07.860 --> 03:11.500]  Which is one of the more painful places to get tattooed, I might say.
[03:11.700 --> 03:15.000]  So you're sat in your nice desk, you know, nice shelves all around.
[03:15.260 --> 03:18.600]  Just with gut hanging out and a tattoo going on the ribs.
[03:18.980 --> 03:20.260]  Is that what I'm visualizing right now?
[03:20.260 --> 03:22.840]  Definitely gut hanging out for sure.
[03:22.940 --> 03:25.430]  Here, let me share. Let me see if you can see. I'll share my video.
[03:25.940 --> 03:27.080]  Oh, I'd love to see.
[03:27.520 --> 03:28.460]  Okay, there you go.
[03:31.760 --> 03:32.780]  So there you go.
[03:33.160 --> 03:36.360]  That's what's going on right now.
[03:37.460 --> 03:38.040]  What did...
[03:40.660 --> 03:42.720]  What did you guys do for episode 100?
[03:50.760 --> 03:54.500]  You look like Burt Reynolds in Playgirl magazine.
[03:54.720 --> 03:57.300]  Thank you. I feel like Burt Reynolds in Playgirl magazine.
[03:57.580 --> 03:58.580]  I wish I had his hair piece.
[04:00.860 --> 04:01.900]  Oh, yeah.
[04:03.140 --> 04:03.620]  Anyway.
[04:03.960 --> 04:06.320]  Go for it.
[04:06.480 --> 04:08.500]  Can we somehow record this? It's great.
[04:09.340 --> 04:11.160]  Fucking do a screen record. I don't care.
[04:11.160 --> 04:14.440]  I am recording on my iPhone from behind.
[04:14.640 --> 04:17.040]  So I realize after I set it up, it's not going to look good.
[04:17.420 --> 04:18.760]  But, yeah.
[04:19.260 --> 04:21.020]  So anyway, this is what I'm doing for 100.
[04:21.300 --> 04:22.500]  Andrew Gavin, what do you guys got?
[04:22.920 --> 04:24.960]  It's so much bigger than I expected.
[04:25.800 --> 04:29.160]  Yeah, we sized it down.
[04:29.600 --> 04:32.420]  I had to make it way too big, actually, when I saw it.
[04:32.760 --> 04:33.360]  I shit my pants.
[04:34.680 --> 04:35.580]  Oh, my God.
[04:36.060 --> 04:38.680]  So I've never gotten a tattoo. It's hard to speak.
[04:38.680 --> 04:42.660]  I also imagine laughing is the thing you would want to avoid.
[04:43.000 --> 04:43.460]  I would assume.
[04:43.580 --> 04:46.160]  You just want to stay as still as possible.
[04:47.140 --> 04:50.560]  It's only hard to speak in certain spots.
[04:51.180 --> 04:52.940]  Tattoos tend to hurt the worst.
[04:53.260 --> 04:54.440]  In my experience.
[04:55.840 --> 04:57.420]  When it's right over bone.
[04:57.980 --> 04:58.560]  Like ribs.
[04:58.640 --> 05:00.980]  Ribs are a particularly tough spot to get it.
[05:01.860 --> 05:03.680]  Some fleshy parts can hurt a lot, too.
[05:04.180 --> 05:05.280]  Chest hurts quite a bit.
[05:05.680 --> 05:06.180]  For a boy.
[05:07.280 --> 05:08.140]  Elbows are bad.
[05:10.160 --> 05:12.980]  I hear behind the knee is a particularly rough spot.
[05:13.060 --> 05:13.860]  I've never done that.
