[00:00.000 --> 00:04.920]  Does it ever feel like you're a marketing professional just speaking into the void?
[00:05.900 --> 00:09.500]  Well, with LinkedIn Ads, you can know you're reaching the right decision makers.
[00:09.920 --> 00:15.640]  You can even target buyers by job title, industry, company, seniority, skills...
[00:15.640 --> 00:17.080]  Wait, did I say job title yet?
[00:17.480 --> 00:22.220]  Get started today and see how you can avoid the void and reach the right buyers with LinkedIn Ads.
[00:22.540 --> 00:25.500]  We'll even give you a $100 credit on your next campaign.
[00:25.500 --> 00:27.440]  Get started at linkedin.com.
[00:28.660 --> 00:29.860]  Terms and conditions apply.
[00:30.500 --> 00:33.800]  Hello and welcome to another episode of the Regulation Podcast.
[00:34.020 --> 00:35.960]  This is number 61. My name is Jeff.
[00:36.120 --> 00:40.140]  And with me as always, Andrew, Eric, Nick, and Gavin.
[00:40.260 --> 00:42.940]  Almost forgot that one. Decided to go first names only.
[00:43.080 --> 00:46.220]  I'll be honest with you guys. I may not be 100% here today.
[00:46.360 --> 00:50.820]  I'm going to do my goddamnedest, but I had a bit of a day yesterday.
[00:51.120 --> 00:51.720]  You had a kerfuffle?
[00:52.040 --> 00:52.880]  You had a kerfuffle?
[00:53.380 --> 00:55.420]  Yesterday was a kerfuffle and a half.
[00:55.420 --> 00:56.180]  Shit.
[00:56.360 --> 01:00.980]  There should be like a progress bar to unlock for full kerfuffle.
[01:01.360 --> 01:08.360]  Like at what point is it just ker and then you move into the fuffle and then it becomes the definitive full kerfuffle.
[01:08.780 --> 01:10.640]  I can tell you when it became a fuffle.
[01:11.280 --> 01:13.280]  Oh, I mean, explain the fuffle.
[01:13.540 --> 01:14.700]  Yeah, we can get there.
[01:14.780 --> 01:19.840]  So, just to catch you up, I went out of town, what's today, Thursday?
[01:20.000 --> 01:24.920]  I went out of town on Tuesday because I hadn't seen my mother in person in a little bit
[01:24.920 --> 01:29.040]  since Christmas and I wanted to go poker with a stick and make sure she was still alive and stuff.
[01:30.020 --> 01:30.940]  She totally is.
[01:32.220 --> 01:35.140]  But no, she was having some health issues and she wanted to see me.
[01:35.220 --> 01:35.720]  So, I flew out.
[01:36.480 --> 01:42.560]  Unfortunately, I could only fly out for about 28 hours because of some stuff we have and then travel.
[01:43.180 --> 01:47.580]  We're trying to cram another couple weeks worth of content in for some more summer travel.
[01:47.940 --> 01:48.980]  There's just a lot going on.
[01:49.120 --> 01:53.300]  So, I basically jumped on a plane as soon as I could, took Millie as a surprise,
[01:53.300 --> 02:00.340]  and we flew out there, had a lovely day in Alabama with her and my aunt at the farm where they all live now,
[02:00.700 --> 02:03.260]  and got up to leave on Wednesday.
[02:04.160 --> 02:09.020]  And because my mom moved into my aunt's house, she's on the other side of Mobile now,
[02:09.100 --> 02:14.900]  which means I no longer fly into the Mobile Airport, which is a, gotta say, dogshit airport.
[02:16.820 --> 02:19.340]  But always empty, which is nice.
[02:19.880 --> 02:23.220]  There's never been a line in history in the Mobile Airport.
[02:23.880 --> 02:27.840]  They also don't have stuff like TSA PreCheck, because who would need it there, right?
[02:27.880 --> 02:28.360]  Are you serious?
[02:28.880 --> 02:31.740]  No, well, they do the thing where you go through and there's no separate line.
[02:32.020 --> 02:41.240]  If they see the TSA PreCheck on your ticket, they give you a laminated card that's 100 years old that's been folded and crinkled 37 times.
[02:41.660 --> 02:45.880]  And then you just hand it to a guy and he goes, alright, you don't have to take your shoes off, and that's it.
[02:46.120 --> 02:49.080]  There's no separate line to go through to get faster or anything.
[02:49.080 --> 02:50.300]  You're in the same line and everything.
[02:50.920 --> 02:54.320]  You just don't take your shoes off when other people do, if you have the blue card in your hand.
[02:54.820 --> 03:01.620]  Anyway, so because she's on the other side, like on the east side of Mobile now, I flew into Pensacola, Florida for the first time.
[03:01.900 --> 03:04.680]  I don't know, it was a little bit closer and the flights worked out.
[03:05.080 --> 03:06.080]  So I rented a car.
[03:07.660 --> 03:15.420]  I got kind of, I got curved a little bit renting the car because I had the car for 25 hours, which meant they charged me for a second day,
[03:15.420 --> 03:22.060]  which I was a little annoyed by because that made the car cost like an extra hundred bucks for one fucking hour.
[03:22.320 --> 03:24.120]  But it is what it is. What are you gonna do?
[03:24.420 --> 03:27.180]  My flight out is at 3.50 p.m.
[03:27.340 --> 03:31.640]  So I get to the airport at about 2.30 and it's fucking slammed.
[03:32.020 --> 03:34.860]  And Millie doesn't have TSA pre-checked or global entry.
[03:35.860 --> 03:44.540]  So I was a little nervous because I assumed the Pensacola airport would be just as empty as the Mobile airport because they're like sister dog shit cities.
[03:44.540 --> 03:47.700]  But it wasn't, it was fucking packed.
[03:47.920 --> 03:51.660]  A lot of people like to go to Pensacola apparently or leave Pensacola apparently.
[03:52.280 --> 03:55.560]  And so we had some stress getting through it all without TSA pre-check.
[03:55.680 --> 04:00.720]  And then of course they have the same system where you just get the fucking laminated card and you don't take your shoes off, whatever.
[04:01.400 --> 04:10.300]  Go through, sitting there waiting, we're about 15 minutes before we're about to board, lightning strikes visibly in front of us looking out the window.
[04:10.300 --> 04:14.900]  And I'm like, ah fuck, they're not gonna let us take off if there's lightning striking.
[04:16.440 --> 04:19.160]  And so they didn't. They didn't let us take off.
[04:19.380 --> 04:26.240]  And I'm looking at my connecting flight, I have about 45 minutes before the connecting flight starts boarding after I land.
[04:26.380 --> 04:30.560]  This is plenty of time in DFW to get from the A terminal to the C terminal.
[04:31.000 --> 04:35.260]  Millie and I only had about 15 minutes on the way out and we still made it with like 4 minutes to spare.
[04:35.740 --> 04:36.680]  So I'm not super concerned.
[04:36.680 --> 04:41.520]  I know we've got some padding there and I know they always try to make up time in the air as well, you know how that goes.
[04:41.860 --> 04:43.580]  And they're usually able to make up 15 or 20 minutes.
[04:43.740 --> 04:46.220]  And I'm looking at it and I'm like, this is nothing too concerning.
