[00:01.280 --> 00:02.060]  You all right, Gavin?
[00:02.420 --> 00:02.600]  Yeah!
[00:02.720 --> 00:03.080]  There you go.
[00:03.200 --> 00:04.840]  We just hadn't tested all sitting here yet.
[00:04.920 --> 00:06.540]  Yeah, yeah, yeah, yeah. That's the one thing we haven't tested.
[00:07.660 --> 00:09.260]  Thank you to everyone joining us today.
[00:09.420 --> 00:10.340]  This is going to be...
[00:11.900 --> 00:12.540]  Mario Party.
[00:12.800 --> 00:13.520]  Mario-rific!
[00:13.680 --> 00:15.320]  And how long now until the pro rules?
[00:15.560 --> 00:17.220]  How long until the show and stuff on sale?
[00:17.280 --> 00:19.000]  Just over 30 minutes.
[00:19.200 --> 00:20.540]  So we'll take like a...
[00:20.540 --> 00:21.420]  We'll have a little break.
[00:21.420 --> 00:22.740]  A little break in the middle of Mario Party.
[00:22.980 --> 00:24.160]  Right at like the top of the hour.
[00:24.320 --> 00:25.180]  To see that chaos.
[00:25.400 --> 00:25.520]  Yep.
[00:25.900 --> 00:26.920]  You... Hey, Gavin. This party...
[00:26.920 --> 00:27.880]  I never set these up. Party rules?
[00:28.140 --> 00:28.320]  Yep.
[00:28.620 --> 00:28.760]  Okay.
[00:31.140 --> 00:31.520]  All right.
[00:31.520 --> 00:32.500]  Is Andrew playing?
[00:32.600 --> 00:34.040]  Yes, Andrew will be playing.
[00:34.400 --> 00:35.560]  Oh, Dilkong is here.
[00:36.240 --> 00:37.820]  So we can do Western Land.
[00:38.320 --> 00:39.260]  We can do...
[00:39.260 --> 00:41.300]  We gotta do Bowser's Keep.
[00:42.400 --> 00:43.640]  You wanna do Bowser's Keep?
[00:43.820 --> 00:44.040]  Yeah!
[00:44.740 --> 00:45.180]  You gotta...
[00:45.180 --> 00:48.720]  You know, unlike Bowser's Keep, you gotta get 30 achievements in the game.
[00:49.480 --> 00:49.900]  Fuck that.
[00:49.900 --> 00:52.680]  And you decided to do that right in the middle of 30 turns.
[00:52.680 --> 00:54.400]  I did it at around like day 10, yeah.
[00:54.520 --> 00:54.920]  Insane.
[00:55.060 --> 00:55.240]  Yeah.
[00:55.900 --> 00:57.320]  Well, I knew this day would come.
[00:57.460 --> 00:58.120]  And I wanted to be ready for it.
[00:58.120 --> 01:01.940]  This will also be a 30-turn Mario party, just not over 30 days.
[01:02.040 --> 01:04.740]  Are you guys ready to lock in for about 90 minutes?
[01:04.880 --> 01:06.620]  I think it's about 210 minutes.
[01:06.700 --> 01:07.040]  What do you mean?
[01:07.420 --> 01:07.500]  What?
[01:08.160 --> 01:08.520]  No.
[01:09.020 --> 01:09.120]  210!
[01:09.720 --> 01:11.160]  Motion mini-games are on. Mini-game help off, maybe?
[01:11.360 --> 01:11.560]  Yeah.
[01:11.820 --> 01:12.800]  Why would you have it off?
[01:13.920 --> 01:14.620]  You want it off?
[01:14.880 --> 01:15.660]  There's no practicing?
[01:16.480 --> 01:16.960]  Motion mini-games are on.
[01:16.960 --> 01:17.720]  You don't wanna practice, Andrew?
[01:17.840 --> 01:18.980]  Motion mini-games are on.
[01:19.060 --> 01:19.520]  Are we good?
[01:19.620 --> 01:21.020]  Random mini-game selection. Are we good?
[01:21.360 --> 01:21.540]  Yeah.
[01:21.660 --> 01:23.300]  I think that's still looking good.
[01:25.220 --> 01:26.040]  And I like...
[01:26.040 --> 01:27.980]  Look at Andrew's little robot just keeping an eye on you.
[01:27.980 --> 01:28.620]  I'm watching.
[01:29.300 --> 01:31.800]  I want to see your eyes when you betray me.
[01:34.620 --> 01:36.860]  Watching him back over the M&M's was a highlight.
[01:38.320 --> 01:40.620]  After that, he slammed into every piece of furniture in here.
[01:43.120 --> 01:44.220]  King Bowser's Keep.
[01:44.940 --> 01:45.980]  I've never played here.
[01:46.540 --> 01:47.360]  I don't think any of us have.
[01:47.400 --> 01:48.740]  You guys made fun of me for taking the time to unlock this.
[01:48.740 --> 01:49.620]  I'm glad you did it.
[01:49.700 --> 01:51.200]  Told me we'd never need it.
[01:51.300 --> 01:51.980]  But here we are.
[01:53.440 --> 01:54.300]  It looks good.
[01:55.220 --> 01:57.280]  And thanks to everyone who's dropping subs in the...
[01:57.280 --> 01:58.420]  Yeah, thank you so much.
