[00:00.000 --> 00:00.940]  Okay, go Raccoon.
[00:01.220 --> 00:02.940]  Go Chacon!
[00:03.840 --> 00:04.560]  Okay, here we go.
[00:05.560 --> 00:06.520]  Please cover.
[00:06.720 --> 00:08.400]  She passed the cheat again.
[00:09.040 --> 00:09.780]  God bless it.
[00:09.920 --> 00:11.340]  There we go.
[00:11.780 --> 00:15.060]  Come on.
[00:16.140 --> 00:16.720]  No!
[00:17.640 --> 00:18.500]  No!
[00:18.960 --> 00:19.280]  No!
[00:20.260 --> 00:20.680]  No!
[00:22.000 --> 00:24.880]  That's phenomenal. I love that so much.
[00:24.880 --> 00:26.320]  You're welcome, man.
[00:26.980 --> 00:27.680]  No!
[00:30.040 --> 00:30.520]  Yeah!
[00:32.860 --> 00:34.620]  You're gonna have to go all the way back and around.
[00:34.780 --> 00:35.100]  Yes!
[00:35.120 --> 00:35.420]  Yes!
[00:36.080 --> 00:36.560]  Yes!
[00:39.960 --> 00:40.960]  That's who did it!
