[00:00.000 --> 00:01.480]  Let's play this game!
[00:02.280 --> 00:05.320]  I've never played this. I've played proper cross-heroes. We're gonna figure out how this works.
[00:06.000 --> 00:08.700]  Because of Nick's butt should be our next t-shirt. Oh, I got achievement.
[00:09.920 --> 00:15.220]  Oh, so did I! Did I win? Holy shit. That was easy. Better with friends! If you've just joined us,
[00:15.420 --> 00:17.260]  I'm the chicken, Andrew's the cat,
[00:18.820 --> 00:24.760]  and what are you, Geoff? A duck? I'm a fucking duck, dude! I'm the most ducky duck you've ever seen. What are you talking about?
[00:24.760 --> 00:31.530]  Oh, shit, okay. Okay, so are the coins important?
[00:32.810 --> 00:40.470]  I assume so. You use them to buy shit. Currency and like hats and stuff. So it's shared coinage. Oh, then yeah, they're...
[00:41.750 --> 00:42.910]  Oh, shit, they're ennies.
[00:45.290 --> 00:48.750]  This is just a tutorial we're doing right now.
[00:49.390 --> 00:50.430]  It would have to be, yeah.
[00:51.970 --> 00:53.090]  I want to kill this guy.
[00:57.250 --> 01:04.250]  Bam! I like how... I didn't have the ability to... No! Duck down! Get him! Chicken down!
[01:04.470 --> 01:08.390]  Ah, you can't do it now. How do you bring a chicken back from the dead? It's hard to do.
[01:09.270 --> 01:11.690]  It requires dark magic, Gavin.
[01:13.450 --> 01:15.710]  I like the recent streams sound like
[01:17.110 --> 01:22.150]  2004. Like we're going backwards very quickly as a company.
[01:24.110 --> 01:26.390]  Oh, Andrew's head came off. That would imply we went forward.
[01:27.950 --> 01:35.750]  Okay, I like how classy we all chose to be with our top hats. Oh, absolutely. Dude, maybe we're the top hat crew.
[01:36.170 --> 01:36.850]  I think we are.
[01:40.530 --> 01:45.850]  And Eric and Nick are the battery crew. Oh, we don't have... They're battery buddies.
[01:49.070 --> 01:53.630]  Oh, shit. I'm getting achievements left and right, son. Oh, look at all these people.
[01:55.430 --> 01:57.850]  Somebody killed me. What happened? Kill, kill, kill.
[01:59.570 --> 02:00.290]  What happened to you?
[02:01.610 --> 02:04.630]  Chicken down. I got it, guys. Don't worry. Get through. Don't worry.
[02:06.930 --> 02:08.490]  Okay, I was worried you wouldn't come back.
[02:12.030 --> 02:14.870]  Oh, I'm so sorry, Geoff. You killed me. I'm so sorry.
[02:16.090 --> 02:16.530]  Oh, spikes!
[02:22.370 --> 02:26.150]  So everyone has to live. Dangerous standing around here.
[02:27.850 --> 02:32.870]  Oh, what does the T do? I don't know. It's testosterone. I'm jacked.
[02:33.830 --> 02:35.110]  Did you guys leave? Okay.
[02:36.090 --> 02:37.810]  Because there's a button up there I don't want to press.
[02:38.570 --> 02:40.310]  Probably would have killed us. Oh, shit. Yeah.
[02:42.730 --> 02:43.610]  Nice stomp.
[02:45.230 --> 02:46.610]  Oh, it's gonna...
[02:46.610 --> 02:48.370]  Oh, good reset. Good reset.
[02:48.770 --> 02:50.190]  Good reset.
[02:50.530 --> 02:51.130]  No!
[02:52.390 --> 02:53.670]  I'm coming, I'm coming, I'm coming.
[02:54.310 --> 02:55.650]  Don't suck me in!
[02:56.150 --> 02:56.590]  No!
[02:58.530 --> 02:59.110]  Woo!
[02:59.850 --> 03:01.190]  Oh my god.
[03:02.430 --> 03:04.050]  What does that do?
[03:04.230 --> 03:05.130]  You're our only hope.
[03:06.210 --> 03:06.770]  I got it.
[03:08.310 --> 03:09.550]  Gavin is chicken.
[03:10.370 --> 03:11.510]  Andrew is cat.
[03:12.050 --> 03:13.010]  Geoff is duck.
[03:13.010 --> 03:15.150]  Oh, I fucking suck. I'm a sucky duck.
[03:15.650 --> 03:16.790]  I'm a dead duck right now.
[03:16.910 --> 03:18.630]  Oh no, I need to jump on that pigeon.
[03:21.270 --> 03:22.430]  Oh, how did he not die?
[03:22.710 --> 03:24.150]  Good move.
[03:24.250 --> 03:27.230]  Dude, these castles are a piece of piss.
[03:27.890 --> 03:28.290]  No!
[03:30.790 --> 03:31.870]  Geoff, it's all on you!
[03:33.070 --> 03:33.470]  Jesus.
[03:34.130 --> 03:35.650]  They're walking on the buttons, it's chaos.
[03:38.370 --> 03:39.650]  You little assholes!
[03:40.130 --> 03:41.110]  Alright, here we go.
[03:43.370 --> 03:44.110]  Hit the button!
[03:44.990 --> 03:45.670]  Hit the button!
[03:46.970 --> 03:47.330]  Nice.
[03:48.070 --> 03:49.090]  I'm hitting it, I'm hitting it.
[03:49.190 --> 03:52.670]  Oh shit, I didn't want to hit that one.
[03:53.450 --> 03:53.810]  No!
[03:55.030 --> 03:55.810]  You guys got sucked.
[03:58.430 --> 03:59.670]  What do we do with them?
[03:59.790 --> 04:00.350]  We got a hundred.
[04:00.670 --> 04:01.950]  We got a boss fight coming up.
[04:02.110 --> 04:02.650]  Ten more rooms.
[04:03.210 --> 04:05.550]  Ten rooms to boss? Okay.
[04:05.550 --> 04:07.190]  We're gonna jump up to the bosses.
[04:07.350 --> 04:08.130]  Oh, give me the tea!
[04:12.210 --> 04:13.250]  Holy shit!
[04:13.550 --> 04:15.590]  Dig Reaper with the 25 subs!
[04:16.510 --> 04:18.290]  Oh, thank you so much, Reaper!
[04:18.750 --> 04:20.470]  Dig Reaper, thank you so much.
[04:20.590 --> 04:21.430]  The coins!
[04:21.930 --> 04:24.010]  25 subs, that's a lot of digging and a lot of reaping.
[04:24.310 --> 04:24.370]  That's insane.
[04:25.730 --> 04:29.410]  And I believe that, uh...
[04:29.410 --> 04:31.130]  There were another ten earlier, but
[04:31.130 --> 04:32.730]  it was chaos.
[04:33.490 --> 04:34.690]  Oh, thank you so much.
[04:34.830 --> 04:36.430]  It really means a lot to us.
[04:42.280 --> 04:43.700]  I can just see
[04:44.120 --> 04:46.600]  a little pop hat pop in the frame.
[04:51.140 --> 04:52.600]  To those coming in
[04:52.600 --> 04:54.640]  assuming the audio isn't that bad,
[04:54.920 --> 04:55.860]  yeah, you're wrong.
[04:59.000 --> 04:59.960]  It's gonna get
[05:00.660 --> 05:02.660]  dramatically better when you watch the vibe.
[05:03.860 --> 05:04.560]  Wait, why do you
[05:04.560 --> 05:05.400]  sound so quiet, Al?
[05:06.900 --> 05:07.380]  Who?
[05:09.120 --> 05:10.060]  Who sounds quiet?
[05:10.420 --> 05:11.060]  Oh, everyone.
[05:14.000 --> 05:16.020]  Everything sounds the exact same to me.
[05:16.160 --> 05:17.200]  Yeah, I don't know what you're talking about, Gavin.
[05:17.400 --> 05:19.380]  I think your headset just sucks, Gavin.
[05:19.920 --> 05:20.880]  My headset's ass.
[05:24.860 --> 05:26.720]  Is it doing like a dynamic
[05:27.620 --> 05:28.580]  decision-making
[05:28.580 --> 05:30.120]  thing? I don't know, but
[05:30.120 --> 05:32.400]  I think your headset is so nice
[05:32.400 --> 05:34.260]  that it's bad, or just is terrible.
[05:34.580 --> 05:35.860]  What do you mean it's nice that it's bad?
[05:36.640 --> 05:38.320]  Like it's trying to do fancy
[05:38.320 --> 05:40.460]  features that are actually just not good.
[05:41.660 --> 05:42.400]  So what's
[05:42.400 --> 05:44.660]  everybody doing this weekend, Andrew? You got any plans?
[05:46.600 --> 05:47.820]  Andrew, turn down the sound.
[05:49.020 --> 05:49.800]  What'd you say?
[05:50.820 --> 05:51.300]  Surviving.
[05:52.080 --> 05:54.000]  That's my weekend plans.
[05:54.200 --> 05:55.380]  How about you?
[05:56.720 --> 05:57.940]  Uh, yeah, surviving.
[05:58.840 --> 05:59.440]  Yeah, that's a good idea.
[05:59.440 --> 06:01.400]  I'd like to not have to talk
[06:01.400 --> 06:03.480]  to American Express for a couple hours
[06:05.000 --> 06:05.800]  on Saturdays.
[06:05.800 --> 06:06.040]  Woo!
[06:08.540 --> 06:09.540]  Gotta get that tea!
[06:09.820 --> 06:11.440]  My cousin's having a Christmas party
