[00:00.000 --> 00:00.680]  Andrew, thoughts?
[00:01.980 --> 00:04.100]  Uh, my thoughts are, let's play Pika Part 2.
[00:04.340 --> 00:05.680]  I don't, I don't care about this counting.
[00:05.680 --> 00:08.660]  I'm just waiting for an amount of piss rats that means we're li-
[00:08.660 --> 00:09.780]  Ah, let's piss rats!
[00:10.100 --> 00:10.540]  Go!
[00:12.440 --> 00:12.880]  Yeah!
[00:13.800 --> 00:15.040]  Alright, let's keep it going.
[00:15.620 --> 00:18.660]  Let's do some courses, what are we doing, dude?
[00:18.900 --> 00:20.500]  Let's go next, mini-games!
[00:21.080 --> 00:21.260]  Oh!
[00:21.440 --> 00:24.180]  This is how you know it's good. Welcome to the stream, guys.
[00:24.280 --> 00:26.260]  We're playing to 5.01pm.
[00:26.800 --> 00:29.020]  The best time of the week.
[00:29.020 --> 00:30.220]  Let's take it- what?
[00:31.080 --> 00:31.900]  Oh, we're shooting apples?
[00:32.480 --> 00:34.420]  Yeah, you gotta shoot them down and then we have to catch them.
[00:34.740 --> 00:35.640]  Am I asleep?
[00:36.460 --> 00:37.120]  What am I doing?
[00:37.940 --> 00:40.280]  Am I like, avatar-ed into this reticle?
[00:42.820 --> 00:43.960]  It's like a light gun game.
[00:44.520 --> 00:46.180]  Yeah, and then we have to catch them.
[00:47.000 --> 00:48.200]  Alright, catch all this shit.
[00:48.320 --> 00:49.320]  I'm knocking shit down now.
[00:50.100 --> 00:52.700]  Yeah, there you go. So it's gotta be a left and a right situation.
[00:53.260 --> 00:53.880]  Alright, I got the left.
[00:53.880 --> 00:55.700]  Yeah, well, it doesn't really help either.
[00:55.700 --> 00:57.040]  God, we're so slow.
[00:58.380 --> 01:00.280]  Oh, God, it's so slow at the bottom.
[01:00.840 --> 01:02.100]  Yeah, it feels so slow.
[01:02.320 --> 01:02.720]  What the fuck?
[01:03.740 --> 01:05.620]  I feel like it's so slow at the bottom.
[01:09.520 --> 01:09.920]  Nice.
[01:13.620 --> 01:15.080]  I can't go that fast.
[01:15.480 --> 01:16.820]  How do we win? How does it end?
[01:17.280 --> 01:17.540]  We just need two more.
[01:18.340 --> 01:21.300]  Get it, get it, get it, get it!
[01:21.360 --> 01:22.820]  Go, go, go, go, go, go!
[01:22.820 --> 01:23.860]  Go, go, go, go!
[01:24.900 --> 01:25.160]  No!
[01:26.620 --> 01:27.840]  You guys suck.
[01:28.380 --> 01:29.200]  I made it in!
[01:29.700 --> 01:32.400]  Alright, I'm on the left, I'm on the left.
[01:32.700 --> 01:33.320]  I'm on the right.
[01:33.720 --> 01:36.060]  To be honest, the first half of that was pressing A to shoot.
[01:37.240 --> 01:37.760]  Yeah, same.
[01:38.360 --> 01:38.960]  Got it.
[01:39.600 --> 01:40.720]  Till Andrew said X.
[01:43.160 --> 01:45.020]  Fuck that particular apple.
[01:45.740 --> 01:46.340]  Wait, wait, wait, wait!
[01:46.560 --> 01:47.120]  Oh, God.
[01:48.440 --> 01:48.680]  Nice.
[01:48.680 --> 01:49.660]  Oh, shit.
[01:50.200 --> 01:51.020]  Catch that one.
[01:51.280 --> 01:55.080]  I don't think I've missed one yet.
[01:55.100 --> 01:55.400]  Catch that, buddy.
[01:55.880 --> 01:56.880]  We're locked in.
[01:57.480 --> 02:00.040]  Left side's locked, baby.
[02:00.480 --> 02:01.100]  Got it.
[02:01.820 --> 02:03.740]  Okay, that was someone else shot that down.
[02:03.940 --> 02:04.540]  Yeah, that was not you.
[02:05.040 --> 02:07.260]  This is Team Tape.
[02:08.980 --> 02:09.280]  Missed.
[02:10.080 --> 02:10.940]  Don't worry about it.
[02:12.060 --> 02:13.680]  Get the fuck out of the way.
[02:14.800 --> 02:15.960]  Way to go, Andrew!
[02:15.960 --> 02:18.720]  Oh, I was looking at the wrong guy!
[02:18.860 --> 02:20.040]  It's fine, it's fine, it's fine.
[02:20.420 --> 02:21.760]  Oh, my Lord.
[02:22.480 --> 02:22.820]  It's fine.
[02:23.060 --> 02:25.740]  Tyler Oak, SDP with 5k subs.
[02:25.860 --> 02:27.300]  Oh, thank you, Tyler Oak.
[02:28.160 --> 02:29.480]  I can't read.
[02:29.680 --> 02:30.440]  Are you alright?
[02:30.720 --> 02:31.720]  Are you okay?
[02:33.920 --> 02:36.340]  Does it smell like pennies right now to you?
[02:39.440 --> 02:41.660]  If I flubbed your name, I deeply apologize.
[02:42.040 --> 02:42.280]  What?
[02:42.280 --> 02:45.720]  We have to catch them and then shoot them into...
[02:45.720 --> 02:46.020]  Okay.
[02:46.440 --> 02:47.480]  Oh, fuck me.
[02:48.200 --> 02:49.320]  What a clunk.
[02:49.860 --> 02:50.640]  And how do you shoot?
[02:51.060 --> 02:51.380]  X.
[02:53.340 --> 02:54.680]  Our bull's hit.
[02:55.540 --> 02:57.020]  I was trying to get some...
[02:57.020 --> 02:57.920]  Oh, my God!
[02:59.240 --> 03:02.800]  Okay, I got one in.
[03:03.720 --> 03:04.900]  Hard to get it in.
[03:05.660 --> 03:05.900]  Yeah.
[03:06.300 --> 03:07.900]  Ah, shit.
[03:08.460 --> 03:09.760]  Dude, this is tough.
[03:09.760 --> 03:12.020]  Dude, I can't get a dick in this.
[03:12.040 --> 03:12.540]  Shit.
[03:12.720 --> 03:13.380]  Oh, my God.
[03:15.340 --> 03:16.660]  Oh, my God!
[03:16.680 --> 03:18.680]  I'm learning, I'm learning here.
[03:19.260 --> 03:19.500]  Too much.
[03:19.880 --> 03:22.700]  God damn it.
[03:23.120 --> 03:26.200]  I'm teasing the rim here.
[03:27.660 --> 03:29.900]  Dude, this is...
[03:31.300 --> 03:31.920]  Okay, got one.
[03:32.620 --> 03:33.180]  Yeah!
[03:33.920 --> 03:34.760]  Got two.
[03:35.620 --> 03:36.320]  Oh, my God.
[03:36.320 --> 03:37.620]  God damn it.
[03:38.220 --> 03:38.900]  Damn it.
[03:40.860 --> 03:41.320]  Three.
[03:41.800 --> 03:42.500]  Dude, damn it.
[03:43.560 --> 03:45.820]  This one is rough, boys.
[03:46.080 --> 03:47.000]  Oh, my God.
[03:47.700 --> 03:49.900]  All right, go all the way over to the left there.
[03:50.160 --> 03:51.680]  Thanks, Andrew. Way to go, dude.
[03:52.260 --> 03:53.020]  I'm just holding right.
[03:53.480 --> 03:55.820]  Is that max to how many we can hold?
[03:56.820 --> 03:57.200]  No.
[03:57.400 --> 03:59.700]  Not that I know of. I haven't reached it.
[04:00.000 --> 04:01.380]  God damn you, me.
[04:02.400 --> 04:03.300]  Oh, straight up. Brilliant.
[04:03.300 --> 04:04.780]  Nice one, Jesus.
[04:06.300 --> 04:07.460]  Get on the shelf, man.
[04:07.560 --> 04:08.640]  Too much!
[04:11.140 --> 04:12.380]  God damn it.
[04:13.380 --> 04:14.200]  There's one.
[04:14.840 --> 04:15.800]  Oh, come on.
[04:16.920 --> 04:18.800]  Oh, I scored in the one I wasn't aiming for.
[04:19.280 --> 04:19.440]  Cool.
[04:20.420 --> 04:21.720]  Yeah, I did it.
[04:21.840 --> 04:23.260]  Damn, I suck.
[04:23.600 --> 04:24.800]  No, you bitch!
[04:26.260 --> 04:26.720]  Got it.
[04:26.880 --> 04:28.240]  Come on, Andrew, get one.
[04:28.240 --> 04:28.600]  Fuck.
[04:29.520 --> 04:30.920]  Come on, Andrew.
[04:31.260 --> 04:32.040]  There we go.
[04:32.600 --> 04:34.340]  I fucking hate myself.
[04:35.280 --> 04:36.500]  I teased both Rimmel.
[04:37.340 --> 04:38.440]  Damn, I suck.
[04:39.960 --> 04:42.420]  It's so hard to do this.
[04:42.800 --> 04:43.060]  Got one.
[04:43.360 --> 04:44.880]  Get two more before we all die.
[04:45.100 --> 04:45.840]  This is pretty tough.
[04:49.480 --> 04:51.320]  This is a tough one.
[04:52.160 --> 04:53.640]  No, this is really hard.
[04:53.980 --> 04:55.100]  I'm good at getting snow.
[04:55.100 --> 04:56.080]  That's it.
[04:57.720 --> 04:59.660]  You think it's snow?
[05:00.680 --> 05:01.200]  No, it's asbestos.
[05:02.300 --> 05:02.700]  Oh.
[05:03.080 --> 05:04.200]  Look at my little snowballs.
[05:05.780 --> 05:07.100]  How do I...?
[05:07.700 --> 05:08.040]  Oof.
[05:09.120 --> 05:09.880]  Oh, bullshit.
[05:12.460 --> 05:12.900]  Bullshit!
[05:12.940 --> 05:13.580]  Get in there, you!
[05:15.500 --> 05:16.520]  Get in there!
[05:16.620 --> 05:17.300]  Get in there, you!
[05:18.920 --> 05:20.700]  Get in there, you!
[05:21.120 --> 05:22.040]  Fucking three in a row.
[05:22.040 --> 05:22.180]  No!
[05:24.320 --> 05:25.120]  Fucking hubris.
[05:25.560 --> 05:28.080]  You son of a bitch!
[05:28.720 --> 05:29.680]  Going over to this side.
[05:30.800 --> 05:31.660]  That was nuts.
[05:31.840 --> 05:32.920]  There it is! Get in!
[05:33.220 --> 05:34.920]  Go, go, go!
[05:35.740 --> 05:36.640]  Get out of the way!
[05:37.700 --> 05:38.800]  Get out of the...
[05:39.680 --> 05:42.280]  Oh my god, dude. That's the game of my life right there.
[05:43.100 --> 05:44.440]  I didn't hit a single one.
[05:44.600 --> 05:45.080]  Good job, Geoff.
[05:45.480 --> 05:47.700]  I got one. I think it bounced off Eric's forehead.
[05:48.340 --> 05:50.460]  That was the only round I got a ball in.
[05:51.660 --> 05:53.960]  It clicked for me all at once.
[05:54.980 --> 05:56.120]  Mini Games 3!
[05:57.660 --> 05:58.460]  Oh, this shit.
[05:59.040 --> 05:59.780]  Don't hit the bomb!
[06:00.940 --> 06:01.880]  Somebody come to the right!
[06:03.580 --> 06:04.300]  Somebody come to the right!
[06:04.520 --> 06:05.400]  I'm coming to the right.
[06:05.720 --> 06:06.100]  Oh, it's a bomb!
[06:08.140 --> 06:08.500]  Sorry.
[06:10.620 --> 06:12.580]  I'm trying to lock in with you here,
[06:12.660 --> 06:14.480]  but it looks like Andrew's locked in with you here.
[06:14.660 --> 06:15.900]  So I'm just gonna let it be.
[06:16.280 --> 06:18.980]  It looks like you guys got a situation going.
[06:18.980 --> 06:21.600]  Wait for that to become apple-y.
[06:21.620 --> 06:22.020]  There you go!
[06:22.840 --> 06:23.160]  Nice.
[06:24.880 --> 06:26.180]  I don't think...
[06:27.220 --> 06:28.320]  Every ball's an apple.
[06:28.520 --> 06:30.200]  It looks like maybe you guys aren't on the same page.
[06:30.840 --> 06:31.700]  I'm trying.
[06:32.940 --> 06:34.060]  I'm trying.
[06:34.860 --> 06:35.300]  Oh!
[06:36.960 --> 06:37.880]  Team Lasso.
[06:38.240 --> 06:39.900]  You bombed me twice in a row!
[06:40.340 --> 06:42.340]  I do think that Andrew said,
[06:42.480 --> 06:45.160]  I think that was Geoff's fault.
[06:45.300 --> 06:46.220]  And that was pretty exciting.
[06:47.000 --> 06:47.840]  One of these, Nick!
[06:47.940 --> 06:48.440]  Get one of them!
[06:48.780 --> 06:52.080]  There you go!
[06:52.240 --> 06:52.500]  There you go!
[06:53.520 --> 06:54.860]  Dude, we were doing alright.
[06:56.500 --> 06:58.040]  The right side looked like it was
[06:58.040 --> 06:59.240]  maybe having a little trouble.
[07:00.340 --> 07:00.780]  Hey, Gavin!
[07:01.480 --> 07:03.000]  I don't feel like it was you, buddy.
[07:04.500 --> 07:04.740]  What?
[07:05.520 --> 07:06.400]  It was both of us.
[07:07.720 --> 07:08.620]  Okay, got one.
[07:08.840 --> 07:09.620]  Me and you, Gavin.
[07:11.940 --> 07:13.020]  We're killing it, Andrew!
[07:13.020 --> 07:13.540]  Killing it!
[07:14.580 --> 07:15.160]  Stay away!
[07:15.860 --> 07:16.480]  That was my bad.
[07:19.080 --> 07:20.380]  Hell yeah, man!
[07:20.940 --> 07:21.600]  Oh, watch out!
[07:21.740 --> 07:23.200]  That's what I'm talking about, Andrew!
[07:24.620 --> 07:25.760]  We're locked in.
[07:25.840 --> 07:27.420]  I'm gonna wait for this to de-bomb.
[07:28.020 --> 07:29.420]  Oh, perfect!
[07:31.100 --> 07:32.740]  I don't think I'm gonna make that one.
[07:34.080 --> 07:36.760]  Okay, I'm gonna get this one next.
[07:38.240 --> 07:38.640]  Ah!
[07:38.820 --> 07:39.240]  Too far!
[07:39.820 --> 07:40.300]  Ah!
[07:41.040 --> 07:42.420]  Sorry, good dodge.
[07:42.940 --> 07:44.240]  Okay, got that one.
[07:44.780 --> 07:45.160]  Get it!
[07:46.680 --> 07:47.640]  We good?
[07:49.020 --> 07:50.120]  There we go!
[07:51.280 --> 07:53.180]  I'm not gonna make it!
[07:53.340 --> 07:53.380]  Ah!
[07:57.290 --> 07:58.210]  You did great, Andrew.
[07:58.210 --> 07:59.450]  I felt like we were locked in, too.
[08:00.510 --> 08:02.010]  Oh, I'm on the ground now.
[08:02.130 --> 08:03.530]  It switched on us.
[08:04.370 --> 08:04.830]  It's gone.
[08:07.750 --> 08:08.230]  Uh...
[08:09.390 --> 08:10.510]  Don't look at me!
[08:10.590 --> 08:10.770]  Oh, no!
[08:11.650 --> 08:12.750]  Gavin, shoot it!
[08:14.170 --> 08:17.350]  I'm gonna leave it to you two over here on the right.
[08:17.450 --> 08:18.510]  You guys seem like you're locked in.
[08:19.090 --> 08:20.030]  Gavin, what'd you call us earlier?
[08:20.390 --> 08:20.870]  Sorry, I can't.
[08:22.070 --> 08:22.530]  That's okay.
[08:23.410 --> 08:24.110]  It's all good.
[08:24.910 --> 08:25.490]  There you go.
[08:25.810 --> 08:26.170]  Ah!
[08:29.330 --> 08:31.190]  It became a bomb as I shot it.
[08:31.530 --> 08:32.410]  I know, as you shot it.
[08:32.490 --> 08:33.710]  It wasn't your fault.
[08:33.710 --> 08:34.770]  Ah, damn.
[08:35.130 --> 08:37.410]  There we go.
[08:37.430 --> 08:37.630]  Ah!
[08:39.630 --> 08:40.950]  You can get that one.
[08:41.050 --> 08:41.510]  Got it!
[08:41.890 --> 08:44.670]  It was a good shot.
[08:45.090 --> 08:45.430]  That one?
[08:49.490 --> 08:50.090]  Three more.
[08:50.750 --> 08:51.590]  Two more.
[08:52.770 --> 08:53.690]  Let's do that one, Andrew.
[08:55.430 --> 08:56.050]  I'm up.
[08:56.550 --> 08:56.990]  Holy shit.
[08:59.170 --> 09:00.750]  Damn, hell yeah.
[09:00.750 --> 09:01.250]  Alright.
[09:02.550 --> 09:03.610]  Andrew, go to the right.
[09:05.570 --> 09:06.090]  Alright.
[09:08.130 --> 09:08.890]  Alright, Andrew.
[09:08.990 --> 09:09.550]  Good one.
[09:11.170 --> 09:11.670]  Oh, Gavin.
[09:12.910 --> 09:14.890]  Get it right down the middle.
[09:15.470 --> 09:16.310]  I'm watching you.
[09:16.790 --> 09:17.890]  It just took a weird hop.
[09:18.470 --> 09:18.990]  Nice.
[09:20.670 --> 09:21.890]  That's my bad.
[09:24.410 --> 09:26.110]  Got it? There you go.
[09:28.510 --> 09:29.030]  Nice.
[09:29.590 --> 09:30.110]  Nope.
[09:30.770 --> 09:31.290]  Perfect.
[09:34.950 --> 09:35.990]  I can't.
[09:36.170 --> 09:37.730]  I'm having fun shooting apples.
[09:38.250 --> 09:40.070]  What am I going to do?
[09:40.230 --> 09:42.270]  No one's catching them, but he's shooting them.
[09:42.630 --> 09:43.310]  You caught a couple.
[09:45.250 --> 09:45.810]  This is getting hard.
[09:46.330 --> 09:48.070]  Got it.
[09:48.830 --> 09:49.350]  Perfect.
[09:50.890 --> 09:51.790]  Good job, Geoff.
[09:52.690 --> 09:53.210]  Nice.
[09:55.170 --> 09:56.610]  How close were we?
[09:56.610 --> 09:57.670]  One away.
[09:58.030 --> 09:59.970]  This is very hard.
[10:01.170 --> 10:02.050]  They're moving fast.
