[00:00.000 --> 00:00.840]  That's a big logo.
[00:02.000 --> 00:02.980]  Yeah, that's good, right?
[00:03.920 --> 00:05.020]  We're a big company, Gavin.
[00:05.600 --> 00:07.960]  Do you not like the logo? Or was that
[00:07.960 --> 00:09.940]  just you saying that that was what it
[00:09.940 --> 00:11.820]  looked like? It's just very zoomed in.
[00:12.740 --> 00:13.640]  It's very big.
[00:14.940 --> 00:15.920]  Do you want it to be smaller?
[00:15.920 --> 00:16.860]  It's bigger than you think of it.
[00:17.280 --> 00:19.500]  What do you want it to look like? No, it's perfect.
[00:20.040 --> 00:21.900]  Are you sure? There's no question about what
[00:21.900 --> 00:23.980]  we're watching. Do you want me to make it
[00:23.980 --> 00:26.060]  smaller? No. He didn't say it's a
[00:26.060 --> 00:27.800]  perfect logo, he said it's a big logo.
[00:27.800 --> 00:29.800]  Yeah, you didn't say anything about it being perfect.
[00:30.120 --> 00:31.840]  It just seemed like you were being critical of
[00:31.840 --> 00:33.880]  the logo size. Big Mac's not called the perfect
[00:33.880 --> 00:35.000]  Mac, but I'll still eat it.
[00:37.400 --> 00:37.800]  Guys,
[00:37.980 --> 00:39.880]  welcome to the Friday stream and we're playing
[00:39.880 --> 00:41.700]  Ultimate Chicken Horse, baby.
[00:42.100 --> 00:43.620]  It's the perfect Mac.
[00:43.800 --> 00:45.500]  We're getting our way to 501.
[00:45.700 --> 00:47.700]  How's everyone doing? It's egg.
[00:48.100 --> 00:49.380]  Eric, Gavin, and Geoff.
[00:49.800 --> 00:51.400]  Help the egg get to 501.
[00:52.000 --> 00:53.360]  Do not... It's egg time.
[00:53.620 --> 00:56.060]  Do not fuck with Gavin today. He is on it.
[00:56.940 --> 00:57.520]  He's quick.
[00:58.800 --> 01:00.120]  Yeah, no, you're fast today.
[01:00.120 --> 01:00.920]  It's good. I like that.
[01:02.560 --> 01:03.960]  You've been real stupid lately, so
[01:03.960 --> 01:05.380]  it's good to see. We had to put this together
