[00:00.000 --> 00:01.520]  I changed my head.
[00:01.540 --> 00:02.380]  Oh, did you?
[00:02.620 --> 00:04.220]  Oh, god damn it.
[00:05.640 --> 00:07.260]  God damn it, Nick.
[00:07.520 --> 00:09.660]  Oh, guys, come on!
[00:10.300 --> 00:11.680]  What the fuck?
[00:12.320 --> 00:14.140]  But this was mine from last time.
[00:14.220 --> 00:15.640]  I already had this head.
[00:15.960 --> 00:18.020]  This is the head that I had.
[00:18.140 --> 00:19.720]  I chose this last time.
[00:20.820 --> 00:21.840]  Oh my god.
[00:21.920 --> 00:23.540]  What the fuck happened to your guy?
[00:23.980 --> 00:25.500]  How do you change so fast?
[00:26.240 --> 00:27.780]  Go to co-workers.
[00:27.780 --> 00:28.240]  Yeah, co-workers.
[00:30.200 --> 00:32.160]  I'm the derpy gator.
[00:32.560 --> 00:33.780]  I like your gator face.
[00:34.200 --> 00:36.140]  I'm a little frosty snowman.
[00:36.460 --> 00:37.660]  I'm the yellow bird.
[00:37.760 --> 00:39.280]  I'm the falcon protecting us
[00:39.280 --> 00:41.300]  in our move to wherever we're going.
[00:42.240 --> 00:44.000]  Oh, wow. Cool fish.
[00:44.480 --> 00:44.900]  Thanks, man.
[00:45.360 --> 00:46.340]  I'm gonna be the catfish.
[00:46.920 --> 00:49.120]  Off we go!
[00:49.920 --> 00:51.940]  Let's go ahead and do...
[00:51.940 --> 00:53.980]  We have 31 of 266 stars,
[00:54.080 --> 00:55.160]  so we're practically done.
[00:55.160 --> 00:57.160]  That doesn't seem right, but...
[00:57.780 --> 00:58.080]  Okay.
[00:59.360 --> 01:00.780]  Do you think we should have more?
[01:00.980 --> 01:01.740]  When do we get to Bowser?
[01:02.000 --> 01:04.540]  I feel like we should have more stars, shouldn't we?
[01:06.760 --> 01:07.760]  Based on what?
[01:07.780 --> 01:08.260]  Our performance?
[01:08.760 --> 01:11.460]  Yeah. I mean...
[01:11.460 --> 01:13.700]  It just feels like one is low.
[01:17.080 --> 01:18.480]  Where do you guys want to go today?
[01:18.820 --> 01:20.400]  We should go to a different place.
