[00:00.500 --> 00:01.140]  We're back.
[00:01.840 --> 00:02.860]  Hello, welcome back.
[00:03.460 --> 00:04.480]  I'm hitting the button, sorry.
[00:04.560 --> 00:07.900]  I got excited. I'm playing now, so I got excited, so I started pressing buttons.
[00:08.560 --> 00:09.160]  What was that?
[00:09.160 --> 00:10.040]  What the hell did you...
[00:10.040 --> 00:11.940]  Is it free to play? Is that what we're supposed to be on?
[00:12.680 --> 00:13.540]  No, it's parties.
[00:13.820 --> 00:13.940]  Alright.
[00:14.560 --> 00:14.860]  Party.
[00:15.160 --> 00:15.280]  Party.
[00:15.280 --> 00:15.540]  It's a party.
[00:15.760 --> 00:17.840]  How do I punch in this game? Is there a punch button?
[00:18.660 --> 00:18.860]  No.
[00:19.060 --> 00:20.520]  Okay, cool. So I just... So I have this.
[00:20.700 --> 00:23.460]  A is jump, and then right trigger or X is sprint.
[00:23.540 --> 00:26.080]  None of those buttons matter, Geoff. All that matters is the Y button.
[00:26.500 --> 00:28.640]  Do we wanna... add in a little variable?
[00:29.220 --> 00:29.640]  What does that mean?
[00:29.640 --> 00:30.500]  What's a variable?
[00:30.640 --> 00:30.900]  What does that mean?
[00:31.120 --> 00:35.120]  There's tons of stuff you can change, but I usually like to turn on a little bit of buntsing.
[00:35.300 --> 00:36.120]  I love it.
[00:36.220 --> 00:37.660]  I love buntsing.
[00:38.020 --> 00:39.060]  Andrew, what's buntsing?
[00:39.500 --> 00:40.600]  That's a great question.
[00:40.820 --> 00:42.960]  I know what buntsing is.
[00:43.380 --> 00:43.740]  Okay.
[00:44.520 --> 00:46.140]  I'm basically turning off...
[00:48.180 --> 00:49.620]  I'm turning on player collision.
[00:49.960 --> 00:50.140]  Yeah.
[00:50.400 --> 00:51.360]  And then we'll be able to bunts each other.
[00:51.760 --> 00:52.560]  That's awesome.
[00:53.600 --> 00:54.040]  Okay.
[00:54.260 --> 00:55.640]  Look at how excited I am for it.
[00:57.040 --> 00:58.560]  I'll see you guys in hell.
[01:00.720 --> 01:08.820]  Okay, so Eric, you've stepped up and replaced me. I was relegated, and now the future is in your hands, buddy.
[01:09.020 --> 01:09.060]  Yeah.
[01:09.200 --> 01:13.600]  Yeah, one thing with regulation gameplay, relegation is always turned on.
[01:15.860 --> 01:20.500]  Regulation, relegation. It's the way it works. It's very regulation. It's very relegated.
[01:21.020 --> 01:21.180]  Yep.
[01:22.780 --> 01:24.880]  Me and Andrew have voted. You guys have voted as well.
[01:24.900 --> 01:25.560]  Oh, shit!
[01:26.460 --> 01:28.480]  Let's see where the battle plan may be!
[01:29.080 --> 01:29.220]  Son of a bitch.
[01:29.220 --> 01:32.020]  That's right, Eric always wins. That's what I'm talking about.
