[00:00.000 --> 00:01.180]  You're a fool.
[00:02.340 --> 00:03.220]  Patreon exclusive!
[00:04.000 --> 00:04.040]  Hopefully...
[00:04.040 --> 00:05.060]  Is this one Patreon exclusive?
[00:06.940 --> 00:07.380]  Could be.
[00:07.400 --> 00:08.460]  I don't know. Could be.
[00:09.180 --> 00:09.620]  Hopefully...
[00:10.840 --> 00:13.660]  Now, are you guys seeing me?
[00:13.820 --> 00:14.640]  Or are you seeing yourself?
[00:14.680 --> 00:15.960]  I'm seeing Geoff.
[00:17.380 --> 00:18.800]  I don't see me.
[00:19.740 --> 00:20.180]  I see Geoff.
[00:20.560 --> 00:23.300]  It's Geoff. I'm watching Geoff.
[00:23.900 --> 00:24.600]  Oh yeah, it is Geoff.
[00:25.180 --> 00:26.700]  So when Andrew said...
[00:26.700 --> 00:28.760]  We had the same character!
[00:29.200 --> 00:30.340]  I didn't notice.
[00:30.660 --> 00:30.840]  Oh!
[00:32.760 --> 00:34.040]  That was crazy.
[00:34.600 --> 00:36.800]  This is like an iconic Achievement Hunter Let's Play game.
[00:36.900 --> 00:37.900]  I've never played this.
[00:38.340 --> 00:40.640]  That's why I want to play it with you. It's been fucking twelve years
[00:40.640 --> 00:41.340]  I've been trying to play this game.
[00:41.520 --> 00:44.880]  This was the go-to when I was out of town.
[00:45.220 --> 00:45.580]  Back in the day.
[00:47.200 --> 00:48.300]  Oh, what a shot.
[00:49.300 --> 00:50.400]  Watch out for the Skorps.
[00:50.920 --> 00:51.280]  Oh!
[00:52.080 --> 00:54.920]  Oh, son of a bitch, Skorp.
[00:55.480 --> 00:56.700]  What a bitch and a bastard.
[00:57.140 --> 00:58.860]  Oh, hey, I'm looking. Hey, check it out.
[00:58.880 --> 01:01.240]  I'm looking at Geoff's character.
[01:01.520 --> 01:03.320]  You forgot to count, motherfucker.
[01:03.540 --> 01:04.600]  I ain't taking this from you.
[01:04.760 --> 01:06.320]  Why don't you pick the same guy?
[01:08.180 --> 01:08.980]  Different clothes.
[01:09.140 --> 01:10.160]  There's Andrew Panton in the top.
[01:10.960 --> 01:11.600]  Uh-oh.
[01:13.380 --> 01:14.180]  It's looking good.
[01:14.840 --> 01:15.840]  Very few beans.
[01:17.500 --> 01:18.620]  Alright, here we go, Eric.
[01:18.800 --> 01:19.680]  Look at the heat waves.
[01:21.400 --> 01:22.620]  Yeah, it's a stinky hot day.
[01:22.620 --> 01:23.820]  Oh, tremendous.
[01:25.400 --> 01:26.820]  The Skorpion's gonna get it, too.
[01:26.880 --> 01:27.700]  He's a little bitch.
[01:28.540 --> 01:30.740]  I'm just gonna go ahead and put this motherfucker right in.
[01:32.040 --> 01:32.440]  Oh, shit.
[01:32.480 --> 01:34.680]  Yeah, look at you, dude. It's right in. Way to go.
[01:36.800 --> 01:37.900]  Fucking, here we go.
[01:38.280 --> 01:39.800]  Here we fucking go.
[01:39.960 --> 01:44.180]  This might be the original Fury game for me.
[01:44.200 --> 01:45.340]  What are you doing?
[01:45.640 --> 01:47.000]  Gavin, why did you do that?
[01:47.060 --> 01:48.720]  Did you think it was gonna go through him?
[01:49.160 --> 01:50.580]  He duped me.
[01:50.580 --> 01:52.580]  He came out of the way and then came back.
