[00:00.000 --> 00:01.140]  Let's set sail.
[00:02.260 --> 00:05.220]  Hello and welcome to another Regulation Gameplay.
[00:05.300 --> 00:07.140]  We're setting sails. We're hitting the seas.
[00:07.740 --> 00:09.740]  Wow. We're going to go fight some people.
[00:10.480 --> 00:11.800]  Whoa, whoa, whoa. We're fighting.
[00:12.780 --> 00:13.760]  We'll get there.
[00:14.000 --> 00:15.040]  We'll see what's on the map.
[00:15.400 --> 00:16.040]  Where's Ballerina?
[00:16.540 --> 00:19.260]  Oh, that's uh, that hasn't started yet.
[00:19.500 --> 00:20.920]  We're collecting different gold coins.
[00:21.300 --> 00:23.380]  We got to dig for the coins.
[00:23.840 --> 00:25.140]  I am so excited.
[00:25.220 --> 00:26.080]  I wish you would set sail.
[00:26.200 --> 00:27.260]  I am so excited.
[00:27.720 --> 00:29.340]  I mean, I just, it was just kind of sitting here.
[00:29.340 --> 00:31.240]  I don't know. I was waiting.
[00:31.580 --> 00:33.000]  Honestly, I'm just waiting for the video to start.
[00:33.600 --> 00:34.360]  I'm just waiting.
[00:34.560 --> 00:36.100]  I'm waiting for like the video to start.
[00:36.240 --> 00:38.220]  But yeah, I mean, yeah, the video started.
[00:38.700 --> 00:40.100]  I just thought, I don't know.
[00:40.220 --> 00:41.340]  I think the video could start right here.
[00:41.400 --> 00:45.480]  Guys, welcome to the high seas, high jinks of Sea of Thieves.
[00:45.580 --> 00:48.200]  It's season 16 and Reapers rule this season, guys.
[00:48.600 --> 00:49.800]  See, that's the beginning of the video.
[00:49.900 --> 00:50.580]  All this other stuff.
[00:50.860 --> 00:52.180]  We're just sitting around. That's not in this.
[00:52.500 --> 00:55.160]  I don't think that's even the intro to the video because we're still sitting around.
[00:55.720 --> 00:57.320]  I think the video probably starts right here.
[00:57.320 --> 01:00.680]  Guys, welcome to Sea of Thieves regulation gameplay.
[01:01.100 --> 01:04.720]  I hope you're ready for some open ocean high jinks
[01:04.720 --> 01:07.780]  because we are going to be serving up the last...
[01:07.780 --> 01:10.780]  The point of high jinks is that it was high, like high seas high jinks.
[01:10.840 --> 01:11.380]  It was like...
[01:11.380 --> 01:11.680]  Hide.
[01:11.980 --> 01:13.260]  Doesn't matter. Doesn't matter.
[01:14.280 --> 01:16.440]  Then nobody knows what you're talking about because the video started right there.
[01:17.620 --> 01:18.600]  This is Sea of Thieves.
[01:19.280 --> 01:19.760]  Sneak.
[01:20.720 --> 01:21.520]  I'm a barrel.
[01:21.900 --> 01:22.600]  Andrew, what are we doing?
[01:23.760 --> 01:25.060]  Uh, let's go to the boat.
[01:25.720 --> 01:27.680]  Let's all go to the boat now.
[01:27.820 --> 01:29.640]  Let's all go to the boat now.
[01:29.700 --> 01:30.480]  How do I put my...
[01:30.480 --> 01:31.840]  You wanna go to the boat now.
