[00:00.000 --> 00:00.780]  It's an Xbox.
[00:01.240 --> 00:02.100]  It's an Xbox!
[00:03.060 --> 00:03.740]  Everything's an Xbox.
[00:04.000 --> 00:06.660]  Ahoy! I have a bird now!
[00:06.960 --> 00:09.060]  He's flying on my arm. Look at him go.
[00:09.220 --> 00:10.800]  He's flying. Look at him. He's powerful.
[00:11.240 --> 00:12.960]  Can I show you a little secret? The bird, Eric?
[00:13.100 --> 00:13.440]  Yeah.
[00:13.700 --> 00:14.540]  A little secret? Okay.
[00:14.840 --> 00:16.560]  Please. Hold left trigger so I can...
[00:16.560 --> 00:17.860]  Okay. Here he is.
[00:17.940 --> 00:18.320]  No!
[00:19.420 --> 00:22.380]  What I like to do is you go there and then you see him out and they go...
[00:22.380 --> 00:23.080]  What? No!
[00:23.080 --> 00:25.260]  They really start flying. They get some good distance.
[00:25.640 --> 00:27.060]  They're gonna scout for us.
[00:28.860 --> 00:29.680]  Did you kill the bird?
[00:29.680 --> 00:31.060]  No, they'll be back.
[00:31.820 --> 00:32.220]  What did you do?
[00:32.900 --> 00:33.680]  Did he just kill you, bud?
[00:34.100 --> 00:34.980]  He's gone!
[00:35.620 --> 00:36.320]  He'll be back!
[00:36.700 --> 00:37.860]  He shot him into the sky!
[00:38.120 --> 00:40.400]  He always finds his way. He'll be back.
[00:40.600 --> 00:42.020]  He used the cannon, Geoff!
[00:42.120 --> 00:43.140]  Geoff, he used the cannon!
[00:43.480 --> 00:46.400]  Whoa, what if we shot a ship with the bird?
[00:46.860 --> 00:47.800]  I don't want to!
[00:47.960 --> 00:49.760]  No! We have cannonballs.
[00:50.400 --> 00:52.100]  We have to know. Maybe it's like a trick.
[00:52.260 --> 00:53.300]  You can get it in one hit.
[00:53.960 --> 00:55.320]  Why are you huffing? He'll be back.
[00:55.880 --> 00:57.500]  An insta-sync with the bird?
[00:58.200 --> 01:00.220]  I'm gonna make a proclamation right now.
[01:00.460 --> 01:00.940]  Okay.
[01:01.460 --> 01:04.040]  Xbox, you have to pay us for this video.
[01:04.660 --> 01:06.760]  We made the USS Xbox.
[01:07.680 --> 01:09.140]  You have to pay us for this video.
[01:09.360 --> 01:11.760]  If you don't pay us, this video will never come out.
[01:13.440 --> 01:14.400]  Alright, well...
[01:14.400 --> 01:17.080]  That does not mean that when this video comes out,
[01:17.160 --> 01:18.000]  that they paid us.
[01:18.160 --> 01:19.960]  If this video is released,
[01:20.080 --> 01:21.540]  it can only mean one thing, fellas.
[01:22.240 --> 01:24.400]  Microsoft paid us one billion dollars.
[01:24.620 --> 01:25.100]  Wow!
[01:25.100 --> 01:27.040]  I'll take the money from Rare.
[01:27.160 --> 01:28.360]  We'll take it from Rare. I don't care.
[01:29.240 --> 01:31.000]  Give me this stupid fish.
[01:32.480 --> 01:33.840]  Is there a trick to fishing, Geoff?
[01:34.600 --> 01:34.960]  Yeah.
[01:35.240 --> 01:38.180]  You go against the direction it's going.
[01:38.640 --> 01:40.520]  And when it starts to vibrate too much,
[01:40.580 --> 01:41.480]  you step off.
[01:41.580 --> 01:42.420]  I've been hearing that.
[01:42.540 --> 01:43.580]  Two very important tricks.
[01:43.740 --> 01:46.160]  If you didn't have somebody who knew the tricks to tell you,
[01:46.160 --> 01:46.960]  you wouldn't figure it out.
[01:47.060 --> 01:49.320]  Thank you for telling me the tricks when I asked you the first time.
[01:49.720 --> 01:51.480]  Instead of telling me there are no tricks.
[01:51.480 --> 01:52.800]  I really appreciate it, personally.
[01:53.260 --> 01:54.100]  I'm just happy to help.
[01:54.320 --> 01:55.720]  A guy like me just needs the help.
[01:56.220 --> 01:56.780]  Got a fish!
[01:58.220 --> 01:59.640]  I use the tricks.
[02:00.500 --> 02:01.700]  You use fish tricks?
[02:02.220 --> 02:03.880]  Yeah, I got a Ruby Splashtail.
[02:04.120 --> 02:04.920]  That's pretty cool, dude.
[02:05.100 --> 02:06.800]  Do you have any tricks to start this car?
[02:06.960 --> 02:09.260]  Yeah, you gotta put a key in the ignition and then turn it.
[02:09.340 --> 02:10.120]  That's a good trick.
[02:10.680 --> 02:14.480]  No, but a trick to start the car would be you have to put your foot on the brake while you turn the ignition.
[02:15.260 --> 02:18.420]  Oh, or give it a little gas each time?
[02:18.440 --> 02:18.680]  Yeah.
[02:19.940 --> 02:20.940]  Hit the clutch.
[02:22.040 --> 02:22.860]  Who has a clutch?
[02:22.940 --> 02:24.240]  Andrew, thought on any of these tricks?
[02:25.720 --> 02:26.460]  You know what a clutch is?
[02:26.720 --> 02:30.240]  I read, Nick, that the last car...
[02:30.240 --> 02:31.960]  Oh, I forgot you can come and cook up my fish real fast.
[02:32.420 --> 02:36.760]  The last car to come with the manual transmission just got phased out.
[02:37.100 --> 02:37.520]  Wow, really?
[02:37.960 --> 02:39.460]  Yeah, it was a Hyundai or something.
[02:39.520 --> 02:40.440]  It was the final one, maybe.
[02:40.600 --> 02:41.320]  Maybe it wasn't a Hyundai.
[02:41.400 --> 02:41.820]  Maybe it was a Honda.
[02:41.980 --> 02:42.940]  It was some car, though.
[02:43.280 --> 02:46.020]  They only had one model left that you could still buy in manual.
[02:46.020 --> 02:49.020]  And they've just, according to 2026, they're getting rid of it.
[02:49.420 --> 02:49.740]  Wow.
