[00:01.540 --> 00:02.820]  I've angled it wrong.
[00:03.100 --> 00:03.500]  No!
[00:03.740 --> 00:04.540]  Yes, yes, yes.
[00:04.620 --> 00:05.380]  That's my coin!
[00:05.880 --> 00:07.240]  This is the worst!
[00:07.500 --> 00:07.680]  Wait.
[00:08.300 --> 00:09.380]  I had plans for that coin.
[00:09.660 --> 00:10.900]  My bike went through!
[00:12.240 --> 00:13.920]  Raccoon's in with the tricks, baby!
[00:15.480 --> 00:16.440]  Come on, dumbass chicken.
[00:16.760 --> 00:17.540]  Stupid-ass bird.
[00:17.880 --> 00:18.640]  Little bitch bird.
[00:19.000 --> 00:19.420]  Do something.
[00:19.760 --> 00:20.500]  Little bird bitch.
[00:20.680 --> 00:21.240]  What are you gonna do?
[00:21.520 --> 00:22.620]  What are you gonna do, you little bird bitch?
[00:22.700 --> 00:23.140]  What are you gonna do?
[00:23.720 --> 00:24.460]  Figure it out.
[00:24.600 --> 00:25.040]  Figure it out.
[00:25.060 --> 00:25.640]  Little bitch bird.
[00:25.760 --> 00:26.280]  Do something.
[00:26.280 --> 00:27.580]  Come on!
[00:31.020 --> 00:32.280]  What did you say?
[00:32.680 --> 00:33.460]  Some space, dude!
[00:34.620 --> 00:35.860]  What'd you just say, human?
[00:36.380 --> 00:36.580]  What'd you say?
[00:38.340 --> 00:38.840]  Some space, dude.
