[00:00.000 --> 00:01.400]  Oh, leave me alone!
[00:03.140 --> 00:04.080]  Oh, no!
[00:04.980 --> 00:08.460]  You got to give the people what they want!
[00:08.480 --> 00:09.240]  Oh, no.
[00:10.080 --> 00:10.920]  You just did.
[00:11.280 --> 00:11.920]  I win?
[00:13.160 --> 00:15.000]  No, no, I'm good.
[00:15.720 --> 00:15.980]  No!
[00:16.940 --> 00:18.380]  Daddy wins again, baby!
[00:18.640 --> 00:21.060]  Alright, let's celebrate with some piss rats in the chat.
[00:21.200 --> 00:22.140]  Eric loves his piss.
[00:22.820 --> 00:24.100]  Eric identifies as a rat.
[00:24.600 --> 00:26.640]  Eric piss rat.
[00:26.640 --> 00:28.540]  Alright, little corn cats,
[00:28.760 --> 00:29.960]  because I'm so powerful.
[00:30.380 --> 00:32.660]  Corn cats for the true
[00:32.660 --> 00:33.640]  believers, baby.
[00:34.120 --> 00:35.500]  Piss rats if you want another game.
[00:36.020 --> 00:38.040]  Corn cat if...
[00:38.040 --> 00:39.200]  You want us to end the stream early.
[00:40.180 --> 00:41.840]  There's nothing behind that.
[00:42.100 --> 00:43.620]  Corn cat if you're fucking...
[00:43.620 --> 00:43.840]  I don't know.
