[00:00.000 --> 00:00.760]  Alright
[00:01.600 --> 00:03.320]  Lock in boys. We got it.
[00:04.720 --> 00:11.480]  It's 2012 again, baby. Let's do it. This is the exact wall where the grenade. Oh, I remember now B is grenade
[00:11.480 --> 00:16.260]  Oh, I just had a Jimmy Neutron brain blast for that moment. It came rushing back
[00:16.920 --> 00:21.080]  Should I recreate? It's like the guy from Ratatouille. I just had that moment
[00:23.160 --> 00:26.560]  Wow, I set my back on fire a little bit. I threw a grenade at him.
[00:27.180 --> 00:32.160]  There's only 35 enemies this time. Got him. I think it depends on the map. Yeah, it's a smaller map.
[00:32.520 --> 00:37.340]  Yeah, who would have thought left
[00:38.180 --> 00:40.920]  Trigger being cover and B being right.
[00:42.400 --> 00:48.520]  There's a guy back here. I didn't know. I wonder if back then Tom Clancy himself had input into the controller schemes
[00:51.460 --> 00:55.540]  So I was thinking on this game we do left bumper for sprint
[00:58.720 --> 00:59.040]  Oh
[00:59.040 --> 01:03.220]  Behind me. I got shot from behind. Oh, man. I thought the piano. Oh, I fucked up the piano. Oh, no
[01:03.220 --> 01:05.280]  They're running running running running upstairs
[01:06.800 --> 01:07.960]  Why is that rope kicking
[01:16.560 --> 01:16.880]  Jacuzzi
[01:20.580 --> 01:21.380]  Well, let me in
[01:29.580 --> 01:30.060]  I
[01:30.920 --> 01:31.720]  Got behind
[01:39.500 --> 01:41.640]  CQB level 2
[01:50.470 --> 01:52.610]  I don't know. I got shot at from down below.
[01:55.530 --> 02:02.050]  I did not kill that guy. You launched his body across the floor. That was awesome. That was a grenade
[02:03.770 --> 02:04.210]  Oh
[02:10.410 --> 02:11.830]  I'm gonna guess that's not us
[02:14.630 --> 02:17.070]  Okay, well got shit on
[02:18.490 --> 02:25.930]  It's what you let out and put your mouth around his barrel. Yeah, please pull the trigger sir. It's just you Andrew. Oh shit
[02:25.930 --> 02:27.910]  Okay. Oh look at that ladder Andrew. Yeah
[02:32.490 --> 02:34.310]  This animation is great Tom Clancy
[02:36.690 --> 02:41.090]  Tom! Down! Up! Down! Up! What do I do?
[02:46.390 --> 02:48.930]  I think you were literally stuck. I don't think you could have moved
[02:53.370 --> 02:56.530]  Lock in lock in. Don't suck
[02:57.670 --> 02:59.650]  Why are we playing on Xbox and not PC?
[03:00.690 --> 03:02.090]  You did this
[03:03.190 --> 03:06.210]  Facecam? That would have been so much easier. Is this game even on Xbox?
[03:06.210 --> 03:08.150]  I just thought of that what I'm sorry on PC
[03:08.830 --> 03:10.190]  Yeah, is this on PC?
[03:10.910 --> 03:11.490]  maybe the
[03:12.230 --> 03:15.030]  The faces wouldn't work on PC. I don't know. I think that's why
[03:19.680 --> 03:20.140]  I
[03:21.100 --> 03:26.780]  Don't know. That's not really cover. Fuck. I've kind of never stopped working with him, so it's hard for me to remember Ray
[03:26.780 --> 03:32.880]  Yeah, but maybe maybe you can shed some light was he always did Gavin always do the thing where?
[03:33.620 --> 03:38.100]  You would decide on something and then create it and then put it out and then be like
[03:38.100 --> 03:39.260]  Why do we do it this way?
[03:42.300 --> 03:45.580]  Was that a thing back then too? I feel like that was a thing for all
[03:46.820 --> 03:52.160]  But you and Gavin came up with the most ideas so you would traditionally be like, let's do this the week later be like
[03:52.160 --> 03:52.900]  Why do we this suck?
[03:55.000 --> 03:59.580]  And then I would be asleep during the let's play Gavin loves to give notes on videos that are already out
[04:01.140 --> 04:03.980]  Hindsight is 40-40. That's what Andrew says. Mm-hmm
[04:11.540 --> 04:12.000]  Oh
[04:12.740 --> 04:19.100]  Underrated joke there by Ray. Oh, oh what? Oh, I didn't kill him. I'm ass
[04:23.000 --> 04:25.390]  Multi-language out there. No, that was me. I shot you
[04:28.240 --> 04:35.000]  Through the window through the window which window through the walls. Yeah. I got him
[04:41.120 --> 04:42.760]  It's this map I can't do this map
[04:45.420 --> 04:50.640]  Yeah, it's the mouse on PC by the way, but yeah, you can do the cameras it did or it didn't come out
[04:50.640 --> 04:52.560]  It's it did. Oh, oh
[05:01.540 --> 05:02.760]  That's great the thermals
[05:03.660 --> 05:06.180]  Didn't help you at all. I
[05:06.180 --> 05:09.800]  Panic thermals again throwing a grenade. Hey when that happens
[05:11.280 --> 05:16.760]  Andrew just got shot in the cabbage. Oh, all right, Andrew. You just got to get 21 dudes. Oh
[05:16.760 --> 05:19.760]  Yeah out the window. You just have to kill the legal drinking age. Oh, he's coming in the door
[05:21.380 --> 05:24.280]  Wish my name was door. Oh
[05:25.620 --> 05:28.580]  That's it just camp it yeah, they're gonna come in one at a time. There you go
[05:29.760 --> 05:35.340]  Are you using a pistol? I'm using a SMG single fire single shot. Yeah
[05:36.340 --> 05:40.560]  What should we do? Yeah, you're rinsing get away from me Karen right now
[05:41.220 --> 05:43.880]  Well, he is next to the kitchen sink. Hey
[05:44.360 --> 05:45.200]  Dane cook everybody
[05:49.680 --> 05:52.300]  Andrew shooting his own cabbage. I just had to see if it would explode
[05:53.840 --> 05:55.320]  It's 2008. There's no
[05:55.320 --> 05:58.460]  I believe in Tom Clancy ray
[05:59.680 --> 06:01.360]  Physics what went in yet?
[06:03.740 --> 06:05.960]  What's the game with the melons Oh
[06:07.120 --> 06:08.840]  They're alive Oh
[06:12.620 --> 06:13.120]  The
[06:13.980 --> 06:15.640]  Mission impossible to guy game
[06:17.440 --> 06:22.180]  No, it was like hey, it was like Kane and Lynch or army of two or one of those
[06:22.180 --> 06:27.220]  Oh Kane and Lynch stranglehold or maybe it was uh, yeah, that was it. What was it?
[06:27.960 --> 06:35.620]  Stranglehold stranglehold stranglehold. Oh great melon heavy John Woo's stranglehold. Yeah. Yeah. What was it? The pseudo sequel to hard-boiled?
[06:37.660 --> 06:38.020]  I
[06:38.020 --> 06:42.460]  Still wanna see hard-boiled. I got good movie. I bought it but it was like a bootleg so I didn't watch it
[06:43.780 --> 06:47.000]  That I thought it was out on blu-ray, but it turns out it's a
[06:47.760 --> 06:49.620]  red way I
[06:51.940 --> 06:52.300]  Stop
[06:56.760 --> 06:59.040]  What those again this corner what the fuck by the fountain
[06:59.940 --> 07:04.660]  Get a fountain man. You get him. I got him. Thanks. Okay, I think they're
[07:06.560 --> 07:13.700]  They're up here they are they're up here. Oh my spawn behind behind behind got him. I
[07:13.700 --> 07:20.060]  Think you're still up on the patio. Yeah, do you just spawn behind whoever you're watching? Yeah, I'm still up patty up patty up coming down the stairs
[07:27.080 --> 07:31.200]  Shit yeah, I think you got him. Oh
[07:31.200 --> 07:31.500]  No
[07:32.960 --> 07:41.910]  I should be clear. I'm Geoff. Oh, there you go. Jesus. Oh
[07:42.850 --> 07:44.250]  I spawned in front of a dude
[07:47.690 --> 08:00.480]  20 23 to go and I'm not seeing anyone on the exterior. Oh god
[08:04.620 --> 08:05.420]  Oh flashbang
[08:09.120 --> 08:09.520]  Oh
[08:09.520 --> 08:11.780]  Killed by so much grenade I guess
[08:13.980 --> 08:23.690]  Oh my god, I need to leave all right, I think they're gonna rush the kitchen here
[08:26.860 --> 08:32.720]  Back where we started bliterated that guy's shins. I did I was hoping the recoil would give me a headshot
[08:34.680 --> 08:37.100]  I'm just trying to shoot center a mess. Oh
[08:37.100 --> 08:37.520]  Oh
[08:37.520 --> 08:40.980]  Andrews hair is green
[08:44.440 --> 08:46.440]  You get Joker hair right now Andrew
[08:47.860 --> 08:51.620]  Sure deal and honor the watermelons in stranglehold
[09:05.960 --> 09:06.640]  Cooler
[09:08.400 --> 09:08.740]  Thirteen.
[09:09.760 --> 09:10.580]  It's all you, Andrew.
[09:12.300 --> 09:13.480]  It's okay, you got this.
[09:13.800 --> 09:14.400]  Oh, you see him.
[09:15.520 --> 09:15.820]  Nice.
[09:16.720 --> 09:18.640]  Dude, that guy shrugged that bullet off.
[09:21.660 --> 09:22.000]  FIVE!
[09:23.000 --> 09:24.080]  Stuck out just long enough.
[09:24.680 --> 09:25.700]  Did you get shot in the dirt box?
[09:27.180 --> 09:27.640]  Alright, here we go.
[09:29.100 --> 09:30.620]  Gavin, would you say this is the run?
[09:31.260 --> 09:33.200]  No, this is the one before the run.
[09:33.680 --> 09:33.880]  Okay.
[09:34.280 --> 09:36.320]  Wait, the last one we did, did Gavin call the run?
[09:36.420 --> 09:37.040]  Or was it the one after?
[09:37.960 --> 09:38.860]  Was he actually right?
[09:39.420 --> 09:40.520]  Oh no! Why?
[09:41.960 --> 09:42.820]  Uh, guy in the garage.
[09:43.120 --> 09:44.520]  He's behind the car.
[09:44.660 --> 09:45.540]  Who flashbanged me?
[09:54.390 --> 09:55.110]  Did you get that guy, Geoff?
[09:55.430 --> 09:55.810]  Yeah, I got him.
[09:57.630 --> 09:59.930]  If you're referring to the guy who was trying to kill us, yeah, I got him.
[10:00.290 --> 10:01.030]  Oh, what?
[10:02.190 --> 10:03.730]  That spell well sucks!
[10:04.550 --> 10:10.230]  Oh, shit, I didn't even see that fucking guy.
[10:10.230 --> 10:11.090]  On the patio.
[10:12.230 --> 10:13.690]  You were in the thick of it there, Ray.
[10:14.170 --> 10:14.890]  I sure was.
[10:17.130 --> 10:18.410]  It spawns you out in the open
[10:18.410 --> 10:20.070]  and you can't even move for like a second.
[10:21.910 --> 10:22.470]  Nice, Geoff.
[10:26.200 --> 10:26.520]  Ow.
[10:29.340 --> 10:30.140]  There's a dude in there.
[10:30.140 --> 10:31.100]  I don't know if I got him or not.
[10:31.160 --> 10:32.220]  Did you die again already?
[10:33.880 --> 10:34.520]  What happened?
[10:36.340 --> 10:37.520]  Oh, look at my face.
[10:37.640 --> 10:38.460]  Look at my dead face.
[10:38.460 --> 10:40.200]  Oh my god, I shouldn't talk shit.
[10:40.260 --> 10:41.140]  I got shot from behind, I think.
[10:43.980 --> 10:44.500]  Rough one.
[10:44.600 --> 10:44.960]  Rough one.
[10:51.220 --> 10:51.540]  Jesus.
[10:55.880 --> 10:56.600]  Oh my god.
[10:58.240 --> 10:58.800]  I don't think
[10:58.800 --> 11:00.480]  I hit him once. That was horrible.
[11:01.540 --> 11:01.860]  Jesus Christ.
[11:01.860 --> 11:04.640]  Let's see if we can all get to the roof and rappel through the skylight.
[11:05.880 --> 11:07.040]  Oh, that's an idea.
[11:07.460 --> 11:08.440]  Imagine how badass we would look.
[11:08.920 --> 11:09.520]  How do we get to the roof?
[11:09.980 --> 11:11.200]  I'll die to one grenade, probably.
[11:12.700 --> 11:14.300]  Get one of us through.
[11:14.540 --> 11:15.320]  Nice, Andrew.
[11:15.660 --> 11:16.060]  Thank you.
[11:21.030 --> 11:23.210]  That spot Andrew's in right now is pretty good.
[11:23.910 --> 11:24.110]  Uh.
[11:24.410 --> 11:28.070]  Geoff killed teammate and I'm suddenly dead.
[11:29.810 --> 11:30.450]  Uh, sorry.
[11:31.850 --> 11:32.390]  Uh.
[11:33.130 --> 11:35.290]  Andrew hasn't moved from that spot the whole round.
[11:35.710 --> 11:36.130]  Uh.
[11:36.710 --> 11:36.970]  Oh.
[11:38.290 --> 11:39.750]  That was a really good grenade there.
[11:43.940 --> 11:45.740]  You outwinned that guy, Geoff, I think.
[11:46.380 --> 11:47.560]  That's my move.
[11:47.740 --> 11:49.240]  That's how you know I've been here.
[11:49.840 --> 11:50.220]  Barbecue!
[11:51.080 --> 11:53.060]  It's not enough for me to kill a guy, eventually.
[11:53.240 --> 11:54.840]  I also want you to see how he died.
[11:55.820 --> 11:56.780]  How his body fell.
[12:01.380 --> 12:02.700]  Just take ten each and we're good.
[12:03.240 --> 12:03.420]  Okay.
[12:04.240 --> 12:04.620]  Easy.
[12:05.780 --> 12:06.520]  Real sorry about that.
[12:08.500 --> 12:09.180]  Accidents happen.
[12:11.120 --> 12:11.900]  It was a lower spine.
