[00:01.400 --> 00:02.300]  We're rolling!
[00:04.520 --> 00:06.620]  He was so loud. He was too banger.
[00:07.400 --> 00:13.320]  Andrew, you banged so hard you got cut off. Yeah, I cut myself off. Well, too much bang.
[00:13.600 --> 00:16.000]  In Discord, it was so loud we couldn't hear it.
[00:18.820 --> 00:21.020]  We're here playing Peacock Park 2.
[00:21.680 --> 00:22.460]  We're rolling.
[00:23.800 --> 00:28.940]  That's what the the hype guy for the UFC's, I don't remember his name, the babysitter to the stars.
[00:28.940 --> 00:33.300]  He would say we're rolling? Yeah, that was his whole thing. He'd yell, we're rolling!
[00:34.580 --> 00:38.300]  Oh. And everyone get excited. He was great. Burt Watson. What was he taking? I believe.
[00:38.860 --> 00:44.080]  I don't know. He was rolling. Emma Watson? He was a Watson. Yeah, I think it was Burt Watson.
[00:44.320 --> 00:49.680]  He's great. Anyway, Peacock Park 2. We're playing it. Right fucking awesome. Right before we started playing this,
[00:49.720 --> 00:54.100]  I finished up a documentary I was watching with Emily about the Zodiac Killer on Netflix.
[00:54.860 --> 00:57.860]  If one of you guys is a serial killer,
[00:57.860 --> 01:01.960]  would you let me know before your deathbed, please? Oh, yeah, absolutely.
[01:02.300 --> 01:05.160]  No, it would be on my deathbed, you would know.
[01:05.380 --> 01:11.200]  I'd rather just find out ahead of time. I would become one on my deathbed. I would say, everybody huddle in, and then a knife.
[01:11.760 --> 01:13.220]  Bop, bop, bop, bop, bop.
[01:13.600 --> 01:14.580]  That would be awesome.
[01:14.860 --> 01:17.500]  This serial killer only comes on his deathbed.
[01:17.800 --> 01:18.880]  That was such a good idea.
[01:19.300 --> 01:19.940]  That rocks.
[01:20.640 --> 01:21.960]  I think that's awesome.
[01:22.480 --> 01:26.180]  I was gonna say, I was gonna lean over and say, hey, thanks for the beanhole.
[01:26.180 --> 01:27.360]  That would help me out a lot.
[01:29.800 --> 01:30.940]  Bop, bop, bop, bop, bop.
[01:31.480 --> 01:32.080]  That's pretty good.
[01:32.220 --> 01:37.580]  If one dying guy said, huddle in, to like five people all at once, I'd be so suspicious.
[01:38.640 --> 01:40.580]  It just slits all our throats.
[01:41.260 --> 01:42.140]  I think that's awesome.
[01:42.140 --> 01:43.780]  Because most likely it'd be a fart, right?
[01:44.440 --> 01:45.720]  Hey, Billy's Piss Rats.
[01:46.220 --> 01:47.460]  Thanks to Regulation Rat.
[01:47.900 --> 01:49.440]  That'd be such a great long play.
[01:50.620 --> 01:52.380]  That's a Geoff play if I've ever heard one.
[01:52.460 --> 01:52.980]  Yeah, no kidding.
[01:53.880 --> 01:54.320]  Dude.
[01:54.800 --> 01:56.120]  Well, guys, it's Friday.
[01:57.260 --> 01:59.680]  We gotta work on towards 5.01.
[02:00.100 --> 02:02.240]  Which is the best time of the week.
[02:02.400 --> 02:04.080]  But we gotta do it in Pico Park 2.
[02:04.200 --> 02:05.680]  Where we left off last time.
[02:06.100 --> 02:07.260]  Don't worry about it.
[02:07.520 --> 02:09.160]  Just know that we did play it once before.
[02:09.360 --> 02:11.360]  You can watch it on our Regulation Gameplay Channel.
[02:11.580 --> 02:12.160]  And look at that.
[02:12.560 --> 02:14.500]  Yeah, see, look at that.
[02:14.800 --> 02:15.780]  Oh, no.
[02:16.420 --> 02:17.840]  I recognize that line.
[02:18.020 --> 02:21.580]  This is not a good way to start, boys.
[02:21.580 --> 02:21.900]  What?
[02:23.500 --> 02:24.300]  24 levels?
[02:27.060 --> 02:29.040]  This is gonna be easy. Let's go.
[02:29.520 --> 02:30.180]  I'm blue.
[02:31.260 --> 02:33.080]  We're gonna have to work together.
[02:33.780 --> 02:34.340]  Oh, no.
[02:34.860 --> 02:36.660]  We need three on this one.
[02:37.060 --> 02:38.600]  We need three on both of them, it looks like.
[02:39.040 --> 02:41.340]  I think we're gonna have to start...
[02:41.340 --> 02:43.820]  Oh, wow. You're not gonna be able to get up on anything.
[02:44.480 --> 02:45.220]  Alright, I'm on.
[02:46.900 --> 02:47.640]  Here I come.
[02:47.740 --> 02:48.440]  I'm coming, I'm coming.
[02:48.440 --> 02:50.440]  Should we do one side at a time?
[02:50.720 --> 02:51.280]  God damn it.
[02:51.440 --> 02:53.320]  I think we start with the right.
[02:54.220 --> 02:55.700]  Yeah, okay. Eric, get those.
[02:56.400 --> 02:57.260]  Just bounce back.
[02:57.800 --> 02:59.940]  Got that.
[03:00.380 --> 03:01.340]  And then I can help on the right?
[03:01.680 --> 03:02.480]  Yeah, there you go.
[03:03.400 --> 03:04.340]  Nick, are you blue?
[03:05.360 --> 03:06.040]  I'm purple.
[03:06.960 --> 03:08.040]  Let's help each other, Eric.
[03:08.500 --> 03:09.140]  That's awesome.
[03:09.360 --> 03:12.380]  We just gotta do it faster.
[03:13.580 --> 03:14.520]  No, we got it.
[03:16.060 --> 03:17.140]  It's leading time.
[03:19.140 --> 03:20.360]  We almost did it.
[03:20.420 --> 03:22.840]  Let's work on the left side.
[03:22.940 --> 03:23.460]  And then we'll go to the right.
[03:23.960 --> 03:26.380]  Also, because we're not looking at the...
[03:27.360 --> 03:28.960]  What the name plates say.
[03:29.240 --> 03:30.120]  Andrew is red.
[03:30.220 --> 03:31.960]  I'm purple. Eric is green.
[03:32.100 --> 03:33.680]  Geoff is orange. And Gavin is blue.
[03:33.680 --> 03:34.420]  Oh, we missed one.
[03:36.260 --> 03:38.160]  Me and orange are gonna go to the bottom.
[03:38.380 --> 03:39.700]  Blue, you go to the right.
[03:40.240 --> 03:41.360]  Come on, orange.
