[00:01.840 --> 00:03.840]  Wow, look at this.
[00:04.400 --> 00:06.400]  A.H. scoot scoot king of the hill.
[00:07.180 --> 00:08.060]  It's real?
[00:08.660 --> 00:09.140]  Thanks, Matt.
[00:10.120 --> 00:11.000]  Holy shit.
[00:11.600 --> 00:12.280]  Oh, whoa.
[00:13.380 --> 00:14.480]  So what is this?
[00:15.200 --> 00:19.040]  Uh, it's you just have to stay on the faggio for as long as possible.
[00:19.640 --> 00:20.160]  And then what?
[00:20.620 --> 00:24.900]  What are you what's trying to make me not be on it? A hammer from everyone else.
[00:26.440 --> 00:30.540]  Oh, we're like swinging at each other? Oh, big time. Oh, cool.
[00:30.540 --> 00:34.320]  Oh, this is so cool. This is a whole Matt Bragg thing. I never played.
[00:34.740 --> 00:36.400]  Okay, let's get it going. We're all here.
[00:37.060 --> 00:40.700]  I'm really looking forward to the seven Let's Plays that people send me that I was in.
[00:43.220 --> 00:44.740]  That was like...
[00:44.740 --> 00:46.320]  Well, sometimes Matt would come in
[00:46.760 --> 00:49.420]  uh, and we'd expect to do something and then he would load it up and be like,
[00:49.500 --> 00:53.060]  Oh, I didn't look. And we would resort to a bit of scoot scoot because it was fun.
[00:53.360 --> 00:57.080]  Yeah, I think I've I think I've never played this, but I'll know for sure in a little bit.
[00:57.140 --> 00:59.880]  We played something similar to this in GTA 4.
[01:01.020 --> 01:02.560]  In that little baseball...
[01:02.560 --> 01:07.180]  You remember that little circular area where we had baseball bats on Lost in the Damned DLC and we'd whack each other?
[01:07.760 --> 01:07.980]  Yeah.
[01:08.820 --> 01:11.320]  Oh, I just put on an invisible helmet. I'm still putting it on.
[01:13.360 --> 01:14.080]  I don't...
[01:14.080 --> 01:15.520]  So we're just supposed to like hit each other?
[01:16.120 --> 01:18.220]  Go to the crown. You want the crown on the map?
[01:19.240 --> 01:23.520]  Crown? Oh, okay. I'm going the wrong way for the crown. It's the hill. It's king of the hill. Oh.
[01:24.080 --> 01:24.980]  The hill is on wheels.
[01:25.980 --> 01:27.920]  And how do you swing a hammer on a bike?
[01:27.920 --> 01:30.240]  Uh, it's a bumper. Hit Y.
[01:31.980 --> 01:36.420]  Hold Y for boots. I almost... you son of a... you almost got me. Hey, where are you going?
[01:37.840 --> 01:40.560]  Going for the... going for the crown. Where's the... where is this?
[01:42.220 --> 01:43.640]  Okay, I think I think I see.
[01:44.460 --> 01:45.320]  Going for the crown.
[01:47.060 --> 01:48.160]  Shit, Nick, get away!
[01:49.540 --> 01:55.140]  Oh, X and X in the bumpers. Hold X and left and right bumper is left and right swing. Whoa. Oh, cool.
[01:56.060 --> 01:56.460]  Complicated.
[01:56.920 --> 01:59.860]  Oh, Andrew, you lost a fraction of a second on that. Oh, I did too.
[02:00.600 --> 02:06.640]  Oh, we're gonna be... we're gonna be in trouble. Oh, no, somebody else. Yeah. I got the hill, bitches. Why am I...
[02:07.840 --> 02:10.200]  Get on my... get the bike. Woo!
[02:10.940 --> 02:12.020]  My bike! Shit.
[02:16.930 --> 02:18.530]  I need this. Hey, what's up, bitch?
[02:19.910 --> 02:22.910]  Did I get him? Went down. No!
