[00:00.700 --> 00:01.660]  Tombstone Tally.
[00:02.200 --> 00:05.260]  So this is a game that a regulation developer made.
[00:05.360 --> 00:05.960]  Is that what's happening?
[00:06.420 --> 00:11.220]  That is. Yeah, it's Geoff's inspired idea of Tombstone Bingo.
[00:11.660 --> 00:13.060]  Wow. Dude.
[00:13.140 --> 00:15.580]  Which I still stand by as a respectful idea.
[00:16.220 --> 00:18.300]  It's not. Well, it isn't this.
[00:19.720 --> 00:21.100]  Watch out for shovel attackers.
[00:21.720 --> 00:24.680]  Oh, I'm going to I'm going to fucking out bingo, Eric.
[00:24.740 --> 00:26.100]  Finally, this is great.
[00:27.480 --> 00:29.000]  Whoa, this is crazy.
[00:29.000 --> 00:30.160]  All right, what's on my list?
[00:30.520 --> 00:33.420]  Inventing accident name alliteration.
[00:34.260 --> 00:35.140]  Stride fighting.
[00:35.820 --> 00:39.380]  Wow. Do I have to like look and cross them off
[00:39.380 --> 00:41.440]  or do they just cross them off when I find it?
[00:42.620 --> 00:43.600]  Check the tally card.
[00:44.240 --> 00:46.500]  Oh, no, I can't invert fuck.
[00:48.520 --> 00:49.860]  Well, it's not a plane, Nick.
[00:49.920 --> 00:51.360]  You're not flying a plane. It's just legs.
[00:52.740 --> 00:54.300]  What games are flying?
[00:54.500 --> 00:55.820]  I don't know. Oh, man.
[00:56.360 --> 00:57.980]  Oh, man. OK.
[00:58.420 --> 01:00.320]  The last words. This sucks.
[01:00.620 --> 01:03.780]  Oh, wow. Really? That's awesome.
[01:05.800 --> 01:07.940]  Tested Murphy's Law. Yeah.
[01:09.020 --> 01:11.020]  I don't have waxed to death.
[01:11.460 --> 01:14.020]  Some of these are great. Job related heart attack.
[01:14.160 --> 01:16.560]  Walked right under a falling pain.
[01:18.280 --> 01:20.760]  Death by disco struck by object.
[01:20.880 --> 01:21.720]  These are great.
[01:23.580 --> 01:27.600]  Oh, oh, oh, oh, oh.
[01:27.600 --> 01:29.520]  The fucking groundskeeper.
[01:29.720 --> 01:31.260]  I got one. I got one.
[01:31.320 --> 01:34.180]  Willie, you ate too many hot dogs.
[01:34.740 --> 01:38.460]  What? Oh,
[01:40.720 --> 01:41.680]  Jesus Christ.
[01:41.720 --> 01:42.560]  What happened?
[01:42.900 --> 01:44.460]  Just smacked Derek with a shovel.
[01:44.740 --> 01:46.020]  I'm I'm stuck.
[01:48.340 --> 01:49.860]  What the fuck was that?
[01:50.120 --> 01:53.140]  Oh, I was saying this is what I was fearful of.
[01:53.200 --> 01:54.100]  He put it in the game.
[01:54.360 --> 01:56.420]  I was afraid a groundskeeper would get us.
[01:57.600 --> 02:00.000]  Some groundskeeper who doesn't understand what we're doing.
[02:00.140 --> 02:00.940]  That wasn't the groundskeeper.
[02:03.320 --> 02:03.720]  Andrew.
[02:04.440 --> 02:05.460]  No. Well, anything cool?
[02:05.900 --> 02:06.300]  Not yet.
