[00:00.000 --> 00:01.800]  Andrew's singing the song.
[00:07.340 --> 00:10.940]  You're singing like Bippity Boppity Boo. What was that?
[00:12.820 --> 00:17.720]  Well, Andrew's a big Baa guy. But you can turn any song into a Baa.
[00:18.720 --> 00:25.520]  Welcome to Largo's Pizzeria! We got pizza, we got pies, we got whatever you need, we got the breadstick.
[00:25.900 --> 00:28.520]  Our pie is delivered by Spider-Man himself!
[00:30.000 --> 00:30.320]  Was that good?
[00:31.320 --> 00:31.780]  That was great.
[00:31.940 --> 00:33.380]  Yeah, hopefully that sounded good.
[00:33.640 --> 00:35.640]  Arthritic gave us our first one to sub today. Boom.
[00:36.520 --> 00:36.900]  Hell yeah.
[00:38.120 --> 00:40.020]  And by the way, sorry about the arthritis.
[00:41.780 --> 00:43.580]  You said that like you did it.
[00:47.080 --> 00:50.680]  You're not hanging that on me. I didn't have shit to do with this arthritis and you can't prove it. I'm just saying.
[00:51.040 --> 00:53.400]  Hey, Jiggle Master, sorry about all the jiggling.
[00:53.880 --> 00:54.740]  Sorry about the jiggles.
[00:55.120 --> 00:56.320]  Yeah, it is what it is. You know what I'm saying?
[00:56.320 --> 01:02.960]  Guys, how we looking? How we sound? And we got a, uh... I'm kind of testing like the audio and video here, cause Nick isn't here.
[01:03.440 --> 01:07.320]  Uh, so I'm streaming it out. But Andrew is gonna be playing some...
[01:08.880 --> 01:10.720]  MAFIA THE OLD COUNTRY!
[01:10.820 --> 01:12.520]  We're meeting Gavin's ancestors.
[01:14.980 --> 01:18.220]  Play with golden hands. She's got golden hands.
[01:18.860 --> 01:23.240]  I like the idea of testing the audio and then just never shutting up once.
[01:23.240 --> 01:25.120]  So everyone can check what it is.
[01:25.480 --> 01:29.180]  So that way, yeah, now the audience is gonna let us know,
[01:29.240 --> 01:32.260]  oh, everyone's like, oh, this is low, this is high, like that kind of thing.
[01:33.140 --> 01:35.960]  Floppy disk repair man, thanks for the 5 gifted subs, sorry about the flop.
[01:37.100 --> 01:41.120]  Oh, my Morgz is here, guys. Oh, my Morgz with 5 gifted.
[01:42.720 --> 01:44.860]  Is there game audio? No, not yet.
[01:46.180 --> 01:46.860]  Not yet.
[01:47.360 --> 01:48.120]  There is game.
[01:48.380 --> 01:52.280]  Oh, there is game? Oh my goodness. Well, if there's game, do you want to get right into it?
[01:52.280 --> 01:54.640]  Let's get into game. Oh, okay.
[01:55.940 --> 01:57.460]  Start new game. Great.
[01:58.580 --> 02:00.280]  What's the only punch up button?
[02:03.980 --> 02:07.700]  What is it? It was X, so it would be Y.
[02:09.500 --> 02:11.240]  Crucified donkey, oh, my God.
[02:11.740 --> 02:12.900]  Santa and Sib.
[02:14.140 --> 02:14.760]  Game's all here.
