[00:02.580 --> 00:04.380]  It's Summer Games Fest!
[00:04.600 --> 00:07.020]  Don't care what Eric says, we're going live.
[00:07.460 --> 00:07.840]  Wow!
[00:08.340 --> 00:09.740]  I'm a little guy.
[00:09.960 --> 00:14.760]  Guys, welcome to what has become an annual tradition,
[00:14.980 --> 00:19.040]  which means that you will demand it and we will get tired of doing it.
[00:19.120 --> 00:21.520]  It's Summer Games Fest and we're watching it live.
[00:21.680 --> 00:23.000]  Thank you so much for joining us.
[00:23.200 --> 00:23.260]  No, no, no.
[00:23.500 --> 00:24.120]  What? Huh?
[00:24.180 --> 00:25.540]  Eric, I made the same mistake.
[00:25.860 --> 00:29.380]  Summer Game Fest. We're watching one game for two hours.
[00:29.620 --> 00:30.880]  The next two hours...
[00:30.880 --> 00:32.820]  It is the Summer Game.
[00:32.860 --> 00:34.300]  What game do you think it is?
[00:34.920 --> 00:36.160]  Garfield Kart 2!
[00:36.540 --> 00:41.100]  No, they would never, Andrew, they would never make a Garfield Kart 2.
[00:41.280 --> 00:42.040]  There's no way.
[00:42.400 --> 00:43.500]  I've seen the Steam page.
[00:44.020 --> 00:44.640]  It's real!
[00:46.880 --> 00:50.080]  Speaking of kart, have you been playing any new Mario Kart?
[00:50.520 --> 00:51.020]  Not yet.
[00:51.560 --> 00:53.500]  I mean, you've never played a Mario Kart.
[00:53.740 --> 01:00.040]  I played the GameCube one a bit and I played a little bit on the N64, but I did not...
[01:00.040 --> 01:05.380]  I'm the one person that owned a Switch from existing and never bought Mario Kart 8.
[01:05.680 --> 01:06.520]  That's crazy.
[01:06.520 --> 01:06.840]  Wow.
[01:06.980 --> 01:07.540]  That is crazy.
[01:07.740 --> 01:08.480]  That's a fun game.
[01:08.520 --> 01:09.180]  That's what I hear.
[01:10.000 --> 01:11.740]  New Mario Kart, pretty phenomenal.
[01:12.240 --> 01:14.060]  I hear it's no Garfield Kart.
[01:14.900 --> 01:20.820]  Yeah, well, so there's like a lot of unlockable characters in this one, but none of them are Odie or Nermal, so I don't really...
[01:20.820 --> 01:21.160]  What about...
[01:21.160 --> 01:21.520]  Oh, man.
[01:21.580 --> 01:23.640]  Is anybody from Crash Team Racing in it?
[01:23.640 --> 01:26.900]  I haven't seen them yet, if they are.
[01:27.160 --> 01:33.760]  It would be really special if people from Mario Brothers included some people from Crash Team Racing.
[01:34.000 --> 01:37.720]  There's a Bandicoot, but not Crash Bandicoot. It's just generic Bandicoot.
[01:37.740 --> 01:40.180]  Anybody from Sonic All-Stars Racing in there?
[01:41.880 --> 01:50.800]  I heard that Sonic All-Star Racing or whatever 2 leaked and Spongebob Squarepants is in it.
[01:50.800 --> 01:51.220]  Wow!
[01:52.580 --> 01:55.400]  So everything you're saying is all within the realm of possibility.
[01:56.120 --> 01:57.240]  Oh, you're being serious?
[01:57.400 --> 01:57.720]  Yeah.
[01:58.360 --> 01:58.760]  Oh.
[01:59.140 --> 01:59.520]  Yeah.
[01:59.580 --> 02:00.320]  Fuck, okay.
[02:00.620 --> 02:00.780]  Yeah.
[02:01.540 --> 02:01.940]  Okay.
[02:02.360 --> 02:03.560]  I'm just giving you the news, baby.
[02:04.020 --> 02:04.820]  Ooh, yeah, you are.
[02:06.440 --> 02:06.840]  Unbiased.
[02:07.120 --> 02:07.560]  Are we testing right now?
[02:07.560 --> 02:09.640]  Oh, thanks for the sub recovery one.
[02:10.080 --> 02:10.500]  Thank you so much.
[02:10.500 --> 02:11.900]  They subscribed for eight months. Good lord.
[02:11.920 --> 02:12.260]  Holy shit.
[02:12.360 --> 02:12.960]  Oh, boys.
[02:13.000 --> 02:16.460]  Also, I recognize your username.
[02:16.700 --> 02:18.440]  Hey, Santa, thanks for the five subs.
[02:18.640 --> 02:19.200]  Thanks, Santa.
[02:19.440 --> 02:20.140]  Thank you.
[02:20.140 --> 02:22.120]  You're in your season right now and you're still giving gifts.
[02:22.220 --> 02:22.980]  That's fucking amazing.
[02:23.980 --> 02:25.180]  Ooh, I like this.
[02:25.560 --> 02:26.340]  He's a real one.
[02:29.340 --> 02:30.540]  Like you, shiny Addy.
