[00:03.080 --> 00:04.040]  What happened?!
[00:04.040 --> 00:05.460]  Hey everybody!
[00:06.080 --> 00:08.620]  What is going on?!
[00:08.620 --> 00:10.280]  Oh, everything's exploding!
[00:10.600 --> 00:11.520]  What's happening?!
[00:11.520 --> 00:13.740]  Nick, unlock your car! I got four stars!
[00:14.020 --> 00:15.520]  Unlock the frickin' car, Nick!
[00:15.880 --> 00:17.360]  Nick, let me in the car!
[00:17.500 --> 00:19.960]  I don't think Nick is in here. Nick is still muted.
[00:20.580 --> 00:22.780]  It said that Nick left the game.
[00:23.340 --> 00:23.760]  Oh no!
[00:23.760 --> 00:25.920]  I didn't leave on purpose! It kicked me for being idle!
[00:26.400 --> 00:26.580]  Ah!
[00:28.940 --> 00:30.780]  You were just right back to my apartment!
[00:30.780 --> 00:32.740]  Unmuted in the beginning of the video.
[00:32.820 --> 00:35.840]  I watched Gavin's body. It disappeared.
[00:36.320 --> 00:37.120]  Rest in peace, Gavin.
[00:38.760 --> 00:40.120]  Rest in peace, Gavin.
[00:40.700 --> 00:42.180]  Andrew, you wanna do set up three?
[00:42.980 --> 00:43.080]  Yeah.
[00:43.440 --> 00:44.960]  Invite Nick to the game.
[00:45.300 --> 00:46.080]  I already did.
[00:47.040 --> 00:49.320]  Alright, we're off to the police station.
[00:50.600 --> 00:51.720]  Alright, Gavin, I'm with you.
[00:52.420 --> 00:53.000]  Alright, let's do it.
[00:53.120 --> 00:53.920]  Which one's yours, Nick?
[00:55.060 --> 00:56.080]  We're taking this truck?
[00:56.440 --> 00:57.920]  Why do I own this?
[00:57.920 --> 00:59.400]  I don't know. You picked it.
[00:59.700 --> 01:01.540]  I was expecting it to be all customed out.
[01:02.320 --> 01:04.520]  No, it's just a truck. It's just a mean-looking truck.
[01:04.740 --> 01:06.300]  Can you close my door? Thank you.
[01:06.680 --> 01:07.760]  Where the hell are we supposed to go?
[01:08.360 --> 01:09.380]  I don't know. I'm waiting.
[01:11.060 --> 01:11.600]  Okay, here we go.
[01:11.940 --> 01:14.360]  Alright, so we're going to the cargo ship. You're going to the...
[01:14.360 --> 01:15.360]  Police station?
[01:15.580 --> 01:17.100]  I can go get a schedule.
[01:18.580 --> 01:19.360]  Slop, slop!
[01:21.420 --> 01:22.140]  Oh God!
[01:26.400 --> 01:27.200]  Shut up!
[01:27.440 --> 01:28.060]  Where are we going?
[01:29.840 --> 01:30.780]  Let's give this a waypoint.
[01:31.260 --> 01:32.980]  Oh, we have to steal a cop car, Andrew.
[01:34.100 --> 01:34.540]  Oh, we do?
[01:34.760 --> 01:34.900]  Yeah.
[01:36.660 --> 01:38.740]  Gavin is on a mission to destroy
[01:38.740 --> 01:40.380]  every scooter he sees.
[01:40.800 --> 01:42.040]  Wait, do you not do that?
[01:42.240 --> 01:44.540]  Do you play GTA and not run over the bikers?
[01:44.700 --> 01:46.640]  I mean, I'm trying to just beat the mission.
[01:47.480 --> 01:48.160]  I have an idea.
[01:49.000 --> 01:50.120]  Yeah, I have an idea too.
[01:50.540 --> 01:50.760]  Yeah?
[01:50.760 --> 01:50.800]  Yeah.
[01:54.100 --> 01:54.500]  Huh.
[01:57.740 --> 01:58.400]  I mean, that's one.
[01:59.100 --> 01:59.720]  Yeah, one.
[02:01.680 --> 02:02.900]  We're kind of working together.
[02:03.360 --> 02:03.780]  On this.
[02:05.080 --> 02:06.740]  Okay, we got it.
[02:08.880 --> 02:09.300]  Well, Nick,
[02:09.600 --> 02:11.480]  his idea to some of the police is murdering
[02:11.480 --> 02:13.580]  civilians. Mine was to just call the police.
[02:13.600 --> 02:14.220]  Call the police.
[02:14.700 --> 02:17.020]  Well, I wish I had done that now.
[02:17.780 --> 02:19.340]  Well, you should have been open to ideas.
[02:19.880 --> 02:21.640]  Well, here's the thing about ideas.
[02:21.920 --> 02:22.640]  Yeah, go ahead.
[02:22.740 --> 02:23.740]  There are no bad ones.
[02:24.620 --> 02:26.480]  I think yours might not have been good.
[02:27.220 --> 02:28.640]  Well, tell that to those two people.
[02:29.300 --> 02:30.160]  The dead ones?
[02:31.060 --> 02:31.840]  I'd try.
[02:34.080 --> 02:34.740]  Alright, Andrew.
[02:34.800 --> 02:36.000]  We're gonna have to shoot these two.
[02:37.320 --> 02:38.340]  Do we have to?
[02:38.660 --> 02:39.740]  I don't think we have to.
[02:40.120 --> 02:41.160]  I think we can just take it.
[02:41.560 --> 02:42.800]  We're just homies in a car.
[02:43.860 --> 02:45.120]  We're just like seeing the sights.
[02:45.120 --> 02:46.620]  Nick is really trigger happy.
[02:47.260 --> 02:49.460]  We're just listening to music and...
[02:49.460 --> 02:51.700]  Andrew, you ran me over with a cop car!
[02:52.000 --> 02:53.060]  We got our sunnies on.
[02:53.260 --> 02:54.440]  I bumped you with it.
[02:54.460 --> 02:56.620]  We're talking about maybe stopping for some food.
[02:58.860 --> 03:00.960]  We're gonna go to Cluckin Bell or whatever.
[03:01.100 --> 03:02.000]  What's the GTA 4 one?
[03:02.900 --> 03:04.680]  Big Shot Burger or something?
[03:05.400 --> 03:06.260]  Freckle Bitches?
[03:07.540 --> 03:08.960]  Number 4, Extra Cheese.
[03:11.720 --> 03:12.460]  We are.
[03:15.700 --> 03:16.760]  Oh, that's bad.
[03:18.880 --> 03:19.980]  There's just no winning.
[03:22.180 --> 03:24.460]  I wonder if I should hit the brakes around this corner.
[03:25.100 --> 03:26.120]  Floor it to the...
[03:28.220 --> 03:29.580]  I'm in cinematic mode.
