[00:00.000 --> 00:00.880]  We should be live.
[00:01.020 --> 00:02.360]  Chain together...
[00:02.360 --> 00:03.900]  I gotta update all that.
[00:04.260 --> 00:05.480]  Listen, I'm behind schedule.
[00:06.400 --> 00:07.560]  Well, you had to go to the bathroom.
[00:07.940 --> 00:08.300]  It happens.
[00:08.400 --> 00:09.680]  Yeah, you're shit ready for us.
[00:09.900 --> 00:11.340]  Listen, it was a...
[00:11.340 --> 00:12.480]  Oh, it was a whole thing.
[00:13.600 --> 00:14.480]  A whole thing.
[00:15.140 --> 00:15.920]  It was a whole thing.
[00:16.420 --> 00:17.280]  Are we live?
[00:18.560 --> 00:19.260]  I think we're live.
[00:20.440 --> 00:23.240]  Let's see if we're live by the scene if any piss rats show up.
[00:26.420 --> 00:28.400]  Yeah, can we get all piss rats,
[00:28.400 --> 00:30.200]  no corn rats in the chat today.
[00:30.400 --> 00:31.560]  Let's have no corn rats.
[00:31.560 --> 00:32.480]  Well, there's no Eric, so...
[00:32.480 --> 00:32.760]  That's right.
[00:33.540 --> 00:34.340]  Spider heck.
[00:35.040 --> 00:36.380]  We have no audio?
[00:38.360 --> 00:39.220]  No audio.
[00:39.320 --> 00:40.260]  Oh, it's really low.
[00:41.520 --> 00:42.220]  Okay, here.
[00:42.360 --> 00:43.800]  Let me try to adjust this.
[00:44.260 --> 00:44.960]  Andrew's got it.
[00:46.380 --> 00:47.120]  Listen, I got...
[00:47.120 --> 00:48.260]  Nick sent me a doc.
[00:49.560 --> 00:50.840]  What about this?
[00:51.500 --> 00:52.240]  Oh my lord.
[00:52.240 --> 00:52.800]  We have video, at least?
[00:54.460 --> 00:55.340]  Uh, we did.
[00:56.520 --> 00:56.720]  Oh.
[00:56.720 --> 00:57.580]  We back?
[00:58.000 --> 00:58.580]  Having video?
[00:58.840 --> 00:58.880]  Yeah.
[00:58.980 --> 00:59.500]  Yo, yo, yo.
[00:59.740 --> 01:00.360]  Yo, yo, yo.
[01:00.620 --> 01:03.780]  I can also just talk really loud for the next hour.
[01:04.140 --> 01:04.300]  One sec.
[01:04.380 --> 01:05.040]  One sec.
[01:05.400 --> 01:05.920]  One sec.
[01:06.400 --> 01:07.260]  Somebody says no video.
[01:08.380 --> 01:09.240]  Somebody says hurt Andrew.
[01:11.480 --> 01:13.340]  I wonder if I'm on the stream.
[01:13.620 --> 01:14.360]  Am I streaming?
[01:14.740 --> 01:16.940]  Somebody said Nick and Geoff are very low.
[01:17.220 --> 01:18.200]  Well, that's a problem.
[01:18.540 --> 01:19.960]  Well, that is, yeah.
