[00:00.000 --> 00:01.720]  Traders last night, wow.
[00:01.860 --> 00:03.880]  Holy moly, yeah, that was a good episode.
[00:04.300 --> 00:05.880]  Kind of went how you expected it to go, but...
[00:08.360 --> 00:12.640]  I think Tom Sandoval might be one of the dumber people on television.
[00:13.800 --> 00:14.400]  Oh, easily.
[00:15.060 --> 00:16.300]  Why would he do? Oh, never mind.
[00:16.620 --> 00:18.560]  Hey guys, welcome to the stream!
[00:18.700 --> 00:20.500]  It's Friday, it's our Twitch stream.
[00:20.600 --> 00:21.360]  You know what that means.
[00:21.620 --> 00:26.940]  We're back for another hour of gameplay live at twitch.tv slash TheRegulationPod.
[00:26.940 --> 00:33.160]  And this week, we thought it would be funny for Nick to do his All You Need Is Help bit again.
[00:33.520 --> 00:37.120]  So we want to show you what it's like.
[00:37.180 --> 00:40.700]  This is Nick, Gavin, Geoff, and Andrew playing All You Need Is Help.
[00:41.580 --> 00:44.140]  Nick has assured us that he's not doing a bit.
[00:44.840 --> 00:46.160]  And we're going to see how this goes.
[00:46.480 --> 00:47.140]  Nick, how are you feeling?
[00:47.300 --> 00:47.720]  It's definitely a bit.
[00:51.740 --> 00:52.980]  Shutting beginner Gavin free!
[00:53.480 --> 00:54.580]  What the heck?
[00:55.080 --> 00:57.220]  Okay, easily pig Nick.
[00:57.360 --> 00:59.300]  Oh, wait, maybe we don't need the name burn.
[00:59.500 --> 01:00.760]  If not, I don't think so.
[01:00.860 --> 01:01.940]  I mean, probably not.
[01:02.060 --> 01:03.080]  But you've played this before.
[01:03.280 --> 01:03.520]  Not me.
[01:03.580 --> 01:04.100]  So I don't know.
[01:04.260 --> 01:05.720]  You worked so hard on the name burn.
[01:05.800 --> 01:06.400]  You were stressing out.
[01:06.700 --> 01:07.920]  I think it's a great name, man.
[01:08.300 --> 01:11.160]  Yeah, I mean, they're already on there the whole time.
[01:11.360 --> 01:12.400]  Thank you so much, everybody.
[01:12.620 --> 01:14.080]  I mean, I could just get rid of it.
[01:14.780 --> 01:15.000]  Why?
[01:15.580 --> 01:16.720]  Yeah, why would you do that?
[01:17.000 --> 01:22.080]  Okay, a three minute poll is open to the people online watching live with us.
[01:22.120 --> 01:23.180]  Is Nick doing a bit?
[01:23.180 --> 01:24.240]  Let us know.
[01:24.340 --> 01:24.960]  Yes or no.
[01:25.180 --> 01:26.020]  If Nick is doing a bit.
[01:26.100 --> 01:26.540]  We're gonna melt it.
[01:26.720 --> 01:27.700]  We're melting.
[01:28.560 --> 01:29.900]  It's a hot box.
[01:32.040 --> 01:32.920]  Lead the way.
[01:34.000 --> 01:34.860]  So what is...
[01:35.820 --> 01:37.280]  Let me attach it over here.
[01:37.960 --> 01:38.380]  Here we go.
[01:38.960 --> 01:39.420]  Why aren't...
[01:40.480 --> 01:40.860]  Okay.
[01:42.780 --> 01:43.900]  Okay, here we go.
[01:46.100 --> 01:47.000]  I need to...
[01:47.000 --> 01:48.180]  Move, move, move, move, move, Nick.
[01:48.400 --> 01:48.560]  Move.
[01:48.800 --> 01:50.400]  I'm moving, I'm moving, I'm moving, I'm moving.
[01:50.760 --> 01:50.940]  Sorry.
[01:50.940 --> 01:51.040]  Sorry.
[01:52.420 --> 01:53.060]  Okay, I'm going in.
[01:53.420 --> 01:53.860]  Going in.
[01:54.360 --> 01:55.760]  You should get that coin while you're up there.
[01:55.820 --> 01:56.580]  Yeah, that's what I'm doing.
[01:57.300 --> 01:57.580]  All right.
[01:58.060 --> 01:59.120]  Geoff, what the god damn are you?
[01:59.140 --> 01:59.860]  How are you gonna get in there?
[02:00.400 --> 02:00.880]  I'm not.
[02:01.140 --> 02:01.900]  I thought I'd try.
[02:02.460 --> 02:03.200]  No, it's not doable.
[02:04.320 --> 02:04.940]  All right, I'm gonna leave this.
[02:05.840 --> 02:06.120]  Somebody...
[02:06.120 --> 02:06.620]  Okay.
[02:06.760 --> 02:09.280]  Why don't you go melt that other piece of snow and get that coin, Gavin?
[02:10.080 --> 02:11.860]  Well, okay, let's do it.
[02:11.900 --> 02:14.740]  Nick, can you grab the block right there?
[02:15.420 --> 02:18.580]  And then could you put it in the hole so I can grab it on this side?
[02:21.020 --> 02:21.620]  Yeah, hold on.
[02:22.320 --> 02:23.280]  Got to put it back down.
[02:23.500 --> 02:24.540]  Or Gavin, could you...
[02:24.540 --> 02:24.940]  I'm...
[02:24.940 --> 02:25.400]  Hold on.
