[00:00.000 --> 00:02.360]  Gavin! Gavin! No!
[00:03.380 --> 00:05.700]  Gavin has been eliminated.
[00:09.780 --> 00:11.680]  It's all McChill now.
[00:12.580 --> 00:13.980]  McChill looking relaxed.
[00:15.180 --> 00:17.460]  McChill is fully in control also.
[00:18.620 --> 00:20.980]  There's only two more segments of this.
[00:21.000 --> 00:22.080]  You went from 4th to 16th. Yeah, I did.
[00:22.500 --> 00:23.060]  Incredible.
[00:23.740 --> 00:25.760]  How is McChill just McChillin' up the top?
[00:25.980 --> 00:26.540]  He's not chillin'.
[00:26.540 --> 00:28.900]  Look at his stupid little smile too.
[00:28.900 --> 00:30.960]  Yeah, it's cause he's so happy to be so good.
[00:31.220 --> 00:32.920]  I'm beat by someone with no arms.
[00:33.920 --> 00:35.760]  He's just doin' little spins.
[00:36.580 --> 00:38.340]  He's just doin' little spins.
[00:38.460 --> 00:40.340]  Snowman just drivin' across the beach.
[00:41.020 --> 00:42.240]  Oh, it's on McChill.
[00:42.500 --> 00:42.980]  Oh!
[00:43.760 --> 00:44.260]  Oh!
[00:48.540 --> 00:50.140]  McChill has fallen!
[00:50.620 --> 00:51.640]  It's Goop!
[00:52.300 --> 00:53.720]  Goop is doing it!
[00:53.740 --> 00:54.380]  Go, Goop!
[00:55.480 --> 00:57.680]  Goop comin' in again with a victory.
[00:57.680 --> 00:59.200]  Goop, they're on your tail!
