[00:01.220 --> 00:03.360]  Nick! Nick, it's happening!
[00:03.960 --> 00:05.920]  Nick! Nick, check the time!
[00:06.840 --> 00:10.040]  Nick, it appears... Nick, it looks like we did it!
[00:10.300 --> 00:13.140]  October 23rd! We're here right before the episode!
[00:13.540 --> 00:14.220]  Nick, we did it!
[00:15.220 --> 00:18.800]  Okay, guys! Sloppy Joe's Bingo!
[00:18.980 --> 00:22.900]  On Halloween, October 31st!
[00:22.960 --> 00:26.860]  It's happening! It's at 9 p.m. Central!
[00:26.860 --> 00:31.640]  You have to go to twitch.tv slash TheRegulationPod to play along!
[00:31.980 --> 00:35.080]  We're gonna be drafting our cards for Falcons!
[00:35.420 --> 00:36.860]  Nick! Nick, hold us steady!
[00:37.080 --> 00:39.800]  We have to let the people know about Sloppy Joe's Bingo!
[00:40.280 --> 00:42.260]  Nick! Nick, we have to go!
[00:44.720 --> 00:48.960]  Hello and welcome to another episode of The Regulation Podcast.
[00:49.180 --> 00:52.560]  This is episode 24. My name is Geoff Ramsey.
[00:52.560 --> 00:57.200]  With me, as always, Nick Schwartz, Eric Baudour, Andrew Panton, Gavin Free!
[00:57.880 --> 00:58.480]  Hello! 24!
[01:00.380 --> 01:02.940]  That feels low. That was a big sigh.
[01:03.600 --> 01:05.940]  Why are you sad? I shat myself.
[01:07.600 --> 01:10.560]  Jesus, at the fucking gate. Just immediately?
[01:12.140 --> 01:14.140]  Just immediately taking it there.
[01:14.380 --> 01:17.920]  Something I've never done before. Maybe my first one in a decade.
[01:17.920 --> 01:20.940]  I shat my foot.
[01:20.940 --> 01:21.760]  Oh god.
[01:22.940 --> 01:24.420]  I wasn't ready for that.
[01:25.980 --> 01:28.680]  I'm not ready for it. I think, generally.
[01:29.480 --> 01:31.040]  We can come back to it if you want.
[01:31.280 --> 01:33.600]  No, we've already gone too far.
[01:34.300 --> 01:36.480]  I was not expecting that.
[01:37.020 --> 01:40.920]  I like that last week started with a picture of piss that wasn't actually piss.
[01:41.060 --> 01:45.500]  Oh god. No, do not show a photo of shit that's actually shit.
[01:45.500 --> 01:48.460]  Don't worry, I didn't take a picture. It was horrendous.
[01:48.700 --> 01:49.880]  Jesus Christ.
[01:50.240 --> 01:51.440]  What happened?
[01:52.300 --> 01:54.740]  I was editing, having a little edit.
[01:55.120 --> 01:58.380]  And I thought, ooh, a little pumper there about to come out.
[01:58.780 --> 02:00.600]  Oh god. Rolled the dice on it.
[02:01.680 --> 02:03.740]  And it didn't actually feel like anything went wrong.
[02:04.340 --> 02:07.380]  It just felt like the beginning of a fart, but without the end.
[02:08.480 --> 02:09.480]  And I was like, huh.
[02:10.220 --> 02:13.800]  And then I looked down, shat my foot.
[02:16.500 --> 02:16.900]  Oh no.
[02:19.160 --> 02:21.560]  It blew through the old undies, it blew through the shorts.
[02:22.000 --> 02:22.480]  Oh god.
[02:23.540 --> 02:27.740]  And I was sat on my foot, because I was just in my chair.
[02:28.540 --> 02:30.420]  I just shat on the palm of my foot.
[02:30.700 --> 02:31.760]  I don't know what that bit's called.
[02:32.200 --> 02:33.340]  What's the palm of your foot called?
[02:34.160 --> 02:35.080]  Middle of my foot.
[02:36.440 --> 02:38.420]  Had to hop to the bathroom.
[02:41.400 --> 02:42.600]  I don't like it.
[02:43.360 --> 02:46.420]  What do you do? Do you just crawl into the bathtub?
[02:46.800 --> 02:48.440]  Or do you stick your foot in the toilet?
[02:49.920 --> 02:50.960]  What's the move?
[02:51.100 --> 02:52.180]  I just got straight in the shower.
[02:52.640 --> 02:52.840]  Yeah.
[02:55.140 --> 02:56.820]  What a way to start your day.
[02:57.180 --> 02:58.320]  Did it get on your chair?
[02:59.200 --> 03:01.680]  No. If I hadn't been sat on my foot...
[03:02.520 --> 03:04.880]  Oh, next is barefoot or socks. It was through socks.
[03:05.800 --> 03:05.820]  Oh!
[03:07.300 --> 03:08.660]  So much work!
[03:08.860 --> 03:12.100]  So you shit underwear, pants, and socks.
[03:12.100 --> 03:13.820]  Yeah, underneath of sock.
[03:14.940 --> 03:16.120]  Something I've never done.
[03:17.900 --> 03:20.360]  I feel embarrassed. I don't even know why.
[03:20.840 --> 03:23.100]  I had Chinese food. I don't think that's the reason.
[03:24.340 --> 03:27.640]  Were you editing something for this, or a different thing?
[03:28.060 --> 03:28.580]  Different thing.
[03:28.900 --> 03:30.400]  Was it disturbing?
[03:31.620 --> 03:32.060]  Yeah.
[03:33.800 --> 03:36.380]  No, I mean the thing you were editing, not shitting yourself.
[03:36.900 --> 03:38.520]  Yeah, I showed it to you last week. Do you remember?
[03:38.760 --> 03:40.580]  Oh, well maybe that's why you shit yourself.
[03:41.800 --> 03:44.660]  You scared yourself into shitting yourself?
[03:45.300 --> 03:48.580]  You disturbed yourself into self-crapulence.
[03:50.140 --> 03:52.580]  Self-crapulence is a great combination.
[03:53.660 --> 03:54.500]  Is that the name of the episode?
[03:54.680 --> 03:57.360]  I think it is. And it's gonna be real tough to beat.
[03:58.400 --> 04:01.000]  24 self-crapulence. Anyone else got any?
[04:01.080 --> 04:04.640]  It's like a softer version of self-immolation as a protest.
[04:05.820 --> 04:10.760]  In protest, a bunch of people just fill their faces.
[04:10.760 --> 04:13.260]  Just shit themselves in public.
[04:14.920 --> 04:18.240]  I have a technical note. I learned something.
[04:18.900 --> 04:20.680]  We were talking about emails.
[04:21.600 --> 04:23.580]  Last week, my email problems.
[04:24.360 --> 04:30.960]  I have learned a very useful email feature that I have not been using.
[04:31.380 --> 04:32.960]  That has been a problem for me.
[04:32.960 --> 04:33.780]  Go ahead.
