[00:00.000 --> 00:01.260]  Is my line fatter?
[00:02.280 --> 00:02.960]  Fat lines.
[00:03.460 --> 00:04.360]  You got a big fat line?
[00:04.660 --> 00:05.900]  I got like fat silence.
[00:06.980 --> 00:07.860]  Fat lines!
[00:09.260 --> 00:11.200]  Like normally, silence is skinny.
[00:12.160 --> 00:14.620]  Do you need to take a minute to look at your fat silence?
[00:15.400 --> 00:15.620]  Yeah.
[00:16.740 --> 00:17.180]  No.
[00:18.780 --> 00:19.000]  Okay.
[00:20.200 --> 00:23.320]  Just concerned with it out loud, but then asked if we want to fix it.
[00:23.440 --> 00:23.700]  No.
[00:24.220 --> 00:25.140]  Cool. Right on.
[00:25.280 --> 00:27.460]  Because technically the podcast hasn't started yet.
[00:27.560 --> 00:29.700]  Now would be the time to fix it.
[00:30.000 --> 00:30.820]  That's true.
[00:30.880 --> 00:34.760]  It's way, it's way easier to fix it before we record than after.
[00:35.320 --> 00:37.240]  When I expand it, it's skinny still.
[00:37.640 --> 00:40.480]  But when it's normal size, it's fat.
[00:42.660 --> 00:44.260]  Which do you normally record in?
[00:44.560 --> 00:45.760]  The skinny or the big one?
[00:46.680 --> 00:47.380]  Full size.
[00:47.920 --> 00:49.580]  Well, usually it's small.
[00:50.420 --> 00:50.680]  Okay.
[00:51.240 --> 00:54.340]  You, you, you heard him say that and you said, okay.
[00:55.260 --> 00:56.160]  Okay. It's fine.
[00:57.140 --> 00:57.660]  Oh, okay.
[00:57.900 --> 00:58.700]  Said it very reluctantly.
[00:59.220 --> 01:02.360]  Hello and welcome to another episode of the Regulation Podcast.
[01:02.600 --> 01:03.580]  This is number 46.
[01:03.760 --> 01:04.700]  My name is Geoff Ramsey.
[01:04.820 --> 01:08.860]  With me, as always, Gavin Free, Andrew Panton, Nick Schwartz, Eric Badour.
[01:09.640 --> 01:10.080]  How's everyone doing?
[01:10.480 --> 01:13.160]  Meg is no longer an Andrew Sympathizer.
[01:13.400 --> 01:13.800]  Yeah.
[01:14.780 --> 01:15.180]  Yeah.
[01:15.440 --> 01:15.620]  Yeah.
[01:15.720 --> 01:15.900]  Yeah.
