[00:00.000 --> 00:00.800]  Dog's not too late.
[00:01.780 --> 00:02.200]  We're gonna laugh.
[00:03.380 --> 00:03.860]  Pfft.
[00:05.500 --> 00:07.600]  Well, we haven't started yet, but all right.
[00:08.500 --> 00:10.600]  Hey guys, welcome to the stream, maybe.
[00:10.840 --> 00:12.160]  If you're seeing this, welcome.
[00:12.820 --> 00:13.760]  Sloppy Joe's Mingo.
[00:14.120 --> 00:16.960]  It's Sloppy Joe's Mingo time, and we are ready to go.
[00:20.300 --> 00:22.860]  Everyone's pulling weight, everyone's doing their best.
[00:24.740 --> 00:26.140]  Everybody's just thankful for Gavin.
[00:26.380 --> 00:27.600]  Geoff's in a real mood today.
[00:27.680 --> 00:29.320]  Yeah, Geoff has been in a mood all day.
[00:29.320 --> 00:30.960]  I don't know what you mean by that.
[00:31.480 --> 00:32.620]  I think I do.
[00:34.020 --> 00:36.300]  If I could summarize your mood, it's this.
[00:38.020 --> 00:38.940]  That's about right.
[00:39.340 --> 00:40.460]  Well, we're in the office together.
[00:41.140 --> 00:42.220]  What do you want from me?
[00:42.440 --> 00:43.860]  I'm not the one that's fighting here.
[00:44.540 --> 00:45.400]  No, that's Nick and Eric.
[00:45.620 --> 00:46.920]  No, no, we're great.
[00:47.140 --> 00:49.600]  They've been at each other's shafts for half an hour.
[00:49.760 --> 00:50.300]  Half an hour?
[00:50.580 --> 00:51.360]  Just working the knobs.
[00:51.600 --> 00:52.060]  And why half an hour?
[00:52.800 --> 00:53.540]  It's something to think about.
[00:53.700 --> 00:55.440]  Guys, welcome to the stream.
[00:55.820 --> 00:57.760]  Thank you guys so much for joining us here
[00:57.760 --> 00:58.920]  on a Friday night.
[00:59.400 --> 01:01.280]  We appreciate everyone coming through.
[01:01.440 --> 01:04.540]  It's been a fun day of streaming.
[01:04.780 --> 01:05.940]  There you go.
[01:06.100 --> 01:07.340]  They can't see it yet.
[01:07.440 --> 01:08.920]  Again, we haven't started yet.
[01:09.100 --> 01:09.800]  And that's fine.
[01:09.920 --> 01:11.840]  Nick, you know what, Nick, why don't you cut it over
[01:11.840 --> 01:13.280]  and why don't you have a seat on the couch, bud?
[01:13.380 --> 01:13.720]  Okay.
[01:15.540 --> 01:18.620]  We're using regulationbingo.com.
[01:19.940 --> 01:20.920]  I can hear myself.
[01:21.360 --> 01:25.500]  We're using regulationbingo.com to generate a board
[01:25.500 --> 01:27.440]  and play Sloppy Joe's Bingo.
[01:28.980 --> 01:30.420]  I'm gonna continue carrying this weight
[01:30.420 --> 01:32.580]  until anyone wants to grab this baton and run with it.
[01:32.680 --> 01:33.820]  I thought I was just listening to you
[01:33.820 --> 01:34.960]  do a pretty awesome intro.
[01:35.060 --> 01:35.540]  Yeah, I thought so.
[01:35.720 --> 01:36.640]  Yeah, you're doing a great job.
[01:37.080 --> 01:38.920]  I went ahead and generated my bingo card.
[01:39.100 --> 01:40.820]  I'm excited to get started with you guys.
[01:41.240 --> 01:43.920]  It's been, we determined maybe three or four months
[01:43.920 --> 01:45.040]  since we played Sloppy Joe's Bingo.
[01:45.280 --> 01:46.380]  Yeah, does anyone remember the last time?
[01:46.440 --> 01:47.620]  Andrew, do you remember the last time we did this?
[01:47.660 --> 01:48.000]  Feels like too long.
[01:48.100 --> 01:48.840]  No clue.
[01:48.980 --> 01:49.300]  Right?
[01:49.480 --> 01:49.900]  It's been a while.
[01:49.920 --> 01:50.840]  It's been a while.
[01:50.960 --> 01:52.520]  But now it's time for Sloppy Joe's Bingo
[01:52.520 --> 01:55.260]  and it's time to get this right
[01:55.260 --> 01:57.820]  and do something that we put off for a while.
[01:57.880 --> 01:59.120]  But now it's the summer of slop.
[02:00.060 --> 02:02.520]  We're kicking it off with a very sloppy time
[02:02.980 --> 02:04.200]  for Sloppy Joe's Bingo, right?
[02:04.200 --> 02:06.140]  I'm already pretty excited about some of my prompts here.
[02:06.220 --> 02:08.120]  I've got head sheen, I've got sweet stache.
[02:10.520 --> 02:11.980]  I also have head sheen,
[02:12.340 --> 02:15.200]  but I have can see FaceTime screen.
[02:15.380 --> 02:16.440]  I don't feel good about that.
[02:16.760 --> 02:19.340]  I have a celebrity lookalike, which is always...
[02:19.340 --> 02:20.160]  Oh, that's a tough one.
[02:20.180 --> 02:20.900]  That's a quagmire.
[02:21.420 --> 02:23.000]  Get you guys to agree.
[02:23.040 --> 02:24.920]  I will say, I like Scooter Gang
[02:24.920 --> 02:26.860]  and then it does say three plus.
[02:27.220 --> 02:28.380]  That's a big joint.
[02:28.480 --> 02:28.840]  Wow.
[02:30.220 --> 02:34.600]  I have my personal favorite of all, which is Beach Goth.
[02:35.280 --> 02:37.120]  I also have Beach Goth.
[02:37.320 --> 02:38.140]  I love a Beach Goth.
[02:38.360 --> 02:41.520]  I have dog and then gurple clothing, which is a crazy one.
[02:41.540 --> 02:43.000]  You know what new one we should add in?
[02:43.120 --> 02:43.380]  What's that?
[02:43.580 --> 02:44.640]  Le Boo Boo.
[02:45.480 --> 02:47.020]  Let's see if somebody has a Le Boo Boo on their purse.
[02:47.380 --> 02:48.960]  I think Le Boo Boo is probably a pretty good one,
[02:49.020 --> 02:50.320]  but it's so hard to see.
[02:50.840 --> 02:51.580]  How would we see?
[02:51.640 --> 02:53.820]  Even with this giant TV that Geoff has been complaining
[02:53.820 --> 02:55.740]  about all day, it's so hard to see.
[02:55.880 --> 02:57.860]  This TV is such a fucking piece of shit.
[02:57.980 --> 02:59.520]  I told him to put it back in his car
[02:59.520 --> 03:01.240]  and take it back to Costco, but he didn't want to listen.
[03:01.360 --> 03:02.180]  What's wrong with it?
[03:02.260 --> 03:02.840]  Why didn't you listen?
[03:02.980 --> 03:06.300]  This fucking LG HUD GUI system
[03:06.300 --> 03:09.780]  is so fucking slow and stupid.
[03:10.240 --> 03:11.860]  And every time you turn this TV on,
[03:11.920 --> 03:13.860]  you have to update the fucking firmware.
[03:14.440 --> 03:14.760]  You don't have to level it.
[03:15.100 --> 03:16.320]  It's like Call of Duty.
[03:16.580 --> 03:18.880]  Every 24 hours, you've got to update Call of Duty.
[03:19.160 --> 03:19.800]  It's ridiculous.
[03:21.880 --> 03:22.700]  Looks good though.
[03:22.700 --> 03:24.900]  Andrew, have you got any prompts that you're excited about?
[03:26.180 --> 03:27.700]  I mean, I got bouncer bouncing,
[03:27.900 --> 03:29.240]  which is always fun to see.
[03:30.100 --> 03:32.680]  Dancing, cowboy hat, a lot of the classics.
[03:32.800 --> 03:34.800]  I'm trying to figure out if this guy's shirt is offensive.
[03:36.780 --> 03:38.660]  It feels like it should be.
[03:39.440 --> 03:41.200]  Oh my God, she's 60.
[03:41.640 --> 03:42.860]  Oh, that's got a force.
[03:43.640 --> 03:44.560]  I think it's nice.
[03:44.820 --> 03:45.780]  I think that's a nice one.
[03:45.800 --> 03:47.040]  And if she's 60, that's crazy.
[03:47.180 --> 03:49.820]  She doesn't look a day older than like 40, 52 maybe.
[03:49.820 --> 03:51.460]  Oh my God, she's...
[03:52.180 --> 03:52.500]  OMG.
[03:53.420 --> 03:55.380]  Crazy compliment, man.
[03:55.600 --> 03:56.580]  She does look great.
[03:56.900 --> 03:57.120]  Yeah.
[03:57.760 --> 03:58.360]  I'd say 52.
[03:58.620 --> 03:59.640]  Hey, hey, hey, drink this.
[04:00.000 --> 04:02.780]  That's two Andrew lifetimes in one person.
[04:04.320 --> 04:05.160]  That's true.
[04:05.280 --> 04:05.440]  Yeah.
[04:06.080 --> 04:08.720]  What time are we kicking off with Sloppy Jizz Bingo?
[04:09.700 --> 04:13.520]  Why don't we say like 90 seconds from now?
[04:13.560 --> 04:15.220]  Oh my God, 90 seconds.
[04:15.480 --> 04:16.620]  90 seconds.
[04:17.100 --> 04:18.980]  Could not get any more text messages.
[04:18.980 --> 04:20.740]  Gonna go ahead and turn that off.
[04:20.780 --> 04:21.460]  Here we go, stopwatch.
[04:21.720 --> 04:23.020]  90 seconds begins now.
[04:23.320 --> 04:25.600]  In 90 seconds, Sloppy Jizz will begin.
[04:25.820 --> 04:29.600]  Guys, regulationbingo.com is where you can generate
[04:29.600 --> 04:30.660]  your own board.
[04:31.040 --> 04:33.060]  If you're watching, play along with us.
[04:33.380 --> 04:34.220]  Oh, let me see.
[04:34.420 --> 04:34.820]  What's that?
[04:35.220 --> 04:35.840]  Let's see if chat can be bigger.
[04:35.840 --> 04:37.100]  I was wondering if we could see chat from here.
[04:37.280 --> 04:39.960]  Gavin, what are you the most worried about
[04:39.960 --> 04:40.660]  on your bingo board?
[04:41.260 --> 04:43.080]  Formal attire, I feel like we could never get
[04:43.080 --> 04:43.940]  a good agreement on that.
[04:43.940 --> 04:44.800]  Yeah, that's a tough one.
[04:44.880 --> 04:46.080]  So I'm not looking forward to that.
[04:47.240 --> 04:49.000]  Puking, puking on the ground or in a trash can,
[04:49.080 --> 04:50.520]  I feel like we've...
[04:50.520 --> 04:51.940]  Have we ever seen that dude in life?
[04:52.080 --> 04:52.620]  No, I don't think so.
[04:52.640 --> 04:55.780]  I saw it three times in the first week I did it,
[04:55.900 --> 04:57.160]  which is why I added it again,
[04:57.320 --> 04:58.780]  and then it's not come back.
[04:58.880 --> 05:00.480]  Hold control and scroll.
[05:00.480 --> 05:01.560]  I tried it already, it doesn't work.
[05:01.560 --> 05:01.820]  Really?
[05:02.500 --> 05:03.400]  Oh, you know what?
[05:03.540 --> 05:03.800]  Control!
[05:05.100 --> 05:05.800]  That was FN.
[05:06.340 --> 05:06.980]  Why is FN there?
[05:07.680 --> 05:08.580]  I don't know.
[05:08.740 --> 05:09.760]  Do you know what FN stands for?
[05:10.360 --> 05:11.100]  Fuck you, man.
[05:13.460 --> 05:14.140]  That'll be it.
