[00:01.980 --> 00:02.400]  Sandwiches.
[00:06.440 --> 00:07.280]  Hold on.
[00:09.980 --> 00:10.520]  How's this?
[00:11.880 --> 00:13.580]  Turn it back on, dumbass!
[00:14.040 --> 00:16.980]  The thing about having our own place is that we can set up these lights and we can use them.
[00:17.360 --> 00:19.940]  And we don't have to worry about moving them or anything.
[00:20.980 --> 00:26.000]  So, over the weekend, Eric and I saw a TikTok of someone who fell...
[00:26.000 --> 00:29.880]  grabbed a Sub sandwich, and then fell, and then opened up the sandwich.
[00:30.060 --> 00:32.800]  It was comically flat. They flattened their sandwich.
[00:33.160 --> 00:36.620]  We immediately jumped on the idea and decided that we had to have a contest
[00:37.040 --> 00:40.780]  to see which amongst the three of us who are currently in town...
[00:41.980 --> 00:43.160]  That's how it works on regulation.
[00:43.460 --> 00:44.660]  Jesus Christ. Only in July.
[00:44.860 --> 00:46.840]  Andrew, where are you? Andrew, son!
[00:47.020 --> 00:47.760]  He's right here somewhere.
[00:48.620 --> 00:53.860]  Which of those of us that are currently in town can flatten a sandwich the most with our bodies?
[00:53.860 --> 00:57.560]  So, it was important that we got the Subway sandwich, and it was all the same.
[00:57.740 --> 01:00.040]  We got the Turkey Titan. I'm gonna actually give you a look.
[01:00.760 --> 01:02.400]  Have a look-see at our sandwiches.
[01:02.600 --> 01:05.300]  We all got the same sandwich, and Jeff's request was no mayo.
[01:05.620 --> 01:06.480]  I just asked for no mayo.
[01:06.520 --> 01:06.800]  That's fine.
[01:07.220 --> 01:10.540]  Also, by the way, we're not sponsored by... this isn't a Subway-branded thing.
[01:11.000 --> 01:13.440]  We're about to smash the fuck out of these. I wouldn't think that this is...
[01:13.440 --> 01:16.220]  Yeah, no, this is just like the most bog-standard sandwich we could think of.
[01:16.240 --> 01:17.420]  So, it's a Turkey Titan.
[01:18.220 --> 01:19.080]  That's pretty good.
[01:19.400 --> 01:20.000]  Yeah, it's not bad.
[01:20.000 --> 01:24.060]  We got a couple foot-longs because we figured, hey, maybe we do a couple of attempts.
[01:24.280 --> 01:27.360]  Maybe we see how this goes, and then Gavin said, well, I'm gonna eat mine, so...
[01:27.360 --> 01:28.460]  Well, I wanna eat the flat sandwich.
[01:28.580 --> 01:28.740]  Okay.
[01:29.120 --> 01:30.120]  Yeah, you gotta eat the flat sandwich.
[01:30.180 --> 01:32.500]  Gavin said he wasn't gonna be able to eat his sandwich.
[01:32.800 --> 01:34.640]  I think mine might be too flat, yeah.
[01:36.040 --> 01:37.020]  I don't believe that at all.
[01:37.080 --> 01:39.720]  So, here's how I think it should work.
[01:39.840 --> 01:40.040]  Okay.
[01:40.120 --> 01:40.940]  Let me know what you think.
[01:41.140 --> 01:44.420]  I think we each get two attempts at flattening the sandwich.
[01:44.800 --> 01:44.980]  Okay.
[01:44.980 --> 01:50.960]  So, we each have our sandwich, and then you, however you wanna do it, that's what we're gonna do.
[01:51.100 --> 01:56.740]  I noticed you brought in some, I don't know, visual aids?
[01:56.820 --> 01:59.000]  Yeah, well, I have some ideas.
[01:59.420 --> 02:00.620]  I have two different ways.
[02:00.740 --> 02:03.380]  I already knew immediately how I wanna flatten the sandwich.
[02:03.720 --> 02:03.920]  Okay.
[02:03.920 --> 02:06.200]  So, I'm feeling pretty good about it.
