[00:00.600 --> 00:01.560]  Hello and welcome-
[00:01.560 --> 00:02.260]  That's funny too, because he wasn't in-
[00:03.360 --> 00:05.480]  No, keep going. Yeah, yeah, yeah. Yeah, go ahead, Gavin.
[00:05.540 --> 00:07.340]  Hello, I'm gonna do a supplemental, but go ahead, Gavin.
[00:08.640 --> 00:11.240]  He wasn't in Payday either, which was another heist, which is funny.
[00:11.560 --> 00:12.720]  Yeah, he's just not a heist guy.
[00:13.080 --> 00:15.240]  Well, he's not- he doesn't like anything illegal.
[00:15.660 --> 00:18.740]  He's very by the book. That's why he plays Call of Duty or whatever.
[00:18.880 --> 00:19.740]  He's a Man of Honor.
[00:20.380 --> 00:20.660]  Yeah, he's a Man of Honor.
[00:20.660 --> 00:21.580]  Oh no, that's a different series.
[00:21.760 --> 00:23.540]  It's Medal of Honor. That's a different one.
[00:24.000 --> 00:28.000]  That's the- is that the other Steven Spielberg one?
[00:28.000 --> 00:31.440]  Remember how that Ridley Scott Delta Force game is coming out?
[00:31.520 --> 00:31.660]  Yeah.
[00:31.740 --> 00:34.480]  That was- Medal of Honor was Saving Private Ryan, right?
[00:34.900 --> 00:36.160]  Didn't they partner with him or something?
[00:36.420 --> 00:37.240]  Yeah, I think so.
[00:37.420 --> 00:38.020]  I think so.
[00:38.140 --> 00:39.140]  That was so long ago.
[00:39.240 --> 00:39.760]  It doesn't matter.
[00:39.860 --> 00:41.680]  What is the- what's the Ridley Scott game?
[00:42.160 --> 00:45.500]  We saw it at Summer Games Fest where they're like,
[00:45.680 --> 00:48.840]  Levels inspired by the Blackhawk Down film.
[00:49.000 --> 00:51.960]  That's right. It was called like Delta Force.
[00:52.060 --> 00:52.160]  Delta Force, yeah.
[00:52.160 --> 00:53.160]  I don't think you saw this, Gavin.
[00:53.280 --> 00:56.900]  It's like Delta Force, Blackhawk Down, and it's just like,
[00:56.900 --> 01:02.060]  You are the Blackhawk that has gone down, and you must escape.
[01:02.220 --> 01:04.620]  And it's like, oh, and what year does this game come out?
[01:04.780 --> 01:05.060]  Yeah.
[01:05.380 --> 01:06.140]  What happened?
[01:06.320 --> 01:08.680]  Feature sequences from the Ridley Scott film.
[01:08.760 --> 01:10.800]  And it's like, that was a movie based on a real event.
[01:11.140 --> 01:12.700]  Sort of a weird framing of-
[01:12.700 --> 01:13.200]  It's so bizarre.
[01:13.600 --> 01:16.100]  I mean, there's probably some exaggerated action.
[01:16.460 --> 01:17.740]  But what are we doing here today, Andrew?
[01:17.740 --> 01:19.580]  We're regulating is what we're doing.
[01:19.680 --> 01:21.540]  We are doing- they're calling us the regulators.
[01:21.800 --> 01:23.740]  We are the regulation crew.
[01:23.920 --> 01:26.200]  This is not all of us, but we have three people here.
