[00:00.000 --> 00:01.720]  Hey, it's Paris.
[00:02.100 --> 00:04.240]  You know I love sparkly things, right?
[00:04.440 --> 00:06.000]  Like stars. Duh.
[00:06.500 --> 00:08.240]  And thanks to Hilton and AutoCamp,
[00:08.400 --> 00:10.120]  I just slept under them.
[00:10.720 --> 00:12.400]  Picture me, serving looks
[00:12.400 --> 00:14.300]  by the fire outside my luxurious
[00:14.300 --> 00:16.240]  Airstream, making s'mores
[00:16.240 --> 00:18.480]  with the kids, while a national
[00:18.480 --> 00:19.740]  park is our backdrop.
[00:20.480 --> 00:22.160]  The great outdoors meets Hilton
[00:22.160 --> 00:24.020]  hospitality. That's hot.
[00:24.620 --> 00:26.280]  Explore all the new ways to stay
[00:26.280 --> 00:27.720]  at Hilton.com.
[00:27.720 --> 00:29.420]  Hilton for the stay.
[00:30.000 --> 00:32.060]  Hello and welcome to our
[00:32.060 --> 00:34.020]  newest supplemental concept
[00:34.020 --> 00:35.840]  idea, Regulation Takes.
[00:36.140 --> 00:37.680]  I am hosting this.
[00:38.080 --> 00:38.900]  I can't believe it.
[00:39.460 --> 00:41.680]  I am joined alongside Eric,
[00:42.120 --> 00:43.280]  Gavin, and Nick.
[00:43.720 --> 00:45.880]  I'm excited to hear some takes. Let me explain
[00:45.880 --> 00:47.880]  the takes format before we get going.
[00:48.220 --> 00:49.700]  We have all prepared takes,
[00:50.060 --> 00:52.040]  which are stances in which we feel
[00:52.040 --> 00:53.140]  passionate about.
[00:53.480 --> 00:55.900]  We will share our takes
[00:55.900 --> 00:57.880]  one at a time. I'm not sure how many we'll
[00:57.880 --> 00:59.960]  do this first time we're doing it. Who knows
[00:59.960 --> 01:02.000]  how long this is going to be? We'll have to
[01:02.000 --> 01:03.800]  figure that out. You'll see. I guess you'll know
[01:03.800 --> 01:06.000]  going into it. You'll see the timer. But we don't know.
[01:06.560 --> 01:07.740]  So we'll all say our takes.
[01:08.080 --> 01:09.940]  Then after this comes out, I will
[01:09.940 --> 01:11.420]  put out a poll on our Patreon,
[01:11.880 --> 01:13.320]  which is The Regulation Pod,
[01:13.900 --> 01:15.800]  and you can vote on who had the worst take
[01:15.800 --> 01:18.060]  and whoever has the worst take or takes
[01:18.560 --> 01:19.560]  gets the idiot flag.
[01:19.880 --> 01:21.860]  Till the next episode. Dean the idiot.
[01:22.280 --> 01:23.060]  But it's not a draft.
[01:23.060 --> 01:25.100]  It's not a draft. No.
[01:25.460 --> 01:26.720]  I'll be honest. I was
[01:26.720 --> 01:29.060]  like 80% sure you were somehow
[01:29.060 --> 01:30.700]  going to call a blindside and we'd be doing
[01:31.980 --> 01:33.020]  ratting because
[01:33.020 --> 01:34.920]  this sounds like a fake idea.
[01:35.600 --> 01:37.020]  Oh, this is so
[01:37.020 --> 01:39.100]  far from a fake idea. This is like
[01:39.100 --> 01:41.180]  the most popular idea in any
