[00:00.000 --> 00:03.680]  A massage chair can look extravagant.
[00:04.080 --> 00:07.740]  Eight different configurations, adjustable intensity, and it's heated.
[00:08.560 --> 00:10.880]  And it feels so good.
[00:11.580 --> 00:15.900]  Yes, a massage chair can look extravagant. And two, well, even more.
[00:16.300 --> 00:18.540]  But when those massage chairs come with a car,
[00:19.800 --> 00:21.920]  they become quite practical.
[00:22.320 --> 00:25.660]  The new Volkswagen Teguan 2025 with premium features,
[00:25.800 --> 00:27.840]  like the front seats with massage available,
[00:27.840 --> 00:29.820]  only looks extravagant.
[00:30.360 --> 00:36.440]  Hello and welcome to the inaugural episode of a Regulation Sausage Talk.
[00:37.240 --> 00:39.620]  This is kind of a carryover from the old podcast.
[00:39.880 --> 00:43.740]  Every once in a while, we would do a little supplemental behind the scenes,
[00:43.880 --> 00:45.220]  peer behind the curtain,
[00:45.740 --> 00:49.700]  appear through the sausage casing to the meat inside, if you will,
[00:50.060 --> 00:55.020]  of the business that was F*** Face and is now the Regulation Podcast.
[00:56.100 --> 00:59.360]  Figured it was probably time to sit down with y'all and give a state of affairs.
[00:59.700 --> 01:02.180]  How far into this company now? Two months?
[01:02.220 --> 01:02.880]  About three months.
[01:03.420 --> 01:06.840]  Three months? Ten episodes in, I think, have come out as of the recording?
[01:08.220 --> 01:09.200]  Yeah, three months.
[01:09.820 --> 01:12.960]  I'm bad at that. Never mind. Why am I saying that?
[01:13.020 --> 01:14.640]  My brain gets tripped up.
[01:14.940 --> 01:19.200]  Hey guys, it's been exactly two months on the date of this recording.
[01:19.580 --> 01:21.660]  We started in May.
[01:22.760 --> 01:25.180]  May, June, July are three months.
[01:25.380 --> 01:30.060]  There's a date where it occurred.
[01:32.220 --> 01:36.280]  Do you know when your birthday is? Do you think that fluctuates?
[01:36.500 --> 01:37.980]  It's a date that it happened.
[01:38.640 --> 01:40.140]  Yeah, but it's three months.
[01:40.640 --> 01:41.520]  But it's two months.
[01:41.980 --> 01:44.440]  What do you mean? Why do you keep saying three months?
[01:44.640 --> 01:45.860]  Because we started in May.
[01:46.960 --> 01:48.400]  May was two months ago.
[01:48.400 --> 01:55.160]  Hey Gavin, in fact, it was exactly two months ago from the date of this recording when it all happened.
[01:55.380 --> 01:57.920]  Andrew, I'm going to help you out. We're going to get this real simple.
[01:58.160 --> 02:00.620]  And everybody at home, listen along if you're confused as well.
[02:01.200 --> 02:04.240]  May 10th, Rooster Teeth ended, and this company began.
[02:04.560 --> 02:05.280]  Yeah, it's my birthday.
[02:06.560 --> 02:07.440]  Happy birthday.
[02:07.800 --> 02:11.000]  May 10th to June 10th, that was one month.
[02:11.300 --> 02:13.200]  Okay, I'm with you so far.
[02:13.200 --> 02:18.540]  Then from June 10th to July 10th, which is today, is one additional month.
[02:18.720 --> 02:23.880]  It crosses over three-month names, but it's only been two months.
[02:24.120 --> 02:24.680]  You lost me.
[02:25.260 --> 02:27.620]  We've been doing this for three months.
[02:28.020 --> 02:30.660]  We've not been doing this for three months. We've been doing this for two months.
[02:31.000 --> 02:33.040]  We've done this across three months.
[02:33.940 --> 02:36.980]  Shut up. Just say, you know what, I was made to July.
[02:37.420 --> 02:39.580]  No. No. No.
[02:39.580 --> 02:41.740]  So we started the business together.
[02:41.920 --> 02:43.980]  As you know, Rooster Teeth went under.
[02:45.040 --> 02:45.120]  What?
[02:46.300 --> 02:50.600]  You may or may not have heard, but Rooster Teeth, in fact, closed down.
[02:51.300 --> 02:54.260]  We knew that this was a possibility for a long time.
[02:54.460 --> 03:02.540]  I think anybody who works in entertainment has to build contingency plans because that's just the way this world works, unfortunately.
[03:02.740 --> 03:03.940]  The entertainment industry works.
[03:03.940 --> 03:12.780]  We had been in discussions privately for a long time about if something were ever to happen and Rooster Teeth was no more, what would we do?
[03:12.880 --> 03:13.960]  Would we want to continue?
[03:14.140 --> 03:18.560]  And I think we weren't planning for it, but we wanted to make sure we were all on the same page.
[03:18.860 --> 03:32.940]  And so when we did, in fact, in, I think, March, find out that Rooster Teeth was shuttering and all of our content would be closed down, I guess, it was a shock.
[03:32.940 --> 03:36.900]  But we kind of basically just said, Okay, well, we knew this was a possibility.
[03:37.360 --> 03:39.120]  We know we want to continue working together.
[03:39.640 --> 03:41.460]  What does that look like? Let's get started.
[03:41.720 --> 03:44.060]  And we put our heads down and we started busting our ass.
[03:44.360 --> 03:50.660]  And I think the day Rooster Teeth ended was the day this company began.
[03:50.980 --> 03:53.900]  And if you've ever started a company, you know it's a lot of work.
[03:53.980 --> 03:55.940]  It's a hell of a lot of work to do in two months.
[03:56.200 --> 03:59.480]  It's even more work to do when you're ending another company at the same time.
[03:59.480 --> 04:20.840]  So it was frustrating and it required us to do all the things that one does to start a business from getting a tax identification number and filing as a corporation with the United States government and getting the name wrong and having to file to get the name corrected with the United States government, which alone can set everything back two and a half weeks.
[04:21.260 --> 04:22.220]  Just so you know.
[04:23.040 --> 04:24.640]  And getting bank accounts.
[04:24.960 --> 04:27.040]  And deciding the president and the secretary.
[04:27.460 --> 04:29.920]  Deciding the president of the company, which we had to do.
[04:30.180 --> 04:30.720]  And the secretary.
[04:31.000 --> 04:35.460]  We have like a 45-page article of incorporation that I don't understand any of it.
[04:35.520 --> 04:40.280]  But I know that we're all in a business, equal partners, running this company together.
[04:41.160 --> 04:43.120]  This regulation company together.
[04:43.660 --> 04:49.860]  That's job is to produce this podcast and all of the supplemental content that surrounds it.
[04:50.000 --> 04:52.560]  Is that a pretty good summarization of what we've been doing for the last two months?
[04:52.780 --> 04:53.460]  Or how we got here?
[04:53.560 --> 04:53.880]  I would agree.
[04:54.400 --> 04:56.260]  Yeah, it's a good three-month summary.
[04:56.260 --> 04:56.520]  Yeah.
[04:57.280 --> 04:57.860]  Thank you.
[04:57.920 --> 05:04.700]  Those months between March and May, like finding out it was ending and ending, that somehow felt like six months.
[05:05.100 --> 05:05.540]  It did.
[05:05.820 --> 05:08.100]  Saying goodbye to everyone for like two straight months.
[05:08.500 --> 05:08.580]  Yes.
[05:08.580 --> 05:09.040]  Holy shit.
[05:09.480 --> 05:15.660]  It was seeing people that I hadn't seen in a long time at the office that we were going to infrequently after COVID.
[05:15.900 --> 05:19.500]  And then saying goodbye every day for 60 days.
[05:19.780 --> 05:19.860]  Yeah.
[05:20.260 --> 05:23.200]  You started after a while, you'd be like, would you fucking, can we leave already?
[05:23.340 --> 05:23.620]  Jesus.
[05:23.620 --> 05:26.780]  I said goodbye to you eight times.
[05:27.220 --> 05:34.340]  As someone who works remote, maybe I had a little bit different of experience where two months felt like, oh, that's so far away.
[05:34.480 --> 05:37.200]  And then one month happened and I went, holy shit.
[05:37.280 --> 05:42.060]  This is like once the one month crossed, it was like, this feels like it's going to end tomorrow.
[05:42.380 --> 05:42.980]  This is insane.
[05:43.380 --> 05:51.100]  I had a moment like that with Eric where we planned out like, these are all the things we're going to have to get done over the next 60 days.
[05:51.100 --> 05:54.020]  And, you know, you start to portion it out and be like, well, we don't have to worry about that right now.
[05:54.080 --> 05:55.200]  And then, you know, everything else is going on.
[05:55.260 --> 06:03.540]  Also, like ending the other company is a lot of work because, you know, they basically came to us and said, anything that doesn't have an ad sold on it, you guys don't have to do.
[06:03.780 --> 06:04.320]  We get it.
[06:04.340 --> 06:05.200]  The company's ending.
[06:05.640 --> 06:10.400]  If you don't want to continue doing F*** Face, well, F*** Face had an ad sold, so we would have had to.
[06:10.460 --> 06:16.200]  But if you don't want to continue doing Let's Plays, or if you don't want to continue doing this supplemental content, or if you don't want to wrap this stuff up, you really don't have to.
[06:16.200 --> 06:19.680]  I was just going to say, it's so funny you bring that up.
[06:19.680 --> 06:24.140]  We were so far ahead in Let's Play, we only needed to record like two or three videos to reach the end.
[06:24.140 --> 06:25.000]  Yeah, that's true.
[06:25.240 --> 06:28.420]  It definitely helped that we tried our best to stay ahead.
[06:28.840 --> 06:39.060]  But we wanted to end strong and we wanted to give, I guess, the amount of respect to the product and the production and the company.
[06:39.400 --> 06:41.440]  So we did a lot of work at the end there.
[06:41.440 --> 06:49.940]  In addition to the nuts and bolts of dismantling a company and f***ing cleaning out your desk with a cardboard box.
[06:50.120 --> 06:57.380]  And our desks had a lot of cardboard boxes and f***ing all kinds of F*** Face nonsense that we had to figure out what to do with.
[06:57.700 --> 06:59.160]  Porta-potties and whatnot.
[07:00.420 --> 07:03.780]  But everybody also was trying to figure out their own personal lives too.
[07:04.040 --> 07:08.380]  Some of us sold houses and moved across town at the same time.
[07:08.380 --> 07:10.420]  So I remember there was a conversation where Eric and I were like...
[07:11.240 --> 07:16.300]  About the same time you said it, Andrew, about a month in where we realized, oh my God, time has evaporated.
[07:16.380 --> 07:20.580]  How the f*** are we going to get all this done? Where did it go? Two months, my ass.
[07:20.860 --> 07:25.060]  And it's been... I think since that conversation, I've just been running full speed.
[07:25.760 --> 07:26.780]  Absolutely, it's felt that way.
[07:26.840 --> 07:31.620]  There was a great moment where we rented a U-Haul to take some of the bigger stuff.
[07:31.620 --> 07:43.660]  And, um, this really nice fan of Rooster Teeth had showed up and set up a little sign on the entrance that just said, you know, thanks for everything Rooster Teeth or like goodbye Rooster Teeth or something like that.
[07:44.100 --> 07:44.840]  Sweetest guy.
[07:45.140 --> 07:52.960]  It was weird, like, in full view of this person, all of us show up and put a pink Porta-Potty into the U-Haul and then drive away.
[07:53.340 --> 07:55.740]  Just waving at this guy like, thanks so much.
[07:56.320 --> 07:57.960]  It was like a really sweet moment, I thought.
[07:58.320 --> 08:00.520]  It was really sweet and very surreal.
[08:00.520 --> 08:01.860]  Yeah, it was bizarre.
[08:02.120 --> 08:05.760]  Drive away into the sunset with our giant pink Porta-Potty.
[08:05.960 --> 08:11.040]  I like that it wasn't like, it wasn't that we just assigned someone to go and take that somewhere else.
[08:11.100 --> 08:17.060]  It was literally you, me and Eric just trying to put this thing into the van.
[08:17.320 --> 08:19.020]  There was like no one to help, everyone was so busy.
[08:19.420 --> 08:21.380]  That's what this company is though.
[08:21.620 --> 08:24.240]  It's the five of us doing everything.
[08:24.500 --> 08:26.260]  And that's what I want it to be.
[08:26.260 --> 08:28.420]  And maybe we should talk about that for a little bit.
[08:28.460 --> 08:37.340]  Because we were born out of the ashes of a very successful previous production that we were all fortunate enough to get to participate in that success.
[08:38.880 --> 08:43.800]  But I'll be honest with you, the company outgrew my comfort level early on.
[08:44.500 --> 08:48.040]  I have talked many times about how I wanted to stay in the spare bedroom.
[08:48.480 --> 08:49.440]  I never wanted to leave it.
[08:49.440 --> 08:56.540]  And every successive production I did, I tried to make a new bedroom, but I tried to make it even smaller.
[08:57.640 --> 09:00.140]  A lot of bloat in those bedrooms as time goes on.
[09:00.760 --> 09:04.540]  And so that's essentially what we have crafted here.
[09:04.640 --> 09:06.140]  That we are a five-person unit.
[09:08.500 --> 09:10.060]  We're going to hire a CPA.
[09:10.300 --> 09:11.160]  We're not going to do our own taxes.
[09:11.160 --> 09:12.520]  And we're contracting out editors.
[09:12.980 --> 09:15.680]  And we hired Michelle to do our logo.
[09:16.080 --> 09:17.700]  Who did the face logo as well.
